,,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Resources,ASSOCIATION OF NORTH EAST COUNCILS LTD,0,25873.00,Subscriptions
INSERTED DETAIL,,Resources Group,Resources,ASSOCIATION OF NORTH EAST COUNCILS LTD,0,7500.00,Subscriptions
INSERTED DETAIL,,Resources Group,Resources,DE-POEL,0,620.94,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,DE-POEL,0,581.64,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,DE-POEL,0,578.97,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,DE-POEL,0,606.48,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,ICO,3069654,500,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,JOHN WORRALL,3070290,500,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,KATE DODDS,3070258,2200.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,KATE DODDS,3070259,4175.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1496.25,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1487.50,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1513.75,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1408.75,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3067564,1136.00,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3067564,528,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MR STEPHEN AINSLEY,3070252,2520.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,MRS ELAINE AVERIS,3070254,500,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST MEDIA GROUP,3068811,579.53,Advertising
INSERTED DETAIL,,Resources Group,Resources,NORTHGATE PUBLIC SERVICES (UK) LTD,3064412,924.6,Other Supplies & Services
INSERTED DETAIL,,Resources Group,Resources,NORTHGATE PUBLIC SERVICES (UK) LTD,3064412,1044.20,Other Supplies & Services
INSERTED DETAIL,,Resources Group,Resources,OSBORNES SOLICITORS LLP,3071012,600,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,ROGER KENNINGTON CONSULTING,3069734,1490.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1178.61,Postages
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1173.10,Postages
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,4236.55,Postages
