Darlington Borough Council - Analysis of Transactions Over £500,,,,,
Nov-14,,,,,
,,,,,
,,,,,
,,,,,
Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
Resources Group,Resources,CANON (UK) LIMITED,3059502,"3,041.45",Ict Hardware Purchase
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3054832,605.69,Agency Staff Costs - Non Teaching
Resources Group,Resources,DADCHECK.COM,3061582,720.68,Professional Fees & Consultancy
Resources Group,Resources,DONOVAN GRAPHICS LTD,3060948,"1,206.00",Marketing & Advertising
Resources Group,Resources,HARRISON EXTERNAL DISPLAY SYSTEMS,3059317,"2,683.00",Marketing & Advertising
Resources Group,Resources,ISAPPHIRE LTD,3061097,514.85,Marketing & Advertising
Resources Group,Resources,ISAPPHIRE LTD,3061098,"1,094.13",Marketing & Advertising
Resources Group,Resources,KOMODO DESIGN LTD,3060315,506.39,Marketing & Advertising
Resources Group,Resources,KOMODO DESIGN LTD,3058925,544.07,Marketing & Advertising
Resources Group,Resources,MANNING LIMITED,3059196,"1,764.36",Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,"1,365.00",Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,"1,408.75",Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,"1,426.25",Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060970,"1,280.00",Agency Staff Costs - Non Teaching
Resources Group,Resources,MISS JESSICA BARROWMAN,3061579,800,Professional Fees & Consultancy
Resources Group,Resources,MRS ELAINE AVERIS,3061577,700,Professional Fees & Consultancy
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3056956,550,Marketing & Advertising
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3056956,550,Marketing & Advertising
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3056956,550,Marketing & Advertising
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3056956,550,Marketing & Advertising
Resources Group,Resources,NORTHERN ROUND DELIVERY SERVICES,3058597,"1,160.00",Marketing & Advertising
Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,3051005,"1,186.80",Other Supplies & Services
Resources Group,Resources,PRIMARY PUBLISHING TEESSIDE LTD,3061352,880,Marketing & Advertising
Resources Group,Resources,ROYAL MAIL NORTH EAST,0,"1,068.96",Postages
Resources Group,Resources,TCS MEDIA,3053037,"3,169.50",Marketing & Advertising
Resources Group,Resources,VISIT COUNTY DURHAM,3061403,702,Advertising
Resources Group,Resources,WHISTL UK LIMITED,0,"8,886.04",Postages
Resources Group,Resources,WHISTL UK LIMITED,0,"1,161.44",Postages
Resources Group,Resources,WHISTL UK LIMITED,0,"2,343.54",Postages
Resources Group,Resources,WHISTL UK LIMITED,0,707.23,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,746.63,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,"2,438.97",Postages
Resources Group,Resources,WHISTL UK LIMITED,0,"2,545.94",Postages
Resources Group,Resources,WHISTL UK LIMITED,0,688.22,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,"2,414.12",Postages
Resources Group,Resources,WHISTL UK LIMITED,0,553.46,Postages
Resources Group,Finance,PRICE WATERHOUSE COOPERS,3058985,"13,561.00",Professional Fees & Consultancy
Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,958.17,Security Services
Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,0,"10,232.75",Telephone Costs
Resources Group,ICT,DAISY COMMUNICATIONS LTD,0,"9,111.47",Telephone Costs
Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,3051373,"1,200.00",Counselling Recharge
Resources Group,Human resources management,BODY 2 FIT LTD,3051374,"1,420.00",Physiotherapy Recharge
Resources Group,Human resources management,BOND DICKINSON,3051100,"22,860.00",Professional Fees & Consultancy
Resources Group,Human resources management,BOND DICKINSON,3051099,"5,083.35",Professional Fees & Consultancy
Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,0,"7,108.00",Professional Fees & Consultancy
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3060891,520.32,Cyclical - Intruder Alarms
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3060910,"1,863.84",Cyclical - Fire Alarms
Resources Group,Transformation,AIRCON REFRIGERATION LTD,3060648,500,Cyclical - Air Conditioning
Resources Group,Transformation,AIRCON REFRIGERATION LTD,3058933,"4,976.00",Alterations & Improvements - Mechanical
Resources Group,Transformation,AIRCON REFRIGERATION LTD,3058934,"4,992.00",Alterations & Improvements - Mechanical
Resources Group,Transformation,AQUAJET DRAIN CLEANING,3059415,"1,665.38",Repairs - Building Fabric
Resources Group,Transformation,BODY 2 FIT LTD,0,600,Rent Of Facilities
Resources Group,Transformation,COMBINED POWER (SOUTH) LTD,0,"2,331.82",Electricity
Resources Group,Transformation,DARLINGTON SCAFFOLDING LTD,3060406,507,Repairs - Electrical
Resources Group,Transformation,EDEN MOBILITY,3061056,671.98,Repairs - Building Fabric
Resources Group,Transformation,ELECTRONIC SECURITY SOLUTIONS LTD,3060311,529,Repairs - Building Fabric
Resources Group,Transformation,GUARDIAN ELECTRICAL SOLUTIONS,0,"3,650.00",Cyclical - Electrical Installation Test
Resources Group,Transformation,GUARDIAN ELECTRICAL SOLUTIONS,3054378,"5,840.00",Cyclical - Electrical Installation Test
Resources Group,Transformation,IAN ROSS VIDEO & AUDIO VISUAL,3060340,"2,175.00",Ict Consumables
Resources Group,Transformation,LLOYDS BRITISH TESTING CO LTD,3061282,640,Cyclical-Lift Maintenance
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"1,041.32",Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"2,761.65",Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"1,141.33",Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"2,664.66",Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"2,176.03",Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"4,231.39",Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"1,711.56",Water Charges
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"5,730.82",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"2,280.39",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"37,879.78",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"3,249.62",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"1,590.35",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"3,307.35",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"3,248.12",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"1,167.08",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,934.23,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"4,318.08",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,598.22,Electricity
Resources Group,Transformation,OTIS PLC,3060202,630,Employee Training Course Costs
