,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Directorate,INSTITUTE OF PUBLIC FINANCE LTD,4025.00,SUBSCRIPTIONS
INSERTED DETAIL,,Resources Group,Resources,ASSOCIATION OF NORTH EAST COUNCILS LTD,30156.00,SUBSCRIPTIONS
INSERTED DETAIL,,Resources Group,Resources,CDC RESPOND,2396.65,ICT SOFTWARE SUPPORT & MAINTENANCE
INSERTED DETAIL,,Resources Group,Resources,CHRYSTAL CONSULTING,5150.00,LEASING CHARGES
INSERTED DETAIL,,Resources Group,Resources,F G MARSHALL LTD,705.80,STATIONERY
INSERTED DETAIL,,Resources Group,Resources,IDOX SOFTWARE LTD,36437.97,ICT SOFTWARE SUPPORT & MAINTENANCE
INSERTED DETAIL,,Resources Group,Resources,IDOX SOFTWARE LTD,2375.00,ICT SOFTWARE SUPPORT & MAINTENANCE
INSERTED DETAIL,,Resources Group,Resources,KONICA MINOLTA BUSINESS SOLUTIONS EAST LTD,1414.20,PHOTOCOPY CHARGES
INSERTED DETAIL,,Resources Group,Resources,LOCAL GOVERNMENT ASSOCIATION,21290.17,SUBSCRIPTIONS
INSERTED DETAIL,,Resources Group,Resources,LOCAL GOVERNMENT ASSOCIATION,850.30,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1056.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1328.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1176.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1160.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MULTICORD,528.00,FIXTURES AND FITTINGS
INSERTED DETAIL,,Resources Group,Resources,NEIL COOKSON,1898.75,CONSULTANCY FEES
INSERTED DETAIL,,Resources Group,Resources,NEIL COOKSON,1790.75,CONSULTANCY FEES
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,1388.24,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,1210.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,NORTH EAST REGIONAL EMPLOYERS ORG,15680.00,SUBSCRIPTIONS
INSERTED DETAIL,,Resources Group,Resources,NORTHUMBRIAN WATER,2351.95,WATER CHARGES
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,3541.34,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1712.92,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1797.90,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,591.81,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1000.00,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,SIEMENS ENTERPRISE COMMUNICATIONS LTD,3275.60,ICT HARDWARE PURCHASE
INSERTED DETAIL,,Resources Group,Resources,SUCCESSFUL SPEECHES,520.00,EMPLOYEE TRAINING COURSE COSTS
INSERTED DETAIL,,Resources Group,Resources,SWEET & MAXWELL LTD,7773.44,SUBSCRIPTIONS
INSERTED DETAIL,,Resources Group,Resources,THE DOCUMENT MANAGEMENT GROUP,575.00,ICT SOFTWARE SUPPORT & MAINTENANCE
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2158.54,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2618.12,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,841.25,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,576.04,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1828.40,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,503.29,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1477.39,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1420.03,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1536.20,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2810.00,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1391.36,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2148.66,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,WATERSTONS,1785.00,INTERNET COSTS
INSERTED DETAIL,,Resources Group,Resources,WATERSTONS,3850.00,INTERNET COSTS
INSERTED DETAIL,,Resources Group,Resources,WATERSTONS,4400.00,ICT HARDWARE SUPPORT & MAINTENANCE
INSERTED DETAIL,,Resources Group,Resources,XPRESS SOFTWARE SOLUTIONS LTD,11220.00,ICT HARDWARE PURCHASE
INSERTED DETAIL,,Resources Group,Finance,EDEN BROWN,667.20,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Finance,EDEN BROWN,654.40,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Finance,EDEN BROWN,516.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Finance,EDEN BROWN,607.70,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Finance,MDNX ENTERPRISE SERVICES LTD,1290.00,ICT HARDWARE SUPPORT & MAINTENANCE
INSERTED DETAIL,,Resources Group,Finance,MDNX ENTERPRISE SERVICES LTD,1290.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Finance,MDNX ENTERPRISE SERVICES LTD,2292.54,ICT HARDWARE SUPPORT & MAINTENANCE
INSERTED DETAIL,,Resources Group,Finance,PRICE WATERHOUSE COOPERS,20547.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Finance,SECURICOR CASH SERVICES LTD,1327.44,SECURITY SERVICES
INSERTED DETAIL,,Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,579.38,TELEPHONE COSTS
INSERTED DETAIL,,Resources Group,ICT,DAISY COMMUNICATIONS LTD,10440.69,TELEPHONE COSTS
INSERTED DETAIL,,Resources Group,ICT,EUROPEAN ELECTRONIQUE,27447.49,ICT HARDWARE PURCHASE
INSERTED DETAIL,,Resources Group,ICT,EUROPEAN ELECTRONIQUE,30056.10,ICT HARDWARE PURCHASE
INSERTED DETAIL,,Resources Group,ICT,EUROPEAN ELECTRONIQUE,27924.12,ICT HARDWARE PURCHASE
INSERTED DETAIL,,Resources Group,ICT,EUROPEAN ELECTRONIQUE,33678.32,ICT HARDWARE PURCHASE
INSERTED DETAIL,,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,878.47,TELEPHONE COSTS
INSERTED DETAIL,,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,1650.00,COUNSELLING RECHARGE
INSERTED DETAIL,,Resources Group,Human resources management,BODY 2 FIT LTD,1800.00,PHYSIOTHERAPY RECHARGE
INSERTED DETAIL,,Resources Group,Human resources management,DICKINSON DEES LAW FIRM,10426.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Human resources management,DICKINSON DEES LAW FIRM,6803.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,3414.00,CRB CHECKS
INSERTED DETAIL,,Resources Group,Human resources management,HAY GROUP LTD,1850.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Human resources management,JIGSAW @ WORK,6657.00,EMPLOYEE TRAINING COURSE COSTS
INSERTED DETAIL,,Resources Group,Human resources management,LANGTON (MEDICAL TRAINING) LTD,600.00,EMPLOYEE TRAINING COURSE COSTS
INSERTED DETAIL,,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,7782.37,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,8497.41,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Human resources management,NORTH EAST REGIONAL EMPLOYERS ORG,5877.00,SUBSCRIPTIONS
