,,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Resources,ADARE LIMITED,3071288,1876.55,Stationery
INSERTED DETAIL,,Resources Group,Resources,ADARE LIMITED,3071288,2600.44,Stationery
INSERTED DETAIL,,Resources Group,Resources,ELECTORAL REFORM SERVICES,3074500,2615.96,Ict Consumables
INSERTED DETAIL,,Resources Group,Resources,ELIZABETH CALLAGHAN,3074490,650,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,KOMODO DESIGN LTD,3074051,811.43,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,LGA CONFERENCE,3065684,1485.00,Conferences & Seminars
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1531.25,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1408.75,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1522.50,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1400.00,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1557.50,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1566.25,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1601.25,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,NEIL COOKSON,3071632,527,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST MEDIA GROUP,3061271,524,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST MEDIA GROUP,3066389,524,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,NORTHGATE PUBLIC SERVICES (UK) LTD,3064412,846.4,Other Supplies & Services
INSERTED DETAIL,,Resources Group,Resources,NORTHGATE PUBLIC SERVICES (UK) LTD,3064412,1150.00,Other Supplies & Services
INSERTED DETAIL,,Resources Group,Resources,OSBORNES SOLICITORS LLP,3074510,525,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,PRIMARY PUBLISHING TEESSIDE LTD,3073696,880,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1351.91,Postages
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1191.74,Postages
INSERTED DETAIL,,Resources Group,Resources,TURKINGTON PSYCHIATRY LIMITED,3073199,1620.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,1824.15,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,1574.93,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,1901.48,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,1982.44,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,2096.26,Postages
INSERTED DETAIL,,Resources Group,Finance,OXFORD COMPUTER CONSULTANTS,3073560,16416.00,Ict Software Purchase
INSERTED DETAIL,,Resources Group,ICT,CISILION LTD,3072097,6198.40,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,ICT,CISILION LTD,3072097,8313.78,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,ICT,DAISY COMMUNICATIONS LTD,0,6794.54,Telephone Costs
INSERTED DETAIL,,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,0,3983.53,Telephone Costs
INSERTED DETAIL,,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,3067048,882,Counselling Recharge
INSERTED DETAIL,,Resources Group,Human resources management,BODY 2 FIT LTD,3067051,2520.00,Physiotherapy Recharge
INSERTED DETAIL,,Resources Group,Human resources management,BOND DICKINSON,3065636,2937.50,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,0,2156.00,DBS Checks
INSERTED DETAIL,,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3067011,5286.50,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Human resources management,MR JAMIE ANDERSON,3074289,750,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Human resources management,SYD STRIKE TRAINING SOLUTIONS,3073373,1740.00,Employee Training Course Costs
INSERTED DETAIL,,Resources Group,Human resources management,THOMPSONS SOLICITORS,0,1028.39,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Transformation,AIRCON REFRIGERATION LTD,3071572,565.6,Cyclical - Air Conditioning
INSERTED DETAIL,,Resources Group,Transformation,CANON (UK) LIMITED,0,20876.65,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,Transformation,COMBINED POWER (SOUTH) LTD,0,2366.25,Electricity
INSERTED DETAIL,,Resources Group,Transformation,CROSSLING LTD,3071538,508.8,Repairs - Mechanical
INSERTED DETAIL,,Resources Group,Transformation,CROSSLING LTD,3068529,2871.12,Repairs - Mechanical
INSERTED DETAIL,,Resources Group,Transformation,EASBY FLOORING LTD,3071350,1465.00,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,ELDERS WALKER GLASS LTD,3073103,636.25,Repairs - Door Entry System
INSERTED DETAIL,,Resources Group,Transformation,FRANCIS CONSTRUCTION,3069437,840,Ground Maintenance
INSERTED DETAIL,,Resources Group,Transformation,FRANCIS CONSTRUCTION,3072608,1600.00,Vandalism - Repairs & Cleaning
