,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,12271.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,LLOYDS REGISTER QUALITY ASSURANCE LTD,1440.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,PRICE WATERHOUSE COOPERS,8910.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Corporate Services,Accountancy & Local Taxation,TWOFOLD LTD,1166.50,STATIONERY
INSERTED DETAIL,,Corporate Services,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,1316.21,LEASING CHARGES
INSERTED DETAIL,,Corporate Services,Corporate Services,DELOITTE LLP,18493.03,CONSULTANCY FEES
INSERTED DETAIL,,Corporate Services,Corporate Services,DTZ CONSULTING & RESEARCH,2260.00,CONSULTANCY FEES
INSERTED DETAIL,,Corporate Services,Corporate Services,IDOX SOFTWARE LTD,950.00,CONSULTANCY FEES
INSERTED DETAIL,,Corporate Services,Corporate Services,NORTHUMBRIAN WATER,7876.83,WATER CHARGES
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,1850.11,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,3056.88,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,695.75,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,56216.02,ELECTRICITY
INSERTED DETAIL,,Corporate Services,Corporate Services,SCHOTT REMOVALS TRANSPORT LTD,1423.10,REMOVAL COSTS - STAFF MOVES
INSERTED DETAIL,,Corporate Services,Corporate Services,TEAM (EAA LTD),1497.00,ICT SOFTWARE PURCHASE
INSERTED DETAIL,,Corporate Services,Director,INSTITUTE OF PUBLIC FINANCE LTD,4500.00,SUBSCRIPTIONS
INSERTED DETAIL,,Corporate Services,Human Resources,ALLIANCE PSYCHOLOGICAL SERVICES,1800.00,COUNSELLING RECHARGE
INSERTED DETAIL,,Corporate Services,Human Resources,BODY 2 FIT LTD,1980.00,PHYSIOTHERAPY RECHARGE
INSERTED DETAIL,,Corporate Services,Human Resources,COREPEOPLE RECRUITMENT LTD,711.88,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Corporate Services,Human Resources,COREPEOPLE RECRUITMENT LTD,711.88,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Corporate Services,Human Resources,COREPEOPLE RECRUITMENT LTD,707.07,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Corporate Services,ICT & Printing,BT TELEPHONE PAYMENT CENTRE,7898.82,TELEPHONE COSTS
INSERTED DETAIL,,Corporate Services,ICT & Printing,CORPORATE COMPUTER SUPPLIES LTD,30681.00,ICT HARDWARE PURCHASE
INSERTED DETAIL,,Corporate Services,ICT & Printing,CORPORATE COMPUTER SUPPLIES LTD,14400.00,ICT HARDWARE SUPPORT & MAINTENANCE
INSERTED DETAIL,,Corporate Services,ICT & Printing,DAISY COMMUNICATIONS LTD,9967.22,TELEPHONE COSTS
INSERTED DETAIL,,Corporate Services,ICT & Printing,VIRGIN MEDIA BUSINESS LIMITED,924.21,TELEPHONE COSTS
