Darlington Borough Council - Analysis of Transactions Over £500,,,,,
Jan-15,,,,,
,,,,,
,,,,,
,,,,,
Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
Resources Group,Resources,APHA BIO LABS,3061576,510,Professional Fees & Consultancy
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,605.69,Agency Staff Costs - Non Teaching
Resources Group,Resources,DURHAM BUSINESSWEAR LTD,3062297,731.75,Purchase Of Clothing
Resources Group,Resources,FORENSIS,3061729,"1,792.68",Professional Fees & Consultancy
Resources Group,Resources,GAZETTE MEDIA COMPANY,3060661,654,Marketing & Advertising
Resources Group,Resources,INDEPENDENT CLINICAL INITIATIVE SERVICES LTD,3061734,"3,273.43",Professional Fees & Consultancy
Resources Group,Resources,KANA,3039008,"3,000.00",Ict Software Purchase
Resources Group,Resources,MANNING LIMITED,3059196,"1,030.95",Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,910,Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,"1,155.00",Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,"1,470.00",Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,"1,163.75",Agency Staff Costs - Non Teaching
Resources Group,Resources,MISS JESSICA BARROWMAN,3061578,"1,150.00",Professional Fees & Consultancy
Resources Group,Resources,MR CRISPIN OLIVER,3062421,"2,450.00",Professional Fees & Consultancy
Resources Group,Resources,MR CRISPIN OLIVER,3061585,"1,050.00",Professional Fees & Consultancy
Resources Group,Resources,MR CRISPIN OLIVER,3061737,"3,500.00",Professional Fees & Consultancy
Resources Group,Resources,MR STEPHEN AINSLEY,3061725,"1,600.00",Professional Fees & Consultancy
Resources Group,Resources,MR STEPHEN AINSLEY,3062386,"1,300.00",Professional Fees & Consultancy
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3056956,852,Marketing & Advertising
Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,3051005,846.4,Other Supplies & Services
Resources Group,Resources,PHILIP CORDERY,3061726,800,Professional Fees & Consultancy
Resources Group,Resources,PHILIP CORDERY,3061727,"1,000.00",Professional Fees & Consultancy
Resources Group,Resources,ROYAL MAIL NORTH EAST,0,825.7,Postages
Resources Group,Resources,THOMSON REUTERS,3034779,"2,129.00",Subscriptions
Resources Group,Resources,THOMSON REUTERS,3060973,"1,827.00",Books
Resources Group,Resources,THOMSON REUTERS,3060975,"2,315.00",Books
Resources Group,Resources,WHISTL UK LIMITED,0,"1,475.11",Postages
Resources Group,Resources,WHISTL UK LIMITED,0,"3,413.20",Postages
Resources Group,Resources,WHISTL UK LIMITED,0,"1,723.51",Postages
Resources Group,Resources,WHISTL UK LIMITED,0,742.67,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,949.09,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,"2,434.88",Postages
Resources Group,Resources,WOLVISTON MANAGEMENT SERVICES LTD,3058869,"1,362.40",Agency Staff Costs - Non Teaching
Resources Group,Resources,WOLVISTON MANAGEMENT SERVICES LTD,3058869,812.2,Agency Staff Costs - Non Teaching
Resources Group,Resources,XPRESS SOFTWARE SOLUTIONS LTD,3061642,500,Other Supplies & Services
