Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
Resources Group,Directorate,CIPFA,3064383,7570.00,Subscriptions
Resources Group,Resources,ADARE LIMITED,3061161,2521.14,Stationery
Resources Group,Resources,COMMUNICORP UK,3062738,950,Marketing & Advertising
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,569.82,Agency Staff Costs - Non Teaching
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,593.56,Agency Staff Costs - Non Teaching
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,601.92,Agency Staff Costs - Non Teaching
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,597.74,Agency Staff Costs - Non Teaching
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,526.68,Agency Staff Costs - Non Teaching
Resources Group,Resources,GLOBAL RADIO SERVICES LTD,3064511,2400.00,Marketing & Advertising
Resources Group,Resources,IDOX SOFTWARE LTD,3062815,1425.00,Consultancy Fees
Resources Group,Resources,ISAPPHIRE LTD,3063768,529.35,Marketing & Advertising
Resources Group,Resources,ISAPPHIRE LTD,3065067,895,Marketing & Advertising
Resources Group,Resources,KANA,3063945,40133.99,Ict Software Support & Maintenance
Resources Group,Resources,KATE DODDS,3065573,1000.00,Professional Fees & Consultancy
Resources Group,Resources,KOMODO DESIGN LTD,3064251,893.69,Marketing & Advertising
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3063588,512,Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1522.50,Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1522.50,Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1435.00,Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1391.25,Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1478.75,Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1478.75,Agency Staff Costs - Non Teaching
Resources Group,Resources,MISS SARAH GREENAN,3064201,740,Professional Fees & Consultancy
Resources Group,Resources,MR GERALD BROWNE,3063997,950,Professional Fees & Consultancy
Resources Group,Resources,MR STEPHEN AINSLEY,3063993,1350.00,Professional Fees & Consultancy
Resources Group,Resources,MRS ELAINE AVERIS,3064195,800,Professional Fees & Consultancy
Resources Group,Resources,MRS GILLIAN KANE,3065593,650,Professional Fees & Consultancy
Resources Group,Resources,NEIL COOKSON,3035690,1044.25,Consultancy Fees
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3061271,2091.39,Marketing & Advertising
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3064515,745.34,Marketing & Advertising
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3061271,524,Marketing & Advertising
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3061271,524,Marketing & Advertising
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3061271,786,Marketing & Advertising
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3061271,524,Marketing & Advertising
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3060108,694.23,Advertising
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3061271,786,Marketing & Advertising
Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,3051005,542.8,Other Supplies & Services
Resources Group,Resources,OCTAGON LEGAL,3064203,700,Professional Fees & Consultancy
Resources Group,Resources,PHILIP CORDERY,3064198,1350.00,Professional Fees & Consultancy
Resources Group,Resources,PRIMARY PUBLISHING TEESSIDE LTD,3063281,1190.00,Marketing & Advertising
Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1106.06,Postages
Resources Group,Resources,ROYAL MAIL NORTH EAST,0,978.8,Postages
Resources Group,Resources,SHAW AND SONS LTD,3062059,1000.00,Other Supplies & Services
Resources Group,Resources,SHAW AND SONS LTD,3061952,1394.40,Other Supplies & Services
Resources Group,Resources,SUPPLIES TEAM,3063963,1140.00,Stationery
Resources Group,Resources,TCS MEDIA,0,1600.00,Marketing & Advertising
Resources Group,Resources,WHISTL UK LIMITED,0,2957.74,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,1776.82,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,587.54,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,928.4,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,514.09,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,8738.27,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,2564.64,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,2838.75,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,2298.26,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,758.18,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,2936.78,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,1061.87,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,2546.16,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,1377.33,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,1261.93,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,2273.30,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,1435.24,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,4336.43,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,1428.92,Postages
Resources Group,Finance,CIPFA,3064942,775,Ict Software Purchase
Resources Group,Finance,CIPFA,3064717,1770.00,Employee Training Course Costs
Resources Group,Finance,OXFORD COMPUTER CONSULTANTS,3064266,1500.00,Ict Software Purchase
Resources Group,Finance,PRICE WATERHOUSE COOPERS,3058985,13561.00,Professional Fees & Consultancy
Resources Group,Finance,PRICE WATERHOUSE COOPERS,3058985,13561.00,Professional Fees & Consultancy
Resources Group,Finance,PRICE WATERHOUSE COOPERS,3058985,3000.00,Professional Fees & Consultancy
Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,985.44,Security Services
Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,0,569,Telephone Costs
Resources Group,ICT,DAISY COMMUNICATIONS LTD,0,8647.13,Telephone Costs
Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,0,4243.88,Telephone Costs
Resources Group,Human resources management,ACAS,3062646,520,Employee Training Course Costs
Resources Group,Human resources management,BODY 2 FIT LTD,3051374,1400.00,Physiotherapy Recharge
Resources Group,Human resources management,BOND DICKINSON,3051099,937.5,Professional Fees & Consultancy
Resources Group,Human resources management,BOND DICKINSON,3051100,5755.00,Professional Fees & Consultancy
