,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Resources,CIVICA,2940.00,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,Resources,ELECTORAL REFORM SERVICES,695.17,Basic Pay
INSERTED DETAIL,,Resources Group,Resources,ELECTORAL REFORM SERVICES,1702.95,Stationery
INSERTED DETAIL,,Resources Group,Resources,iCASEWORK LTD,3436.10,Ict Software Purchase
INSERTED DETAIL,,Resources Group,Resources,KANA,4000.00,Ict Software Purchase
INSERTED DETAIL,,Resources Group,Resources,LOCAL GOVERNMENT ASSOCIATION,2308.08,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,MANNING LIMITED,1500.20,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MISS FARZANA TAI,525.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,MISS SARA ANNING,900.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,MULTICORD,528.00,Fixtures And Fittings
INSERTED DETAIL,,Resources Group,Resources,NEIL COOKSON,531.25,Consultancy Fees
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,6584.58,Printing
INSERTED DETAIL,,Resources Group,Resources,NORTHERN ROUND DELIVERY SERVICES,1160.00,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,782.00,Other Supplies & Services
INSERTED DETAIL,,Resources Group,Resources,PRIMARY PUBLISHING TEESSIDE LTD,880.00,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,RESTORE SHRED LTD,510.00,Waste Disposal
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,701.27,Postages
INSERTED DETAIL,,Resources Group,Resources,THOMSON REUTERS,714.40,Books
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2681.55,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1310.72,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2987.36,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,769.51,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,963.46,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1780.36,Postages
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,3501.54,Postages
INSERTED DETAIL,,Resources Group,Resources,VIGLEN LTD,1502.00,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,Resources,WATERSTONS,16070.00,Ict Software Support & Maintenance
INSERTED DETAIL,,Resources Group,Resources,WATERSTONS,1785.00,Internet Costs
INSERTED DETAIL,,Resources Group,Resources,WATERSTONS,2480.00,Ict Software Support & Maintenance
INSERTED DETAIL,,Resources Group,Finance,LG FUTURES,1333.00,Subscriptions
INSERTED DETAIL,,Resources Group,Finance,LYTESTREAM ELECTRICAL CONTRACTORS,5613.24,Repairs - Electrical
INSERTED DETAIL,,Resources Group,Finance,PRICE WATERHOUSE COOPERS,12150.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Finance,PRICE WATERHOUSE COOPERS,13561.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Finance,SECURICOR CASH SERVICES LTD,999.27,Security Services
INSERTED DETAIL,,Resources Group,Finance,SHRED-IT EUROPE LTD,542.00,Stationery
INSERTED DETAIL,,Resources Group,Finance,THE COPYRIGHT LICENSING AGENCY LTD,2557.23,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,583.15,Telephone Costs
INSERTED DETAIL,,Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,617.03,Telephone Costs
INSERTED DETAIL,,Resources Group,ICT,CABLE & WIRELESS,2714.49,Telephone Costs
INSERTED DETAIL,,Resources Group,ICT,DAISY COMMUNICATIONS LTD,10266.06,Telephone Costs
INSERTED DETAIL,,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,1010.89,Telephone Costs
INSERTED DETAIL,,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,1050.00,Counselling Recharge
INSERTED DETAIL,,Resources Group,Human resources management,BODY 2 FIT LTD,1500.00,Physiotherapy Recharge
INSERTED DETAIL,,Resources Group,Human resources management,BOND DICKINSON,4800.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,2710.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,852.35,Medical
INSERTED DETAIL,,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,7871.75,Professional Fees & Consultancy
