,,Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Resources,ACCESS POINT LTD,3072770,735,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,ASSOCIATION OF ELECTORAL ADMINISTRATORS,3074617,665,Employee Training Course Costs
INSERTED DETAIL,,Resources Group,Resources,DONOVAN GRAPHICS LTD,3074578,1327.00,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,ELIZABETH CALLAGHAN,3075084,5850.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,ISAPPHIRE LTD,3074613,500,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,ISAPPHIRE LTD,3074580,500,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,KATE DODDS,3074494,1200.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,KOMODO DESIGN LTD,3075339,670.5,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1417.50,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1513.75,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1452.50,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1478.75,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1531.25,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MISS COLLETTE PRICE,3075097,550,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,MRS GILLIAN KANE,3075094,4700.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST MEDIA GROUP,3066389,524,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,NORTHGATE PUBLIC SERVICES (UK) LTD,3043554,550,Ict Software Support & Maintenance
INSERTED DETAIL,,Resources Group,Resources,NORTHGATE PUBLIC SERVICES (UK) LTD,3043554,550,Ict Software Support & Maintenance
INSERTED DETAIL,,Resources Group,Resources,NORTHGATE PUBLIC SERVICES (UK) LTD,3043554,550,Ict Software Support & Maintenance
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1054.57,Postages
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1384.15,Postages
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1236.34,Postages
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1054.36,Postages
INSERTED DETAIL,,Resources Group,Resources,TCS MEDIA,3065726,5034.00,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,THE LAW SOCIETY,3075095,3464.00,Subscriptions
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,1354.53,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,1550.26,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,1447.63,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,2474.84,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,2118.18,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,2196.68,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,2759.11,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,1510.83,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,2284.03,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,1513.01,Postages
INSERTED DETAIL,,Resources Group,Finance,COLLIERS INTERNATIONAL,3074934,12739.78,Other Supplies & Services
INSERTED DETAIL,,Resources Group,Finance,ERNST & YOUNG LLP,3075276,25544.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Finance,LG FUTURES,0,995,Subscriptions
INSERTED DETAIL,,Resources Group,Finance,OXFORD COMPUTER CONSULTANTS,3075051,4884.00,Ict Software Purchase
INSERTED DETAIL,,Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,985.64,Security Services
INSERTED DETAIL,,Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,0,6760.81,Telephone Costs
INSERTED DETAIL,,Resources Group,ICT,DAISY COMMUNICATIONS LTD,0,6978.41,Telephone Costs
INSERTED DETAIL,,Resources Group,ICT,MACFARLANE TELESYSTEMS LIMITED (MTS),3069735,66001.60,Ict Hardware Support & Maintenance
INSERTED DETAIL,,Resources Group,ICT,MACFARLANE TELESYSTEMS LIMITED (MTS),3072753,1830.00,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,ICT,UNIFY ENTERPRISE COMMUNICATIONS LTD,0,5548.00,Equipment
INSERTED DETAIL,,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,0,3734.40,Telephone Costs
INSERTED DETAIL,,Resources Group,ICT,VODAFONE,0,2664.21,Telephone Costs
INSERTED DETAIL,,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,3067048,1421.00,Counselling Recharge
INSERTED DETAIL,,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,3067048,1225.00,Counselling Recharge
INSERTED DETAIL,,Resources Group,Human resources management,BODY 2 FIT LTD,3067051,1900.00,Physiotherapy Recharge
INSERTED DETAIL,,Resources Group,Human resources management,BODY 2 FIT LTD,3067051,2400.00,Physiotherapy Recharge
INSERTED DETAIL,,Resources Group,Human resources management,BOND DICKINSON,3065636,2100.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,0,3326.00,DBS Checks
INSERTED DETAIL,,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3073918,2235.00,Employee Related Health Schemes
INSERTED DETAIL,,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3067011,9761.78,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Transformation,AIRCON REFRIGERATION LTD,3067590,530,Cyclical - Air Conditioning
INSERTED DETAIL,,Resources Group,Transformation,AIRCON REFRIGERATION LTD,3067744,760,Cyclical - Air Conditioning
INSERTED DETAIL,,Resources Group,Transformation,ARROW INDUSTRIAL GROUP LTD,3073535,1503.00,Repairs - Door Entry System
INSERTED DETAIL,,Resources Group,Transformation,CANON (UK) LIMITED,3072315,1216.49,Ict Hardware Purchase
