Darlington Borough Council - Analysis of Transactions Over œ500,,,,,
Nov-14,,,,,
,,,,,
,,,,,
Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
Resources Group,Resources,ADARE LIMITED,3059248,861.55,Stationery
Resources Group,Resources,ADARE LIMITED,3059712,725.85,Stationery
Resources Group,Resources,ADARE LIMITED,3059712,917,Stationery
Resources Group,Resources,CIVICA,3045846,516.6,Ict Hardware Purchase
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3054832,624.68,Agency Staff Costs - Non Teaching
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3054832,624.68,Agency Staff Costs - Non Teaching
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3054832,641.35,Agency Staff Costs - Non Teaching
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3054832,613.88,Agency Staff Costs - Non Teaching
Resources Group,Resources,ISAPPHIRE LTD,3059084,874.85,Marketing & Advertising
Resources Group,Resources,ISAPPHIRE LTD,3059827,671.45,Marketing & Advertising
Resources Group,Resources,MANNING LIMITED,3059196,"1,284.12",Agency Staff Costs - Non Teaching
Resources Group,Resources,NEIL COOKSON,3035690,845.5,Consultancy Fees
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3056956,515,Marketing & Advertising
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3052321,536.52,Advertising
Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,3051005,611.8,Other Supplies & Services
Resources Group,Resources,PHOENIX SOFTWARE LTD,3059987,"1,400.65",Ict Software Purchase
Resources Group,Resources,PRIMARY PUBLISHING TEESSIDE LTD,3058218,880,Marketing & Advertising
Resources Group,Resources,ROYAL MAIL NORTH EAST,0,"1,047.58",Postages
Resources Group,Resources,ROYAL MAIL NORTH EAST,0,"1,003.82",Postages
Resources Group,Resources,TCS MEDIA,3057282,"1,550.00",Marketing & Advertising
Resources Group,Resources,THE LAW SOCIETY,3060088,"3,736.00",Subscriptions
Resources Group,Resources,VIGLEN LTD,3059989,"1,030.00",Ict Hardware Purchase
Resources Group,Resources,WHISTL UK LIMITED,0,"2,402.65",Postages
Resources Group,Resources,WHISTL UK LIMITED,0,"2,925.63",Postages
Resources Group,Resources,WHISTL UK LIMITED,0,"1,179.19",Postages
Resources Group,Resources,WHISTL UK LIMITED,0,"1,398.99",Postages
Resources Group,Resources,WHISTL UK LIMITED,0,"1,509.71",Postages
Resources Group,Resources,WHISTL UK LIMITED,0,574.29,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,"3,050.80",Postages
Resources Group,Resources,WHISTL UK LIMITED,0,886.44,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,506.2,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,"1,198.44",Postages
Resources Group,Resources,WHISTL UK LIMITED,0,"3,029.80",Postages
Resources Group,Resources,WOLVISTON MANAGEMENT SERVICES LTD,3058869,571.16,Agency Staff Costs - Non Teaching
Resources Group,Finance,MORGAN KAI LIMITED,3060645,"1,093.96",Ict Software Support & Maintenance
Resources Group,Finance,PRICE WATERHOUSE COOPERS,3058985,"13,561.00",Professional Fees & Consultancy
Resources Group,Finance,PRICE WATERHOUSE COOPERS,3058985,"13,561.00",Professional Fees & Consultancy
Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,974.51,Security Services
Resources Group,ICT,DAISY COMMUNICATIONS LTD,0,"9,668.00",Telephone Costs
Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,0,"1,662.15",Telephone Costs
Resources Group,ICT,VODAFONE,0,"2,698.54",Telephone Costs
Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,3051373,"1,300.00",Counselling Recharge
Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,3051373,"1,400.00",Counselling Recharge
Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,3051373,"1,250.00",Counselling Recharge
Resources Group,Human resources management,BODY 2 FIT LTD,3051374,"1,440.00",Physiotherapy Recharge
Resources Group,Human resources management,BOND DICKINSON,3051099,"3,333.32",Professional Fees & Consultancy
Resources Group,Human resources management,BOND DICKINSON,3051100,"20,355.00",Professional Fees & Consultancy
Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,0,"4,294.00",DBS Checks
Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3059362,850,Employee Related Health Schemes
Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3051383,"7,871.33",Professional Fees & Consultancy
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3058559,"2,489.07",Cyclical - Fire Alarms
Resources Group,Transformation,AIRCON REFRIGERATION LTD,3055659,520,Cyclical - Air Conditioning
Resources Group,Transformation,AIRCON REFRIGERATION LTD,3043562,750,Cyclical - Air Conditioning
Resources Group,Transformation,BODY 2 FIT LTD,0,600,Rent Of Facilities
Resources Group,Transformation,COMBINED POWER (SOUTH) LTD,0,"2,439.39",Repairs - Intruder Alarms
Resources Group,Transformation,CORONA ENERGY LTD,0,"2,879.55",Gas
Resources Group,Transformation,CORONA ENERGY LTD,0,"42,077.19",Gas
Resources Group,Transformation,DARLINGTON SCAFFOLDING LTD,3058467,"1,347.00",Repairs - Building Fabric
Resources Group,Transformation,ELECTRONIC SECURITY SOLUTIONS LTD,3057709,"3,250.00",Cyclical - Intruder Alarms
Resources Group,Transformation,ELECTRONIC SECURITY SOLUTIONS LTD,3058718,"2,658.00",Repairs - Mechanical
Resources Group,Transformation,ELECTRONIC SECURITY SOLUTIONS LTD,3057071,"2,800.00",Cyclical - Electrical Installation Test
Resources Group,Transformation,GUARDIAN ELECTRICAL SOLUTIONS,3054207,"10,690.00",Cyclical - Electrical Installation Test
Resources Group,Transformation,HAYLES & HOWE LTD,3059716,"2,816.00",Cyclical - Building Surveys
Resources Group,Transformation,HAYLES & HOWE LTD,3059716,"3,001.00",Cyclical - Building Surveys
Resources Group,Transformation,HAYLES & HOWE LTD,3059716,"3,001.00",Cyclical - Building Surveys
Resources Group,Transformation,MAINTEL HOLDINGS PLC,3060644,906.91,Ict Hardware Support & Maintenance
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"1,664.08",Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"1,250.39",Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,810.32,Water Charges
