Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
Resources Group,Resources,ADARE LIMITED,3058931,1066.90,Stationery
Resources Group,Resources,ADARE LIMITED,3058931,983.62,Stationery
Resources Group,Resources,ADARE LIMITED,3058932,2442.14,Postages
Resources Group,Resources,APHA BIO LABS,3058246,525,Professional Fees & Consultancy
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3054832,556.92,Agency Staff Costs - Non Teaching
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3054832,617.25,Agency Staff Costs - Non Teaching
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3054832,608.44,Agency Staff Costs - Non Teaching
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3054832,634.27,Agency Staff Costs - Non Teaching
Resources Group,Resources,ISAPPHIRE LTD,3059085,563.85,Marketing & Advertising
Resources Group,Resources,MANNING LIMITED,3059196,1117.08,Agency Staff Costs - Non Teaching
Resources Group,Resources,MANNING LIMITED,3059196,1218.87,Agency Staff Costs - Non Teaching
Resources Group,Resources,MISS FIONA MCCRAE,3058258,575,Professional Fees & Consultancy
Resources Group,Resources,MR STEPHEN AINSLEY,3057713,6500.00,Professional Fees & Consultancy
Resources Group,Resources,NEIL COOKSON,3035690,547,Consultancy Fees
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3056956,515,Marketing & Advertising
Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,3058598,1100.00,Other Supplies & Services
Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,3051005,1140.80,Other Supplies & Services
Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1270.75,Postages
Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1095.47,Postages
Resources Group,Resources,VIGLEN LTD,3058086,588,Ict Hardware Purchase
Resources Group,Resources,WHISTL UK LIMITED,0,842.05,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,2612.28,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,3181.60,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,1468.64,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,2542.05,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,2490.76,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,1119.13,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,610.9,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,540.13,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,2850.19,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,3242.68,Postages
Resources Group,Finance,AUDIT COMMISSION,3056324,3650.00,Professional Fees & Consultancy
Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,1059.16,Security Services
Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,958.18,Security Services
Resources Group,Finance,THE COPYRIGHT LICENSING AGENCY LTD,3058910,4094.31,Professional Fees & Consultancy
Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,0,569,Telephone Costs
Resources Group,ICT,BT TELEPHONE PAYMENT CENTRE,0,553.22,Telephone Costs
