,,Directotate,Service,Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
INSERTED DETAIL,,Balance Sheet,Balance Sheet,COUNTY DURHAM COMMUNITY FOUNDATION,55369128,2018-02-21,8287.36,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,DARLINGTON CREDIT UNION LIMITED,11118376,2018-03-28,14367.33,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,DWF LLP,55372441,2018-03-19,1206.90,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,HALFORDS,55370838,2018-01-16,6233.33,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,KIDDIVOUCHERS LTD,55372208,2018-03-11,12532.28,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,MIDDLESBROUGH BOROUGH COUNCIL,55368521,2018-02-01,2187.04,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,NHS PENSIONS,11118353,2018-03-28,3772.46,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,PRUDENTIAL LOCAL GOVERNMENT,11118349,2018-03-28,25305.92,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,STANDARD LIFE,11118352,2018-03-28,1790.86,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,THE DARLINGTON LABOUR GROUP,11118378,2018-03-28,1550.06,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,UNISON L04007,11118377,2018-03-28,6533.58,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,Balance Sheet,Balance Sheet,UNITE,11118379,2018-03-28,552.66,General Debits,NON-BUDGETED,NON BUDGETED
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,EDIT LEARNING LTD,1088086,2018-03-12,645.77,Dfc - Info & Communications Tech,Capital Expenditure,Capital Equipment
INSERTED DETAIL,,CHILDREN'S SERVICES,EDUCATION,INSIGHT UK - SHEFFIELD,1088242,2018-03-15,661.98,Dfc - Info & Communications Tech,Capital Expenditure,Capital Equipment
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,AKW MEDI-CARE LTD,11118047,2018-03-12,3285.74,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,AKW MEDI-CARE LTD,11118048,2018-03-12,1650.25,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,DURHAM COUNTY COUNCIL,11118040,2018-03-12,844.01,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11118036,2018-03-12,3724.00,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11118219,2018-03-26,3667.00,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11118221,2018-03-26,4265.00,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11118222,2018-03-26,3725.00,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11118079,2018-03-16,2161.00,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11118119,2018-03-16,4365.00,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,HES GROUP UK LTD,11118121,2018-03-16,1815.00,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11118113,2018-03-16,7168.50,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,M & R DEVELOPMENTS & CONTRACTORS LTD,11118049,2018-03-12,9922.50,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,MDS BUILDING & ROOFING CONTRACTOR,11118114,2018-03-16,6830.00,Capital Grants,Capital Expenditure,Capital Other
INSERTED DETAIL,,COMMISSIONING,DISABLED FACILITIES GRANT,PEART FENCING,11118045,2018-03-12,1989.00,Capital Grants,Capital Expenditure,Capital Other
