Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
Resources Group,Resources,APHA BIO LABS,3061576,510,Professional Fees & Consultancy
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3062390,605.69,Agency Staff Costs - Non Teaching
Resources Group,Resources,DURHAM BUSINESSWEAR LTD,3062297,731.75,Purchase Of Clothing
Resources Group,Resources,FORENSIS,3061729,1792.68,Professional Fees & Consultancy
Resources Group,Resources,GAZETTE MEDIA COMPANY,3060661,654,Marketing & Advertising
Resources Group,Resources,INDEPENDENT CLINICAL INITIATIVE SERVICES LTD,3061734,3273.43,Professional Fees & Consultancy
Resources Group,Resources,KANA,3039008,3000.00,Ict Software Purchase
Resources Group,Resources,MANNING LIMITED,3059196,1030.95,Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,910,Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1155.00,Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1470.00,Agency Staff Costs - Non Teaching
Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3060864,1163.75,Agency Staff Costs - Non Teaching
Resources Group,Resources,MISS JESSICA BARROWMAN,3061578,1150.00,Professional Fees & Consultancy
Resources Group,Resources,MR CRISPIN OLIVER,3062421,2450.00,Professional Fees & Consultancy
Resources Group,Resources,MR CRISPIN OLIVER,3061585,1050.00,Professional Fees & Consultancy
Resources Group,Resources,MR CRISPIN OLIVER,3061737,3500.00,Professional Fees & Consultancy
Resources Group,Resources,MR STEPHEN AINSLEY,3061725,1600.00,Professional Fees & Consultancy
Resources Group,Resources,MR STEPHEN AINSLEY,3062386,1300.00,Professional Fees & Consultancy
Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,3056956,852,Marketing & Advertising
Resources Group,Resources,NORTHGATE INFORMATION SOLUTIONS,3051005,846.4,Other Supplies & Services
Resources Group,Resources,PHILIP CORDERY,3061726,800,Professional Fees & Consultancy
Resources Group,Resources,PHILIP CORDERY,3061727,1000.00,Professional Fees & Consultancy
Resources Group,Resources,ROYAL MAIL NORTH EAST,0,825.7,Postages
Resources Group,Resources,THOMSON REUTERS,3034779,2129.00,Subscriptions
Resources Group,Resources,THOMSON REUTERS,3060973,1827.00,Books
Resources Group,Resources,THOMSON REUTERS,3060975,2315.00,Books
Resources Group,Resources,WHISTL UK LIMITED,0,1475.11,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,3413.20,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,1723.51,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,742.67,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,949.09,Postages
Resources Group,Resources,WHISTL UK LIMITED,0,2434.88,Postages
Resources Group,Resources,WOLVISTON MANAGEMENT SERVICES LTD,3058869,1362.40,Agency Staff Costs - Non Teaching
Resources Group,Resources,WOLVISTON MANAGEMENT SERVICES LTD,3058869,812.2,Agency Staff Costs - Non Teaching
Resources Group,Resources,XPRESS SOFTWARE SOLUTIONS LTD,3061642,500,Other Supplies & Services
Resources Group,Finance,CIPFA,3060562,1925.00,Books
Resources Group,Finance,OXFORD COMPUTER CONSULTANTS,3038029,20600.00,Ict Software Purchase
Resources Group,Finance,PRICE WATERHOUSE COOPERS,3058985,13561.00,Professional Fees & Consultancy
