Darlington Borough Council - Analysis of Transactions Over £500,,,,,
Aug-14,,,,,
,,,,,
,,,,,
text description,text servdesc,apar_name,order_id,amount,accdesc
Directotate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
Resources Group,Resources,ADARE LIMITED,3056456,"1,088.50",Printing
Resources Group,Resources,ADARE LIMITED,3056456,549.44,Printing
Resources Group,Resources,ADARE LIMITED,3056456,"1,102.60",Printing
Resources Group,Resources,ADARE LIMITED,3056456,"1,251.19",Printing
Resources Group,Resources,ADARE LIMITED,3056456,"2,800.72",Printing
Resources Group,Resources,BEST UNION UK LTD,3054747,800,Marketing & Advertising
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3054832,587.86,Agency Staff Costs - Non Teaching
Resources Group,Resources,COREPEOPLE RECRUITMENT LTD,3054832,563.42,Agency Staff Costs - Non Teaching
Resources Group,Resources,DR SUSAN COOPER,3055913,"1,506.65",Professional Fees & Consultancy
Resources Group,Resources,LUCY HARLAND,3055918,750,Professional Fees & Consultancy
Resources Group,Resources,MANNING LIMITED,3055739,"1,453.77",Agency Staff Costs - Non Teaching
Resources Group,Resources,NORTHERN ROUND DELIVERY SERVICES,3056036,"1,160.00",Marketing & Advertising
Resources Group,Resources,ROYAL MAIL NORTH EAST,0,"1,261.83",Postages
Resources Group,Resources,SPECIALIST COMPUTER CENTRES PLC,3055015,592,Ict Hardware Purchase
Resources Group,Resources,TNT POST LTD,0,"2,725.75",Postages
Resources Group,Resources,TNT POST LTD,0,"4,337.40",Postages
Resources Group,Resources,TNT POST LTD,0,"2,183.22",Postages
Resources Group,Resources,TNT POST LTD,0,"3,458.02",Postages
Resources Group,Finance,BAKER TILLY,0,"2,000.00",Professional Fees & Consultancy
Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,0,"1,737.74",Telephone Costs
Resources Group,Human resources management,BOND DICKINSON,3051100,"11,100.00",Professional Fees & Consultancy
Resources Group,Human resources management,NORTHGATE INFORMATION SOLUTIONS,3055854,"1,460.00",Professional Fees & Consultancy
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3056348,565.96,Cyclical - Fire Alarms
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3056341,"1,956.07",Cyclical - Intruder Alarms
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3056342,"1,161.58",Cyclical - Intruder Alarms
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3056343,589.65,Cyclical - Intruder Alarms
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3055553,897.09,Cyclical - Intruder Alarms
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3056327,774.31,Cyclical - Intruder Alarms
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3056328,"1,258.34",Cyclical - Maint Gates & Doors
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3056301,"1,364.46",Cyclical - Emergency Lighting
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3056303,"1,586.22",Cyclical - Fire Alarms
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3056302,"1,262.86",Cyclical - Fire Alarms
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3056331,"2,627.76",Cyclical - Intruder Alarms
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3056332,"1,000.81",Cyclical - Intruder Alarms
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3056329,"1,051.95",Cyclical - Fire Alarms
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3056346,649.07,Cyclical - Intruder Alarms
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3056344,901.67,Cctv Monitoring Charge
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3055523,"3,776.85",Repairs - Door Entry System
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3055554,"3,812.19",Repairs - Door Entry System
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3055521,"1,777.87",Cyclical - Intruder Alarms
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3055522,"1,777.87",Cyclical - Intruder Alarms
Resources Group,Transformation,ADT FIRE & SECURITY PLC,3056347,709.62,Repairs - Intruder Alarms
Resources Group,Transformation,AIRCON REFRIGERATION LTD,3056091,578,Cyclical - Air Conditioning
Resources Group,Transformation,BODY 2 FIT LTD,0,600,Rent Of Facilities
Resources Group,Transformation,CANON (UK) LIMITED,0,"16,864.04",Printing
Resources Group,Transformation,COMBINED POWER (SOUTH) LTD,0,"2,461.37",Electricity
Resources Group,Transformation,EASBY FLOORING LTD,3054767,"3,846.00",Repairs - Building Fabric
Resources Group,Transformation,EDF ENERGY,0,"3,225.55",Electricity
Resources Group,Transformation,ELECTRONIC SECURITY SOLUTIONS LTD,3054818,700,Cyclical - Fire Alarms
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"2,488.80",Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"2,199.04",Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"1,145.76",Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"1,444.77",Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"1,417.98",Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"3,004.56",Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"1,261.47",Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,603.08,Water Charges
Resources Group,Transformation,NORTHUMBRIAN WATER,0,"2,708.22",Water Charges
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"7,405.40",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"1,095.41",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"38,545.96",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"5,020.80",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"2,349.76",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,907.65,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,621.08,Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"3,932.38",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,"1,268.54",Electricity
Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,581.4,Electricity
Resources Group,Transformation,OTIS PLC,3052276,"13,193.06",Cyclical-Lift Maintenance
Resources Group,Transformation,XENON LTD,3056255,740,Employee Training Course Costs
Resources Group,DLO Services,BUNZL CLEANING & HYGIENE SUPPLIES,3055909,989.25,Other Consumables
Resources Group,DLO Services,WERNICK HIRE LTD,3055110,960,Other Consumables
Place,Building Design Services,HAYS SPECIALIST SERVICES,3053700,587.46,Agency Staff Costs - Non Teaching
Place,Building Design Services,HAYS SPECIALIST SERVICES,3054000,"1,133.75",Agency Staff Costs - Non Teaching
Place,Building Design Services,HAYS SPECIALIST SERVICES,3056405,"1,124.42",Agency Staff Costs - Non Teaching
Place,Building Design Services,HAYS SPECIALIST SERVICES,3056405,699.93,Agency Staff Costs - Non Teaching
Place,Commercial Services,ELECTRONIC SECURITY SOLUTIONS LTD,3056470,"8,492.00",Equipment
Place,Commercial Services,ELECTRONIC SECURITY SOLUTIONS LTD,3056470,"8,492.00",Equipment
Place,Commercial Services,MATTHEW CLARK WHOLESALE LTD,0,616.25,Bar Provisions For Resale
Place,Commercial Services,MATTHEW CLARK WHOLESALE LTD,0,528.98,Bar Provisions For Resale
Place,Commercial Services,TECTONICS UK,3052620,"3,447.60",Equipment
Place,Culture,A C ENTERTAINMENT TECHNOLOGIES,3055802,848.25,Equipment
Place,Culture,ACORN DAIRY,0,585.7,Catering Provisions
Place,Culture,ALL EVENTS SECURITY,0,504,Repairs - Intruder Alarms
Place,Culture,AQUAJET DRAIN CLEANING,3055152,"1,800.00",Repairs - Building Fabric
Place,Culture,ASKEWS & HOLTS LIBRARY SERVICES LTD,0,740,Books
Place,Culture,AUTOBAR VENDING SERVICES LTD,0,568,Catering Provisions
Place,Culture,BERENDSEN UK LTD,0,532.45,Production Costs
Place,Culture,BEST UNION UK LTD,0,900,Ict Software Support & Maintenance
Place,Culture,BONNIE DAVIES,3051964,"1,440.00",Artist Payments
Place,Culture,BREEZEFREE LTD,3053416,"1,830.71",Equipment
Place,Culture,BRENNTAG UK & IRELAND,3055221,"2,280.44",Chemicals
Place,Culture,BRENNTAG UK & IRELAND,3055221,648.1,Chemicals
Place,Culture,BUNZL CLEANING & HYGIENE SUPPLIES,0,553.64,Cleaning Materials & Consumables
Place,Culture,CHRIS BOUNDY ATHLETICS,3056354,525.8,Equipment
Place,Culture,CLOVER,3052582,850,Building Repairs And Maintenance
Place,Culture,CO-CREATIVES CONSULTING LTD,0,996.4,Projects
Place,Culture,FAB-TECH ENGINEERING (UK) LTD,0,520,Building Repairs And Maintenance
Place,Culture,FOOLS PARADISE LTD,3054892,"3,225.00",Other Supplies & Services
Place,Culture,HOPWELLS LIMITED,0,654.46,Catering Provisions
Place,Culture,HOPWELLS LIMITED,0,537.03,Catering Provisions
Place,Culture,JORDAN PRODUCTIONS,0,"2,500.00",Artist Payments
Place,Culture,MATTHEW CLARK WHOLESALE LTD,0,791.04,Bar Provisions For Resale
Place,Culture,MATTHEW CLARK WHOLESALE LTD,0,516.04,Bar Provisions For Resale
Place,Culture,MATTHEW CLARK WHOLESALE LTD,0,907.82,Bar Provisions For Resale
Place,Culture,MRS HELEN PICKARD,3051981,740,Artist Payments
Place,Culture,MUCH LOVED PRODUCTIONS LTD,0,"9,018.96",Artist Payments
Place,Culture,NILFISK ADVANCE LTD,0,619.77,Building Repairs And Maintenance
Place,Culture,NORTHUMBRIAN WATER,0,"2,248.59",Water Charges
Place,Culture,PAUL RICHARDSON,3053452,900,Equipment
Place,Culture,PERFORMING RIGHT SOCIETY LIMITED,0,857.04,Licences
Place,Culture,PETRA LLOYD,3051975,"1,560.00",Artist Payments
Place,Culture,PRESTIGE PRODUCTIONS,0,"5,198.17",Artist Payments
Place,Culture,QDOS PANTOMIMES,0,"25,000.00",Artist Payments
Place,Culture,RESPONSE TECHNICAL SERVICES LIMITED,0,830,Stationery
Place,Culture,RMS RECRUITMENT,0,778.76,Agency Staff Costs - Non Teaching
Place,Culture,RMS RECRUITMENT,0,868.21,Agency Staff Costs - Non Teaching
Place,Culture,RMS RECRUITMENT,0,"1,005.21",Agency Staff Costs - Non Teaching
Place,Culture,RMS RECRUITMENT,0,"1,042.40",Agency Staff Costs - Non Teaching
Place,Culture,RMS RECRUITMENT,0,"1,296.28",Agency Staff Costs - Non Teaching
Place,Culture,ROCH NDT SERVICES,3054814,520,Other Supplies & Services
Place,Culture,RUNNING IMP INTERNATIONAL,3055489,868.94,Equipment
Place,Culture,SAVILLS (UK) LTD,0,"4,049.84",Rent Of Facilities
Place,Culture,STOBBS WHOLESALERS,0,668.96,Catering Provisions
Place,Culture,STOBBS WHOLESALERS,0,569.99,Catering Provisions
Place,Culture,STOBBS WHOLESALERS,0,625.87,Catering Provisions
Place,Culture,THEORY BRANDING AGENCY LIMITED,0,"1,450.00",Marketing & Advertising
Place,Culture,THEORY BRANDING AGENCY LIMITED,0,"2,455.00",Marketing & Advertising
Place,Culture,WORLD ON STAGE LTD,0,"3,034.53",Artist Payments
Place,DLO Services,ACCESS HIRE NATIONWIDE LTD,3054007,967.43,Vehicle Hire
Place,DLO Services,AGGREGATE INDUSTRIES UK LTD,3053197,578.25,Materials
Place,DLO Services,ANDY THORNTON,3051138,"3,808.00",Equipment
Place,DLO Services,AT WAGGOTT HAULAGE,3051141,"5,557.00",Direct Charges - Contractors
Place,DLO Services,BRIAN NOBLE FENCING CONTRACTORS LTD,0,"4,255.19",Direct Charges - Contractors
Place,DLO Services,CARBON REDUCTION TECHNOLOGY LIMITED,3053347,"1,850.00",Materials
Place,DLO Services,CHARLES WAGGOTT HAULAGE,3051142,708,Direct Charges - Contractors
Place,DLO Services,CHARLES WAGGOTT HAULAGE,3051142,"1,012.00",Direct Charges - Contractors
Place,DLO Services,CHARLES WAGGOTT HAULAGE,3051142,"1,500.00",Direct Charges - Contractors
Place,DLO Services,CHARLES WAGGOTT HAULAGE,3051142,"1,516.00",Direct Charges - Contractors
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3054725,539.46,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3049163,577.2,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3054725,539.46,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3049163,577.2,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3052881,533.54,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3054725,539.46,Agency Staff Costs - Non Teaching
Place,DLO Services,COREPEOPLE RECRUITMENT LTD,3052881,533.54,Agency Staff Costs - Non Teaching
Place,DLO Services,CROSSLING LTD,3055629,778.62,Materials
Place,DLO Services,CROSSLING LTD,3055320,"1,742.30",Materials
Place,DLO Services,EASBY FLOORING LTD,3054926,539.68,Direct Charges - Contractors
Place,DLO Services,EASBY FLOORING LTD,3054678,841.34,Direct Charges - Contractors
Place,DLO Services,EASBY FLOORING LTD,3054926,530.87,Direct Charges - Contractors
Place,DLO Services,EASBY FLOORING LTD,3054926,523.34,Direct Charges - Contractors
Place,DLO Services,EXTERIOR LIGHTING SOLUTIONS LTD,3051894,"2,019.00",Materials
Place,DLO Services,EXTERIOR LIGHTING SOLUTIONS LTD,3053311,"1,356.68",Materials
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052966,535.76,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052888,580.16,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052887,535.76,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3050727,615.33,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052888,580.16,Agency Staff Costs - Non Teaching
Place,DLO Services,HAYS ACCOUNTANCY PERSONNEL,3052887,535.76,Agency Staff Costs - Non Teaching
