,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Resources,AMTEC CONSULTING PLC,20000.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,ELECTORAL REFORM SERVICES,2178.42,PRINTING
INSERTED DETAIL,,Resources Group,Resources,ICO,500.00,Other Supplies & Services
INSERTED DETAIL,,Resources Group,Resources,LEXIS NEXIS,3778.00,SUBSCRIPTIONS
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1184.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1232.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1152.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1400.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1088.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1128.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MULTICORD,528.00,FIXTURES AND FITTINGS
INSERTED DETAIL,,Resources Group,Resources,NEIL COOKSON,1573.50,CONSULTANCY FEES
INSERTED DETAIL,,Resources Group,Resources,QUADRANT (DARLINGTON) LTD,2433.33,HOSPITALITY
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1006.25,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,2535.34,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1693.46,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,SIEMENS ENTERPRISE COMMUNICATIONS LTD,3275.60,ICT HARDWARE PURCHASE
