,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),764.40,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),702.98,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),597.20,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,GEOWISE LIMITED,6200.00,ICT SOFTWARE SUPPORT & MAINTENANCE
INSERTED DETAIL,,Resources Group,Resources,IAN ROSS VIDEO & AUDIO VISUAL,798.45,ICT HARDWARE PURCHASE
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1416.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1208.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1432.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,1184.00,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Resources,MULTICORD,528.00,EQUIPMENT
INSERTED DETAIL,,Resources Group,Resources,MULTICORD,528.00,FIXTURES AND FITTINGS
INSERTED DETAIL,,Resources Group,Resources,NEIL COOKSON,1317.50,CONSULTANCY FEES
INSERTED DETAIL,,Resources Group,Resources,Q MATIC UK LTD,4522.00,ICT SOFTWARE SUPPORT & MAINTENANCE
INSERTED DETAIL,,Resources Group,Resources,RICHARD T GRAHAM TA CITYCLEAN,680.58,BUILDING CLEANING
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL,1909.37,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1286.07,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1969.02,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1752.61,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,1347.56,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,SAPPHIRE GB LTD,720.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1302.34,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2464.68,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1286.32,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,569.75,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,948.64,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1147.09,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1168.53,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1283.02,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1086.05,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,8992.59,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1238.74,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1645.34,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,614.88,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,WATERSTONS,1785.00,INTERNET COSTS
