,,Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Resources,BAUER RADIO LTD,1199.96,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),557.20,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,BLACK & WHITE ADVERTISING (URWIN GARTON),562.20,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,FLOWERS BY NATTRASS,540.00,MATERIALS
INSERTED DETAIL,,Resources Group,Resources,IAN ROSS VIDEO & AUDIO VISUAL,2175.00,EQUIPMENT
INSERTED DETAIL,,Resources Group,Resources,ISAPPHIRE LTD,719.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,ISAPPHIRE LTD,1238.71,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,KOMODO DESIGN LTD,913.62,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,LEXIS NEXIS,2391.30,BOOKS
INSERTED DETAIL,,Resources Group,Resources,MISS REBECCA STOKES-HERBST,1050.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,MULTICORD,528.00,EQUIPMENT
INSERTED DETAIL,,Resources Group,Resources,NEIL COOKSON,1634.00,CONSULTANCY FEES
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST (YORKSHIRE & NORTH EAST) LTD,650.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,NORTHERN ROUND DELIVERY SERVICES,1160.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,PRIMARY PUBLISHING TEESSIDE LTD,880.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,RD PSYCHOLOGICAL SERVICES LIMITED,1170.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,TCS MEDIA,7860.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,TCS MEDIA,5785.00,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,"TEES, ESK AND WEAR VALLEYS NHS",1400.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,"TEES, ESK AND WEAR VALLEYS NHS",1400.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Resources,TFM RADIO STATION,849.96,MARKETING & ADVERTISING
INSERTED DETAIL,,Resources Group,Resources,THE LAW SOCIETY,4796.00,SUBSCRIPTIONS
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1533.84,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,1778.09,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,TNT POST LTD,2114.93,POSTAGES
INSERTED DETAIL,,Resources Group,Resources,WATERSTONS,1785.00,INTERNET COSTS
INSERTED DETAIL,,Resources Group,Resources,WATERSTONS,1785.00,INTERNET COSTS
INSERTED DETAIL,,Resources Group,Finance,EDEN BROWN,653.60,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Finance,EDEN BROWN,589.70,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Finance,EDEN BROWN,652.40,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Finance,MDNX ENTERPRISE SERVICES LTD,1637.00,ICT HARDWARE SUPPORT & MAINTENANCE
INSERTED DETAIL,,Resources Group,Finance,PRICE WATERHOUSE COOPERS,12328.20,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Finance,PRICE WATERHOUSE COOPERS,12328.20,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Finance,PRICE WATERHOUSE COOPERS,9181.00,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,ICT,DAISY COMMUNICATIONS LTD,11265.55,TELEPHONE COSTS
INSERTED DETAIL,,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,831.85,TELEPHONE COSTS
INSERTED DETAIL,,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,1150.00,COUNSELLING RECHARGE
INSERTED DETAIL,,Resources Group,Human resources management,BODY 2 FIT LTD,1720.00,PHYSIOTHERAPY RECHARGE
INSERTED DETAIL,,Resources Group,Human resources management,DICKINSON DEES LAW FIRM,23947.50,PROFESSIONAL FEES & CONSULTANCY
INSERTED DETAIL,,Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,4220.00,CRB CHECKS
INSERTED DETAIL,,Resources Group,Transformation,AIRCON REFRIGERATION LTD,2700.00,Cyclical - Air Conditioning
INSERTED DETAIL,,Resources Group,Transformation,AIRCON REFRIGERATION LTD,3028.50,Repairs - Mechanical
INSERTED DETAIL,,Resources Group,Transformation,AIRCON REFRIGERATION LTD,1140.00,Repairs - Mechanical
INSERTED DETAIL,,Resources Group,Transformation,BARR & WRAY LTD,8505.00,Cyclical - Building Surveys
INSERTED DETAIL,,Resources Group,Transformation,COMBINED POWER (SOUTH) LTD,2337.00,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,DANBRO LIMITED,10891.50,OTHER LOCAL AUTHORITIES
INSERTED DETAIL,,Resources Group,Transformation,DANBRO LIMITED,10249.30,OTHER LOCAL AUTHORITIES
INSERTED DETAIL,,Resources Group,Transformation,DANBRO LIMITED,10180.00,OTHER LOCAL AUTHORITIES
INSERTED DETAIL,,Resources Group,Transformation,DANBRO LIMITED,10180.00,OTHER LOCAL AUTHORITIES
INSERTED DETAIL,,Resources Group,Transformation,HAYS SPECIALIST SERVICES,710.54,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Transformation,HAYS SPECIALIST SERVICES,692.96,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Transformation,HAYS SPECIALIST SERVICES,743.89,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Transformation,HAYS SPECIALIST SERVICES,730.91,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Resources Group,Transformation,LEGIONELLA CONTROL INTERNATIONAL,1360.00,EMPLOYEE TRAINING COURSE COSTS
INSERTED DETAIL,,Resources Group,Transformation,MINES RESCUE SERVICE LTD,885.00,EMPLOYEE TRAINING COURSE COSTS
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,2197.60,WATER CHARGES
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,737.84,WATER CHARGES
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,1943.56,WATER CHARGES
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,2803.40,WATER CHARGES
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,504.90,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,4797.42,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,56557.53,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN LTD,12192.65,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN LTD,4959.18,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN LTD,1057.24,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN LTD,666.34,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN LTD,8494.45,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN LTD,1022.44,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN LTD,3240.26,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,OTIS PLC,2306.60,Cyclical-Lift Maintenance
INSERTED DETAIL,,Resources Group,Transformation,SMITH OF DERBY LTD,606.00,Repairs - Mechanical
INSERTED DETAIL,,Resources Group,Transformation,SPRINGS ROOFING LTD,820.00,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,STOREYS:SSP,1204.51,WATER CHARGES
INSERTED DETAIL,,Resources Group,Transformation,STOREYS:SSP,44227.15,RENT OF FACILITIES
INSERTED DETAIL,,Resources Group,Transformation,STOREYS:SSP,42268.34,RENT OF FACILITIES
INSERTED DETAIL,,Resources Group,Transformation,STOREYS:SSP,758.31,ELECTRICITY
INSERTED DETAIL,,Resources Group,Transformation,SUPPLIES TEAM,576.45,STATIONERY
INSERTED DETAIL,,Resources Group,Transformation,T W WARD INDUSTRIAL BOILERS,5781.00,Cyclical-Boiler/Servicing
INSERTED DETAIL,,Place,Building Design Services,HAYS SPECIALIST SERVICES,844.68,AGENCY STAFF COSTS - NON TEACHING
INSERTED DETAIL,,Place,Building Design Services,HAYS SPECIALIST SERVICES,818.22,AGENCY STAFF COSTS - NON TEACHING
