Darlington Borough Council - Analysis of Transactions Over £500,,,,
Apr-11,,,,


Directotate,Service,Supplier,Invoice Line Value (net of VAT),Account
Corporate Services,Accountancy & Local Taxation,DICKINSON DEES LAW FIRM,"19,663.87",PROFESSIONAL FEES & CONSULTANCY
Corporate Services,Accountancy & Local Taxation,DIRECT SOLUTIONS INTERNATIONAL LTD,"11,080.00",STATIONERY
Corporate Services,Corporate Assurance,CIPFA,"3,530.00",Other Supplies & Services
Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,829.13,BURGLAR ALARMS REPAIRS & MAINTENANCE
Corporate Services,Corporate Services,ADT FIRE & SECURITY PLC,761.01,Cyclical - Emerg Light & Fire
Corporate Services,Corporate Services,CHG MERIDAN COMPUTER LEASING UK LTD,"1,316.21",LEASING CHARGES
Corporate Services,Corporate Services,COMBINED POWER (SOUTH) LTD,"2,824.42",EQUIPMENT
Corporate Services,Corporate Services,GATESHEAD MBC,"30,043.00",MEMBERSHIPS
Corporate Services,Corporate Services,GATESHEAD MBC,"7,800.00",SUBSCRIPTIONS
Corporate Services,Corporate Services,NORTHUMBRIAN WATER,"6,439.79",WATER CHARGES
Corporate Services,Corporate Services,NORTHUMBRIAN WATER,"2,064.23",WATER CHARGES
Corporate Services,Corporate Services,NORTHUMBRIAN WATER,"2,910.41",WATER CHARGES
Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"2,217.18",ELECTRICITY
Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"65,930.33",ELECTRICITY
Corporate Services,Corporate Services,NPOWER NORTHERN FINANCE,"1,622.23",ELECTRICITY
Corporate Services,Corporate Services,SAFE ESTATES SERVICES LTD,"1,173.80","RENTS, WAYLEAVES (NON VAT)"
Corporate Services,Corporate Services,WESTERN POWER DISTRIBUTION,"1,291.50",ELECTRICITY
Corporate Services,Human Resources,BODY 2 FIT LTD,"1,760.00",PHYSIOTHERAPY RECHARGE
Corporate Services,Human Resources,COREPEOPLE RECRUITMENT LTD,711.88,AGENCY STAFF COSTS - NON TEACHING
Corporate Services,Human Resources,MEDACS HEALTHCARE PLC,"8,502.84",MATERIALS
Corporate Services,Human Resources,PILAT EUROPE LTD,"1,100.00",ICT SOFTWARE PURCHASE
Corporate Services,ICT & Printing,TALKTALK BUSINESS,977.69,TELEPHONE COSTS
Corporate Services,Legal & Democratic,ASSOCIATION OF NORTH EAST COUNCILS LTD,"33,992.00",SUBSCRIPTIONS
Corporate Services,Legal & Democratic,JB LEITCH SOLICITORS,"3,330.37",EQUIPMENT
Corporate Services,Legal & Democratic,LAGAN TECHNOLOGIES LTD,"31,911.67",ICT SOFTWARE SUPPORT & MAINTENANCE
Corporate Services,Legal & Democratic,LOCAL GOVERNMENT ASSOCIATION,"25,184.25",SUBSCRIPTIONS
Corporate Services,Legal & Democratic,NEIL COOKSON,"1,846.00",PROFESSIONAL FEES & CONSULTANCY
Corporate Services,Legal & Democratic,OTIS PLC,"2,092.16",BUILDING REPAIRS AND MAINTENANCE
Corporate Services,Legal & Democratic,ROYAL MAIL NORTH EAST,"1,299.63",POSTAGES
Corporate Services,Legal & Democratic,SHAW AND SONS LTD,"2,057.60",EQUIPMENT
Corporate Services,Legal & Democratic,THE MERIT BADGE & REGALLIA COMPANY LTD,888.8,EQUIPMENT
Corporate Services,Legal & Democratic,TNT POST LTD,"2,435.44",POSTAGES
Corporate Services,Legal & Democratic,TNT POST LTD,"1,721.31",POSTAGES
Corporate Services,Legal & Democratic,XPRESS SOFTWARE SOLUTIONS LTD,"11,000.00",ICT HARDWARE PURCHASE
Corporate Services,Public Protection,DURHAM CONSTABULARY,"15,000.00",EQUIPMENT
Corporate Services,Public Protection,IDOX INFORMATION SOLUTIONS LIMITED,"34,769.10",ICT SOFTWARE SUPPORT & MAINTENANCE
Corporate Services,Public Protection,LABC,"1,908.86",SUBSCRIPTIONS
Corporate Services,Public Protection,METRIC GROUP LIMITED,"2,376.36",EQUIPMENT
Corporate Services,Public Protection,NSL LIMITED,"4,184.74",SECURITY SERVICES
Corporate Services,Public Protection,PARKEON,"3,891.00",EQUIPMENT
Community Services,Adult Social Care and Health,AGE CONCERN DARLINGTON,821.21,PRIVATE CONTRACTORS
Community Services,Adult Social Care and Health,ALBANY OFFICE FURNITURE SOLUTIONS,"1,702.00",EQUIPMENT
Community Services,Adult Social Care and Health,BLUECARE,837,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,BLUECARE,810,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,BLUECARE,810,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,BLUECARE,810,AGENCY STAFF COSTS - NON TEACHING
Community Services,Adult Social Care and Health,BLUECARE,810,AGENCY STAFF COSTS - NON TEACHING
