Payment Date,Amount,Benificiary Name,Organisational Unit
2016-02-01,408.68,COUNCIL TAX REFUND,Holding A/C
2016-02-01,517.77,COUNCIL TAX REFUND,Holding A/C
2016-02-01,491.71,COUNCIL TAX REFUND,Holding A/C
2016-02-01,368.22,COUNCIL TAX REFUND,Holding A/C
2016-02-01,316.11,COUNCIL TAX REFUND,Holding A/C
2016-02-01,772.78,COUNCIL TAX REFUND,Holding A/C
2016-02-01,638.99,COUNCIL TAX REFUND,Holding A/C
2016-02-01,250.46,COUNCIL TAX REFUND,Holding A/C
2016-02-01,308.00,COUNCIL TAX REFUND,Holding A/C
2016-02-01,250.97,COUNCIL TAX REFUND,Holding A/C
2016-02-01,358.49,COUNCIL TAX REFUND,Holding A/C
2016-02-01,463.25,COUNCIL TAX REFUND,Holding A/C
2016-02-01,1076.46,NNDR,Holding A/C
2016-02-01,1242.72,HOUSING BENEFIT,Housing Services
2016-02-01,336.81,HOUSING BENEFIT,Housing Services
2016-02-01,1035.60,HOUSING BENEFIT,Housing Services
2016-02-01,272.64,HOUSING BENEFIT,Housing Services
2016-02-01,2278.32,HOUSING BENEFIT,Housing Services
2016-02-01,409.92,HOUSING BENEFIT,Housing Services
2016-02-01,676.72,HOUSING BENEFIT,Housing Services
2016-02-01,985.66,HOUSING BENEFIT,Housing Services
2016-02-01,580.46,HOUSING BENEFIT,Housing Services
2016-02-01,326.07,HOUSING BENEFIT,Housing Services
2016-02-01,275.40,HOUSING BENEFIT,Housing Services
2016-02-01,324.60,HOUSING BENEFIT,Housing Services
2016-02-01,586.74,HOUSING BENEFIT,Housing Services
2016-02-01,584.36,HOUSING BENEFIT,Housing Services
2016-02-01,363.60,HOUSING BENEFIT,Housing Services
2016-02-01,1523.39,HOUSING BENEFIT,Housing Services
2016-02-01,568.55,HOUSING BENEFIT,Housing Services
2016-02-01,369.24,HOUSING BENEFIT,Housing Services
2016-02-01,325.43,HOUSING BENEFIT,Housing Services
2016-02-01,251.50,HOUSING BENEFIT,Housing Services
2016-02-01,270.08,HOUSING BENEFIT,Housing Services
2016-02-01,586.19,HOUSING BENEFIT,Housing Services
2016-02-01,728.90,HOUSING BENEFIT,Housing Services
2016-02-01,1422.45,HOUSING BENEFIT,Housing Services
2016-02-01,980.04,HOUSING BENEFIT,Housing Services
2016-02-01,415.38,HOUSING BENEFIT,Housing Services
2016-02-01,6146.34,HOUSING BENEFIT,Housing Services
2016-02-01,301.62,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,3000.00,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,260.68,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,409.07,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,326.74,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,259.92,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,261.88,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,809.90,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,313.46,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,260.70,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,309.00,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,277.61,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,315.96,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,832.43,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,280.00,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,375.01,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,2341.36,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,767.70,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,3562.13,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,264.23,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,280.80,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,1244.35,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,700.00,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,310.01,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,817.26,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,1290.14,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,462.10,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,597.34,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,298.29,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,311.40,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,293.02,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,418.60,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,454.21,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,1170.00,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,1945.44,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,275.00,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,307.64,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,333.01,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,3860.24,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,315.50,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,297.30,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,520.21,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,1635.59,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,1311.29,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,840.50,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,429.50,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,902.04,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,675.81,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,1474.00,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,940.90,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,268.46,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,1416.48,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,349.57,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,497.93,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,261.20,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,668.15,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,1055.00,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,905.01,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,884.64,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,353.04,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,310.00,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,491.15,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,355.18,SWIFT - PREPAID CARDS,Adult Social Care
2016-02-01,500.62,HELEN MCARDLE CARE,Adult Social Care
2016-02-01,510.91,HELEN MCARDLE CARE,Adult Social Care
2016-02-01,599.07,CARE UK MENTAL HEALTH PARTNERSHIPS LTD,Adult Social Care
2016-02-01,700.00,CARE UK MENTAL HEALTH PARTNERSHIPS LTD,Adult Social Care
