Payment Date,Transaction Number,Amount,Supplier Name,Supplier ID,Organisational Unit,Service Label,Service Code,SeRCOP Expenditure Category,SeRCOP Expenditure Code,SeRCOP Detailed Expenditure Type,SeRCOP Detailed Expenditure Code,Capital/Revenue,Classification
30/05/2014,114,-2.22,JR HOLLAND FOOD SERVICES,277426,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-1.18,JR HOLLAND FOOD SERVICES,277426,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,2.44,JR HOLLAND FOOD SERVICES,277426,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-8.88,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-4.77,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-1.50,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-23.30,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-14.40,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-39.25,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,18.38,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-1.80,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-18.45,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-9.02,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-3.60,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-1.59,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-0.99,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-0.68,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-7.20,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-0.17,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-10.36,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-3.08,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-2.22,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-15.71,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-5.16,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,-1.62,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,0.49,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,0.68,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,0.85,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,0.87,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,1.28,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,1.36,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,1.48,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,1.59,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,1.66,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30/05/2014,114,1.94,JR HOLLAND FOOD SERVICES,277426,Commissioning & Fair Access,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
