Payment Date,Transaction Number,Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
2016-07-01,11001,317.67,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-07-01,11002,808.88,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-07-01,11003,698.88,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-07-01,1271428,26.80,G B SPORT & LEISURE,381306,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,06.SPORTS EQUIPMENT
2016-07-01,1271428,48.00,G B SPORT & LEISURE,381306,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,06.SPORTS EQUIPMENT
2016-07-01,1271428,57.00,G B SPORT & LEISURE,381306,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,06.SPORTS EQUIPMENT
2016-07-01,1271428,60.00,G B SPORT & LEISURE,381306,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,06.SPORTS EQUIPMENT
2016-07-01,1271428,290.00,G B SPORT & LEISURE,381306,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,06.SPORTS EQUIPMENT
2016-07-01,1271429,97728.19,MEARS GROUP PLC,378729,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.HOMECARE
2016-07-01,1271430,278.82,SHERRIFF AMENITY,378161,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,13.HORTICULTURAL SUPPLIES
2016-07-01,1271431,4069.60,CAPITA BUSINESS SERVICES LTD,316395,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,15.SOFTWARE
2016-07-01,1271432,219.45,SMG (UK) LTD,383297,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Premises-Related Expenditure,502,Rents,5007,Revenue,16.EVENTS & PROMOTIONS
2016-07-01,1271433,390.00,Redacted Personal Data,382149,"Environment, Housing & Leisure",Cultural & Related Services,104,Third Party Payments,505,Private Contractors,5042,Revenue,06.TUITION
2016-07-01,1271434,225000.00,NORTH TYNESIDE CITIZENS ADVICE BUREAU,320420,Corporate Strategy,Adult Social Care,101,Supplies and Services,504,Grants and Subscriptions,5031,Revenue,09.FINANCIAL SERVICES
2016-07-01,1271436,19616.00,NTW NHS TRUST,374360,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Voluntary Associations,5040,Revenue,00.DOCTORS/MEDICAL FEES
2016-07-01,1271441,56.00,WILLIAM OLIVER & RODMAN RUSSELL LTD,015085,Central Items,Holding A/C,N/A,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,02.BUILDING SERVICES
2016-07-01,1271441,280.00,WILLIAM OLIVER & RODMAN RUSSELL LTD,015085,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,02.BUILDING SERVICES
2016-07-01,1271445,252.72,STANDING STONE DRAWING OFFICE SUPPLIES LTD,326447,"Environment, Housing & Leisure",Planning Services,110,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,17.OFFICE EQUIPMENT
2016-07-01,1271447,825.00,Redacted Personal Data,369719,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Other Establishments,5041,Revenue,06.TUITION
2016-07-01,1271451,937.50,SKILLS FOR PEOPLE,102702,"Health, Education, Care and Safeguarding",Adult Social Care,101,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,22.SUPPORT SERVICES
2016-07-01,1271452,700.00,SWIIS FOSTER CARE LTD,337279,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Voluntary Associations,5040,Revenue,FOSTER CARE
2016-07-01,1271452,759.99,SWIIS FOSTER CARE LTD,337279,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Voluntary Associations,5040,Revenue,FOSTER CARE
2016-07-01,1271452,980.00,SWIIS FOSTER CARE LTD,337279,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Third Party Payments,505,Voluntary Associations,5040,Revenue,FOSTER CARE
2016-07-01,1271453,1000.00,MR SIMON GOLDBERG,362241,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Third Party Payments,505,Private Contractors,5042,Revenue,00.NON INFLUENCIBLE
2016-07-01,1271455,6076.26,KIER NORTH TYNESIDE LIMITED,383278,Law & Governance,Central Services,102,Third Party Payments,505,Private Contractors,5042,Revenue,02.BUILDING SERVICES
2016-07-01,1271456,277.02,INITIAL WASHROOM SOLUTIONS,009073,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,11.PERSONAL HYGIENE
2016-07-01,1271457,252.40,INTERACTIVE DEVELOPMENT SUPPORT LIMITED,383543,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2016-07-01,1271457,1009.60,INTERACTIVE DEVELOPMENT SUPPORT LIMITED,383543,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2016-07-01,1271457,1255.69,INTERACTIVE DEVELOPMENT SUPPORT LIMITED,383543,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2016-07-01,1271457,1325.10,INTERACTIVE DEVELOPMENT SUPPORT LIMITED,383543,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2016-07-01,1271459,581.68,LEARNING DISABILITIES FEDERATION,350895,"Health, Education, Care and Safeguarding",Adult Social Care,101,Third Party Payments,505,Private Contractors,5042,Revenue,22.SUPPORT SERVICES
2016-07-01,1271460,400.00,THE TRUSTEES OF THE DIOCESE OF HEXHAM & NEWCASTLE,004510,Commissioning & Investment,Children's & Education Services,103,Premises-Related Expenditure,502,Rents,5007,Revenue,16.REAL ESTATE
2016-07-01,1271461,7.50,LLOYDS & CO LETCHWORTH LTD,325822,"Environment, Housing & Leisure",Cultural & Related Services,104,Transport,503,Direct Transport Costs,5016,Revenue,28.VEHICLE PARTS
