Payment Date,Transaction Number,Amount,Supplier Name,Supplier ID,Organisational Unit,SeRCOP Expenditure Category,SeRCOP Expenditure Code,SeRCOP Detailed Expenditure Type,SeRCOP Detailed Expenditure Code,Capital/Revenue,Classification
2014-10-01,522711,989.75,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2014-10-01,522712,356.32,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2014-10-01,522724,336.00,STUARTS SPORTS,332343,"Children, Young People & Learning",Supplies and Services,504,Equipment,5023,Revenue,06.SPORTS EQUIPMENT
2014-10-01,522724,240.00,STUARTS SPORTS,332343,"Children, Young People & Learning",Supplies and Services,504,Equipment,5023,Revenue,06.SPORTS EQUIPMENT
2014-10-01,522724,200.00,STUARTS SPORTS,332343,"Children, Young People & Learning",Supplies and Services,504,Equipment,5023,Revenue,06.SPORTS EQUIPMENT
2014-10-01,522724,226.67,STUARTS SPORTS,332343,"Children, Young People & Learning",Supplies and Services,504,Equipment,5023,Revenue,06.SPORTS EQUIPMENT
2014-10-01,522724,240.00,STUARTS SPORTS,332343,"Children, Young People & Learning",Supplies and Services,504,Equipment,5023,Revenue,06.SPORTS EQUIPMENT
2014-10-01,522724,279.99,STUARTS SPORTS,332343,"Children, Young People & Learning",Supplies and Services,504,Equipment,5023,Revenue,06.SPORTS EQUIPMENT
2014-10-01,522724,336.00,STUARTS SPORTS,332343,"Children, Young People & Learning",Supplies and Services,504,Equipment,5023,Revenue,06.SPORTS EQUIPMENT
2014-10-01,522727,396.80,Redacted Personal Data,380281,Law & Governance,Third Party Payments,505,Government Departments,5039,Revenue,00.NON INFLUENCIBLE
2014-10-01,522728,625.00,SHIREMOOR CARPET CENTRE,320462,Capital,Premises-Related Expenditure,502,Fixtures & Fittings,5010,Capital,10.HOUSEHOLD
2014-10-01,522728,825.00,SHIREMOOR CARPET CENTRE,320462,Capital,Premises-Related Expenditure,502,Fixtures & Fittings,5010,Capital,10.HOUSEHOLD
2014-10-01,522729,278.62,GENERAL INVOICES - BSS ONLY,379831,"Children, Young People & Learning",Income,509,Customer and Client Receipts,5064,Revenue,00.NON INFLUENCIBLE
2014-10-01,931663,100.00,SWIFT - FOSTER CARER PAYMENTS,299981,"Children, Young People & Learning",Third Party Payments,505,Voluntary Associations,5040,Revenue,00.WELFARE
2014-10-01,931663,120.00,SWIFT - FOSTER CARER PAYMENTS,299981,"Children, Young People & Learning",Third Party Payments,505,Other Establishments,5041,Revenue,00.WELFARE
2014-10-01,931663,180.00,SWIFT - FOSTER CARER PAYMENTS,299981,"Children, Young People & Learning",Third Party Payments,505,Other Establishments,5041,Revenue,00.WELFARE
2014-10-01,931663,368.10,SWIFT - FOSTER CARER PAYMENTS,299981,"Children, Young People & Learning",Third Party Payments,505,Other Establishments,5041,Revenue,00.WELFARE
2014-10-01,931664,31.70,SWIFT - FOSTER CARER PAYMENTS,299981,"Children, Young People & Learning",Third Party Payments,505,Other Establishments,5041,Revenue,00.WELFARE
