Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
2015-09-30,205,480.00,AELP,392567,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,18.CONFERENCING
2015-09-30,206,15.65,CLACKMANNANSHIRE COUNCIL,392684,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.PUBLIC SECTOR
2015-09-30,7000371,84.30,DHGATE.COM,392788,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,SOCIAL CHILD CENTRE
2015-09-30,7000371,84.30,DHGATE.COM,392788,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,SOCIAL CHILD CENTRE
2015-09-30,7000371,84.31,DHGATE.COM,392788,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,SOCIAL CHILD CENTRE
2015-09-30,7000372,115.83,OWEN PUGH & COMPANY LTD,016330,Environment & Leisure and Housing General Fund,Cultural & Related Services,104,Employees,501,Indirect Employee Expenses,5002,Revenue,01.HEAVY PLANT
2015-09-30,7000373,38.99,HUCK NETS (UK) LTD T/A HUCK TEK,390821,Environment & Leisure and Housing General Fund,Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,SPORTS EQUIP
2015-09-30,7000374,380.00,CHEVIOT TREES LTD,100996,Environment & Leisure and Housing General Fund,Cultural & Related Services,104,Employees,501,Indirect Employee Expenses,5002,Revenue,13.HORTICULTURAL SUPPLIES
2015-09-30,7000375,3.96,ENJOYMUZIC LTD,379897,Environment & Leisure and Housing General Fund,Environmental & Regulatory Services,105,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,06.EQUIPMENT
2015-09-30,7000376,150.00,INTELLECTUAL PROPERTY OFFICE,392681,Commercial & Business Redesign,Central Services,102,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.PUBLIC SECTOR
2015-09-30,7000377,1.00,NEWCASTLE PARK AND FLY,392672,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Expenses,5030,Revenue,TRAFFIC PARKING
2015-09-30,7000378,93.10,BRITISH FOSSILS,302516,Environment & Leisure and Housing General Fund,Cultural & Related Services,104,Supplies and Services,504,Equipment,5023,Revenue,16.EVENTS & PROMOTIONS
2015-09-30,7000379,22.75,MUSGRAVES IRONMONGERS,303822,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,02.BUILDING SERVICES
2015-09-30,7000380,37.71,REDBRIDGE PRODUCE & FLOWERS,390977,"Children, Young People & Learning",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2015-09-30,7000380,36.30,REDBRIDGE PRODUCE & FLOWERS,390977,Commissioning & Investment,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2015-09-30,7000380,17.92,REDBRIDGE PRODUCE & FLOWERS,390977,Commissioning & Investment,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2015-09-30,7000380,15.68,REDBRIDGE PRODUCE & FLOWERS,390977,Commissioning & Investment,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2015-09-30,7000380,15.68,REDBRIDGE PRODUCE & FLOWERS,390977,Commissioning & Investment,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2015-09-30,7000380,13.44,REDBRIDGE PRODUCE & FLOWERS,390977,Commissioning & Investment,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2015-09-30,7000380,11.20,REDBRIDGE PRODUCE & FLOWERS,390977,Commissioning & Investment,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2015-09-30,7000380,11.20,REDBRIDGE PRODUCE & FLOWERS,390977,Commissioning & Investment,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
2015-09-30,7000380,11.20,REDBRIDGE PRODUCE & FLOWERS,390977,Commissioning & Investment,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
