Payment Date,Transaction Number,Amount,Supplier (Beneficiary) Name,Supplier ID,Organisational Unit,Service Label,Service Code,SeRCOP Expenditure Category,SeRCOP Expenditure Code,SeRCOP Detailed Expenditure Type,SeRCOP Detailed Expenditure Code,Capital/Revenue,Classification
2016-03-01,8414,1000.00,GENERAL INVOICES - BSS ONLY,379831,Capital,Capital,Capital,Capital Expenditure,Capital,Capital Expenditure,Capital,Capital,00.NON INFLUENCIBLE
2016-03-01,8415,1000.00,GENERAL INVOICES - BSS ONLY,379831,Capital,Capital,Capital,Capital Expenditure,Capital,Capital Expenditure,Capital,Capital,00.NON INFLUENCIBLE
2016-03-01,8417,470.86,HOUSING REFUND PAYMENTS - BSS ONLY,379825,Housing Revenue Account,Housing Revenue Account,N/A,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.HOUSING REFUNDS
2016-03-01,8420,309.28,HOUSING REFUND PAYMENTS - BSS ONLY,379825,Housing Revenue Account,Housing Revenue Account,N/A,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.HOUSING REFUNDS
2016-03-01,8422,300.00,HOUSING REFUND PAYMENTS - BSS ONLY,379825,Housing Revenue Account,Housing Revenue Account,N/A,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,00.HOUSING REFUNDS
2016-03-01,8423,433.03,DEBTORS VENDOR (ANITE),299989,Capital,General Fund,N/A,Balance Sheet,Balance Sheet,Balance Sheet,Balance Sheet,Capital,00.NON INFLUENCIBLE
2016-03-01,8427,500.00,CIPFA,003597,Finance,Central Services,102,Supplies and Services,504,Grants and Subscriptions,5031,Revenue,09.ACCOUNTANCY
2016-03-01,8433,255.82,JRB ENTERPRISE LTD,366695,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,Revenue,PEST CONTROL
2016-03-01,1202747,664.64,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-03-01,1202750,425.06,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-03-01,1202752,1129.76,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
2016-03-01,1202753,1380.84,HOUSING BENEFIT,299992,Finance,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
