Payment Date,Transaction Number,Amount,Supplier Name,Supplier ID,Organisational Unit,SeRCOP Expenditure Category,SeRCOP Expenditure Code,SeRCOP Detailed Expenditure Type,SeRCOP Detailed Expenditure Code,Capital/Revenue,Classification
01/05/2014,849867,919.08,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849869,801.12,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849870,318.77,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849874,390.59,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849878,1176.96,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849882,365.64,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849883,273.45,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849886,473.16,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849889,360.00,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849892,1276.10,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849896,490.45,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849902,402.76,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849903,362.40,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849904,380.76,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849905,1153.14,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849910,408.48,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849912,304.57,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849917,480.11,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849924,360.00,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849926,346.34,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849929,549.24,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849934,339.68,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849937,2039.19,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849938,1210.81,HOUSING BENEFIT,299992,Finance & Commercial Services,Transfer Payments,506,Housing Benefits,5048,Revenue,00.NON INFLUENCIBLE
01/05/2014,849942,21.22,MAKEPORT 2001 LTD,385178,Adult Social Care,Supplies and Services,504,Equipment,5023,Revenue,10.HOUSEHOLD
01/05/2014,849942,59.28,MAKEPORT 2001 LTD,385178,Adult Social Care,Supplies and Services,504,Equipment,5023,Revenue,10.HOUSEHOLD
01/05/2014,849942,180.96,MAKEPORT 2001 LTD,385178,Adult Social Care,Supplies and Services,504,Equipment,5023,Revenue,10.HOUSEHOLD
01/05/2014,849942,182.52,MAKEPORT 2001 LTD,385178,Adult Social Care,Supplies and Services,504,Equipment,5023,Revenue,10.HOUSEHOLD
01/05/2014,849942,197.60,MAKEPORT 2001 LTD,385178,Adult Social Care,Supplies and Services,504,Equipment,5023,Revenue,10.HOUSEHOLD
01/05/2014,849944,0.30,SUPPLIES TEAM,372378,Environment & Leisure,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,23.STATIONERY
01/05/2014,849944,0.65,SUPPLIES TEAM,372378,Environment & Leisure,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,23.STATIONERY
01/05/2014,849944,1.64,SUPPLIES TEAM,372378,"Children, Young People & Learning",Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,23.STATIONERY
01/05/2014,849944,2.11,SUPPLIES TEAM,372378,Environment & Leisure,Supplies and Services,504,Equipment,5023,Revenue,23.STATIONERY
01/05/2014,849944,2.30,SUPPLIES TEAM,372378,"Children, Young People & Learning",Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,23.STATIONERY
01/05/2014,849944,6.24,SUPPLIES TEAM,372378,"Children, Young People & Learning",Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,23.STATIONERY
01/05/2014,849944,8.72,SUPPLIES TEAM,372378,"Children, Young People & Learning",Supplies and Services,504,Equipment,5023,Revenue,23.STATIONERY
01/05/2014,849944,10.65,SUPPLIES TEAM,372378,"Children, Young People & Learning",Supplies and Services,504,Equipment,5023,Revenue,23.STATIONERY
01/05/2014,849944,11.54,SUPPLIES TEAM,372378,"Children, Young People & Learning",Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,23.STATIONERY
01/05/2014,849944,28.80,SUPPLIES TEAM,372378,"Children, Young People & Learning",Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,23.STATIONERY
01/05/2014,849944,77.40,SUPPLIES TEAM,372378,"Children, Young People & Learning",Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,23.STATIONERY
01/05/2014,849944,93.90,SUPPLIES TEAM,372378,Environment & Leisure,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,23.STATIONERY
01/05/2014,849944,104.04,SUPPLIES TEAM,372378,"Children, Young People & Learning",Supplies and Services,504,Communications & Computing,5028,Revenue,23.STATIONERY
01/05/2014,849944,137.60,SUPPLIES TEAM,372378,Environment & Leisure,Supplies and Services,504,Communications & Computing,5028,Revenue,23.STATIONERY
01/05/2014,849944,137.60,SUPPLIES TEAM,372378,Environment & Leisure,Supplies and Services,504,Communications & Computing,5028,Revenue,23.STATIONERY
01/05/2014,849944,137.60,SUPPLIES TEAM,372378,Environment & Leisure,Supplies and Services,504,Communications & Computing,5028,Revenue,23.STATIONERY
01/05/2014,849944,137.60,SUPPLIES TEAM,372378,"Children, Young People & Learning",Supplies and Services,504,Communications & Computing,5028,Revenue,23.STATIONERY
01/05/2014,849944,137.60,SUPPLIES TEAM,372378,"Children, Young People & Learning",Supplies and Services,504,Communications & Computing,5028,Revenue,23.STATIONERY
01/05/2014,849944,137.60,SUPPLIES TEAM,372378,"Children, Young People & Learning",Supplies and Services,504,Communications & Computing,5028,Revenue,23.STATIONERY
01/05/2014,849944,208.08,SUPPLIES TEAM,372378,Environment & Leisure,Supplies and Services,504,Communications & Computing,5028,Revenue,23.STATIONERY
01/05/2014,849944,344.00,SUPPLIES TEAM,372378,Environment & Leisure,Supplies and Services,504,Communications & Computing,5028,Revenue,23.STATIONERY
01/05/2014,849944,344.00,SUPPLIES TEAM,372378,Environment & Leisure,Supplies and Services,504,Communications & Computing,5028,Revenue,23.STATIONERY
01/05/2014,849944,344.00,SUPPLIES TEAM,372378,Environment & Leisure,Supplies and Services,504,Communications & Computing,5028,Revenue,23.STATIONERY
01/05/2014,849944,477.60,SUPPLIES TEAM,372378,"Children, Young People & Learning",Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,23.STATIONERY
01/05/2014,849944,520.20,SUPPLIES TEAM,372378,Environment & Leisure,Supplies and Services,504,Communications & Computing,5028,Revenue,23.STATIONERY
