Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
30-Nov-2016,217,-355.00,PARTNERSHIP MEDIA GROUP LTD,389594,Housing Revenue Account,Housing Services,108,Employees,501,Indirect Employee Expenses,5002,Revenue,18.CONFERENCING
30-Nov-2016,7002610,40.78,DUNELM LTD,391723,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,10.BLINDS CARPETS CURTAIN
30-Nov-2016,7002610,49.10,DUNELM LTD,391723,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,10.BLINDS CARPETS CURTAIN
30-Nov-2016,7002611,37.84,ASDA HOME SHOPPING CAR,391718,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Catering,5024,Revenue,03.GROCERIES & PROVISIONS
30-Nov-2016,7002611,-22.00,ASDA HOME SHOPPING CAR,391718,Corporate Strategy,Central Services,102,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,03.GROCERIES & PROVISIONS
30-Nov-2016,7002611,26.00,ASDA HOME SHOPPING CAR,391718,Corporate Strategy,Central Services,102,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,03.GROCERIES & PROVISIONS
30-Nov-2016,7002611,63.68,ASDA HOME SHOPPING CAR,391718,Corporate Strategy,Central Services,102,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,03.GROCERIES & PROVISIONS
30-Nov-2016,7002611,149.20,ASDA HOME SHOPPING CAR,391718,Corporate Strategy,Central Services,102,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,03.GROCERIES & PROVISIONS
30-Nov-2016,7002612,51.59,ALDI,391717,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30-Nov-2016,7002612,68.16,ALDI,391717,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30-Nov-2016,7002612,69.53,ALDI,391717,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30-Nov-2016,7002612,94.92,ALDI,391717,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30-Nov-2016,7002612,101.00,ALDI,391717,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30-Nov-2016,7002612,20.60,ALDI,391717,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30-Nov-2016,7002612,46.63,ALDI,391717,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,03.GROCERIES & PROVISIONS
30-Nov-2016,7002613,25.00,ANNE THOMAS WORKWEAR LID,391598,"Environment, Housing & Leisure",Environmental & Regulatory Services,105,Supplies and Services,504,Equipment,5023,Revenue,11.WORKWEAR
30-Nov-2016,7002614,32.54,BOOKERECOMM,391464,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Catering,5024,Revenue,00.NON INFLUENCIBLE
30-Nov-2016,7002614,69.34,BOOKERECOMM,391464,"Environment, Housing & Leisure",Cultural & Related Services,104,Supplies and Services,504,Catering,5024,Revenue,00.NON INFLUENCIBLE
30-Nov-2016,7002615,30.80,H&M 816 SILVERLINK,391479,"Health, Education, Care and Safeguarding",Children's & Education Services,103,Supplies and Services,504,"Clothing, Uniforms and Laundry",5025,Revenue,00.NON INFLUENCIBLE
