Wakefield Council Supplier Spend Greater Than �500 for Quarter 1st April 2017 to 30th June 2017.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),Sercop URI,Supplier Name,Supplier ID,Company Registration,Charity Registration,VCSE Grant,Payment Date,Transaction Number,Seq No,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Procurement Classification,Class Code,Thomson Classification,Thomson Desc.,Contract,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2017,REGENCULT,A,Net (Surplus) / Deficit of Trading Operations,ARROW COMMERCIAL CENTRE T/A ARROW SELF DRIVE,Redacted,02206442,N/A,Not yet available,20/06/2017,23332935,1,597.23,Nil,Accident Repairs - Charge User,Revenue,Transport,CAT10,Vehicle and Plant Hire,SUBCAT1010,Van & Truck & Car Hire,82050,Not yet available,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2017,REGENCULT,A,Net (Surplus) / Deficit of Trading Operations,ARROW COMMERCIAL CENTRE T/A ARROW SELF DRIVE,Redacted,02206442,N/A,Not yet available,20/06/2017,23332936,1,700.00,Nil,Accident Repairs - Charge User,Revenue,Transport,CAT10,Vehicle and Plant Hire,SUBCAT1010,Van & Truck & Car Hire,82050,Not yet available,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2017,REGENCULT,A,Net (Surplus) / Deficit of Trading Operations,ARROW COMMERCIAL CENTRE T/A ARROW SELF DRIVE,Redacted,02206442,N/A,Not yet available,20/06/2017,23332937,1,500.00,Nil,Accident Repairs - Charge User,Revenue,Transport,CAT10,Vehicle and Plant Hire,SUBCAT1010,Van & Truck & Car Hire,82050,Not yet available,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2017,REGENCULT,A,Net (Surplus) / Deficit of Trading Operations,LEEDS COMMERCIAL LTD,Redacted,Awaiting,N/A,Not yet available,01/06/2017,23325120,1,1073.73,Nil,Accident Repairs - Charge User,Revenue,Transport,CAT10,Vehicle and Plant Hire,SUBCAT1010,Van & Truck & Car Hire,82050,Not yet available,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2017,CHILDYOU,4,Children's and Education Services,RE TODAY SERVICES,Redacted,Awaiting,N/A,Not yet available,11/04/2017,23291081,1,7000.00,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Education & Careers,SUBCAT0502,Educational Services,29360,Not yet available,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2017,ADULTS,7,Adult Social Care,ALERT -IT CARE ALARMS,Redacted,Awaiting,N/A,Not yet available,18/05/2017,23310122,1,784.99,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Medical Equipment Manufacturers,50348,Not yet available,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2017,ADULTS,7,Adult Social Care,ALERT -IT CARE ALARMS,Redacted,Awaiting,N/A,Not yet available,18/05/2017,23311305,1,877.80,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Medical Equipment Manufacturers,50348,Not yet available,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2017,ADULTS,7,Adult Social Care,ALERT -IT CARE ALARMS,Redacted,Awaiting,N/A,Not yet available,12/04/2017,23278615,1,1857.30,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Medical Equipment Manufacturers,50348,Not yet available,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2017,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,Awaiting,N/A,Not yet available,22/05/2017,23311095,1,580.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Roofing Services,65470,Not yet available,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2017,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,Awaiting,N/A,Not yet available,30/06/2017,23341395,1,520.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Roofing Services,65470,Not yet available,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2017,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,Awaiting,N/A,Not yet available,08/05/2017,23305726,1,660.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Construction,SUBCAT0150,Construction Contractors - General,21555,Not yet available,,,,,,,,,,,,,,,,,,,,,,,,
