Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),Sercop URI,Supplier Name,Supplier ID,Company Registration,Charity Registration,VCSE Grant,Payment Date,Transaction Number,Seq No,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Procurement Classification,Class Code,Thomson Classification,Thomson Desc.,Contract
Wakefield MDC,E08000036,2017-09-31,REGENCULT,A,Net (Surplus) / Deficit of Trading Operations,ARROW COMMERCIAL CENTRE T/A ARROW SELF DRIVE,Redacted,02206442,N/A,Not yet available,2017-08-23,23382334,1,638.00,Nil,Accident Repairs - Charge User,Revenue,Transport,CAT10,Vehicle and Plant Hire,SUBCAT1010,Van & Truck & Car Hire,82050,Not yet available
Wakefield MDC,E08000036,2017-09-31,REGENCULT,A,Net (Surplus) / Deficit of Trading Operations,ARROW COMMERCIAL CENTRE T/A ARROW SELF DRIVE,Redacted,02206442,N/A,Not yet available,2017-08-23,23382333,1,848.50,Nil,Accident Repairs - Charge User,Revenue,Transport,CAT10,Vehicle and Plant Hire,SUBCAT1010,Van & Truck & Car Hire,82050,Not yet available
Wakefield MDC,E08000036,2017-09-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS,Redacted,Awaiting,N/A,Not yet available,2017-09-22,23402389,1,625.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2017-09-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS,Redacted,Awaiting,N/A,Not yet available,2017-07-07,23347696,1,800.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2017-09-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS,Redacted,Awaiting,N/A,Not yet available,2017-07-13,23351199,1,1137.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2017-09-31,ADULTS,7,Adult Social Care,POLLOCK LIFTS,Redacted,Awaiting,N/A,Not yet available,2017-09-15,23398784,1,1330.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2017-09-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,4109393,N/A,Not yet available,2017-08-25,23381992,1,655.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2017-09-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,4109393,N/A,Not yet available,2017-08-21,23373218,1,665.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2017-09-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,4109393,N/A,Not yet available,2017-07-26,23353013,1,670.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2017-09-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,4109393,N/A,Not yet available,2017-09-27,23403945,1,745.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2017-09-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,4109393,N/A,Not yet available,2017-07-10,23348719,1,797.50,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2017-09-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,4109393,N/A,Not yet available,2017-08-17,23364742,1,905.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,2017-09-31,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,4109393,N/A,Not yet available,2017-07-05,23341373,1,915.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
