Benificiary Name,Payment Date,Amount,Organisational Unit,Organisational Unit
ARROW COMMERCIAL CENTRE T/A ARROW SELF DRIVE,2017-06-20,597.23,Transport,Vehicle and Plant Hire
ARROW COMMERCIAL CENTRE T/A ARROW SELF DRIVE,2017-06-20,700.00,Transport,Vehicle and Plant Hire
ARROW COMMERCIAL CENTRE T/A ARROW SELF DRIVE,2017-06-20,500.00,Transport,Vehicle and Plant Hire
LEEDS COMMERCIAL LTD,2017-06-01,1073.73,Transport,Vehicle and Plant Hire
RE TODAY SERVICES,2017-04-11,7000.00,Children and Young People,Education & Careers
ALERT -IT CARE ALARMS,2017-05-18,784.99,Adult Services,Sub Category To Be Classified
ALERT -IT CARE ALARMS,2017-05-18,877.80,Adult Services,Sub Category To Be Classified
ALERT -IT CARE ALARMS,2017-04-12,1857.30,Adult Services,Sub Category To Be Classified
C MITCHELL & SONS,2017-05-22,580.00,Property & Regeneration,PFM - Non Contract - Miscellaneous
C MITCHELL & SONS,2017-06-30,520.00,Property & Regeneration,PFM - Non Contract - Miscellaneous
CAULTON CONSTRUCTION,2017-05-08,660.00,Property & Regeneration,Construction
CAULTON CONSTRUCTION,2017-06-30,685.00,Property & Regeneration,Construction
CAULTON CONSTRUCTION,2017-05-09,540.00,Property & Regeneration,Construction
CAULTON CONSTRUCTION,2017-06-14,800.00,Property & Regeneration,Construction
CHILTERN INVADEX (UK) LTD,2017-06-20,4189.50,Adult Services,Sub Category To Be Classified
CHILTERN INVADEX (UK) LTD,2017-05-15,796.10,Adult Services,Sub Category To Be Classified
CHILTERN INVADEX (UK) LTD,2017-06-30,904.60,Adult Services,Sub Category To Be Classified
CHILTERN INVADEX (UK) LTD,2017-06-26,975.60,Adult Services,Sub Category To Be Classified
DIRECT FABRICATIONS (YORKSHIRE) LTD,2017-05-03,508.40,Property & Regeneration,PFM - Non Contract - Miscellaneous
DIRECT FABRICATIONS (YORKSHIRE) LTD,2017-04-03,650.00,Property & Regeneration,PFM - Non Contract - Miscellaneous
HANDICARE ACCESSIBILITY LTD,2017-06-26,2595.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2017-04-24,695.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2017-04-03,1975.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2017-04-03,850.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2017-04-03,1735.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2017-05-12,1917.50,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2017-04-03,775.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2017-05-12,730.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2017-06-01,2840.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2017-06-22,727.50,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2017-05-19,4115.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2017-06-15,1110.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2017-06-02,882.50,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2017-06-02,1170.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2017-05-09,745.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2017-04-20,1805.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2017-06-29,810.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2017-06-30,922.50,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2017-04-18,2605.00,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2017-06-12,2520.00,Adult Services,Sub Category To Be Classified
LEGRAND ASSISTED LIVING & HEALTHCARE,2017-04-19,2214.60,Adult Services,Sub Category To Be Classified
LEGRAND ASSISTED LIVING & HEALTHCARE,2017-04-19,2129.80,Adult Services,Sub Category To Be Classified
LEGRAND ASSISTED LIVING & HEALTHCARE,2017-05-18,2347.50,Adult Services,Sub Category To Be Classified
LEGRAND ASSISTED LIVING & HEALTHCARE,2017-06-19,2794.00,Adult Services,Sub Category To Be Classified
LIVE-LINK (CALL SYSTEMS) LTD,2017-04-26,785.00,Property & Regeneration,Security
NORTHERN INSTALLATION SERVICES LTD,2017-06-28,780.00,Adult Services,Sub Category To Be Classified
NORTHERN INSTALLATION SERVICES LTD,2017-06-01,750.00,Adult Services,Sub Category To Be Classified
NORTHERN INSTALLATION SERVICES LTD,2017-04-11,650.00,Adult Services,Sub Category To Be Classified
POLLOCK LIFTS,2017-06-01,558.00,Adult Services,Sub Category To Be Classified
POLLOCK LIFTS,2017-04-24,600.00,Adult Services,Sub Category To Be Classified
POLLOCK LIFTS,2017-04-19,750.00,Adult Services,Sub Category To Be Classified
POLLOCK LIFTS,2017-05-25,625.00,Adult Services,Sub Category To Be Classified
POLLOCK LIFTS,2017-05-25,625.00,Adult Services,Sub Category To Be Classified
POLLOCK LIFTS,2017-04-06,535.00,Adult Services,Sub Category To Be Classified
TOTAL HYGIENE LTD,2017-04-26,2445.00,Property & Regeneration,Hygiene
TUNSTALL HEALTHCARE (UK) LTD,2017-05-12,2890.00,Adult Services,Sub Category To Be Classified
TUNSTALL HEALTHCARE (UK) LTD,2017-06-09,5866.00,Adult Services,Sub Category To Be Classified
TUNSTALL HEALTHCARE (UK) LTD,2017-06-09,980.00,Adult Services,Sub Category To Be Classified
TUNSTALL HEALTHCARE (UK) LTD,2017-04-18,7224.40,Adult Services,Sub Category To Be Classified
TUNSTALL HEALTHCARE (UK) LTD,2017-04-18,1840.00,Adult Services,Sub Category To Be Classified
TUNSTALL HEALTHCARE (UK) LTD,2017-04-18,1224.00,Adult Services,Sub Category To Be Classified
