Wakefield Council Supplier Spend Greater Than œ500 for Quarter 1st April 2014 to 30th June 2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),Sercop URI,Supplier Name,Supplier ID,Company Registration,Charity Registration,VCSE Grant,Payment Date,Transaction Number,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Procurement Classification,Class Code,Thomson Classification,Thomson Description,Contract,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,ANGELA SHAW EDUCATION CONSULTANTS LTD,N/A,Not yet available,Not yet available,Not yet available,13/06/2014,22522996,800.00,Nil,Activities School Improvement,Revenue,Professional Services,CAT08,Consultancy,SUBCAT0802,12100,Business & Management Consultants,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,AVENTIS SOLUTIONS LTD,N/A,Not yet available,Not yet available,Not yet available,16/06/2014,22523624,"1,000.00",Nil,Activities School Improvement,Revenue,Business Services,CAT02,Agency,SUBCAT0204,31230,Employment & Recruitment Agencies,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,EDGE HILL UNIVERSITY,N/A,Not yet available,Not yet available,Not yet available,16/06/2014,22523639,600.00,Nil,Activities School Improvement,Revenue,Business Services,CAT02,Training - Universities,SUBCAT0227,81491,Universities & Medical Schools,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,KATHERINE MILNER MATHEMATICS CONSULTANCY,N/A,Not yet available,Not yet available,Not yet available,13/06/2014,22522947,"4,000.00",Nil,Activities School Improvement,Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,29360,Educational Services,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,KATHERINE MILNER MATHEMATICS CONSULTANCY,N/A,Not yet available,Not yet available,Not yet available,13/06/2014,22522948,"3,500.00",Nil,Activities School Improvement,Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,29360,Educational Services,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,NATIONAL COAL MINING MUSEUM TRADING LTD,N/A,Not yet available,Not yet available,Not yet available,23/05/2014,22506078,"1,363.00",Nil,Activities School Improvement,Revenue,"Economic Growth, Culture & Sport",CAT09,Museums & Culture,SUBCAT0904,52400,Museums & Art Galleries,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,CHILDYOU,Not yet available,Not yet available,WAKEFIELD CITY ACADEMY,N/A,Not yet available,Not yet available,Not yet available,23/05/2014,22506080,"8,850.00",Nil,Activities School Improvement,Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,67981,Schools - Local Authority,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,ADULTS,Not yet available,Not yet available,ALERT -IT CARE ALARMS,N/A,Not yet available,Not yet available,Not yet available,11/06/2014,22520790,"14,616.61",Nil,Adaptations,Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,50348,Medical Equipment Manufacturers,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
Wakefield MDC,E08000036,30/06/2014,ADULTS,Not yet available,Not yet available,ALERT -IT CARE ALARMS,N/A,Not yet available,Not yet available,Not yet available,11/06/2014,22520791,"14,424.94",Nil,Adaptations,Revenue,Family Services,CAT04,Sub Category To Be Classified,SUBCATTBC,50348,Medical Equipment Manufacturers,Not yet available,,,,,,,,,,,,,,,,,,,,,,,
