Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),Sercop URI,Supplier Name,Supplier ID,Company Registration,Charity Registration,VCSE Grant,Payment Date,Transaction Number,Seq No,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Procurement Classification,Class Code,Thomson Classification,Thomson Desc.,Contract
Wakefield MDC,E08000036,2016-09-30,CHILDYOU,4,Children's and Education Services,LIZ GODMAN EDUCATION CONSULTANCY LTD,Redacted,7525547,Not yet available,Not yet available,2016-07-22,23107837,1,1040.00,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Education & Careers,SUBCAT0502,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,2016-09-30,CHILDYOU,4,Children's and Education Services,LIZ GODMAN EDUCATION CONSULTANCY LTD,Redacted,7525547,Not yet available,Not yet available,2016-07-22,23107797,1,1630.00,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Education & Careers,SUBCAT0502,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,ALERT -IT CARE ALARMS,Redacted,Not yet available,Not yet available,Not yet available,2016-07-07,23091829,1,1143.26,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,Not yet available,Not yet available,Not yet available,2016-09-22,23144626,1,500.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Roofing,SUBCAT0119,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,Not yet available,Not yet available,Not yet available,2016-07-07,23090680,1,520.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Roofing,SUBCAT0119,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,Not yet available,Not yet available,Not yet available,2016-07-08,23089153,1,710.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Roofing,SUBCAT0119,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,C MITCHELL & SONS,Redacted,Not yet available,Not yet available,Not yet available,2016-08-30,23129768,1,910.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Roofing,SUBCAT0119,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,CANARY CARE LIMITED,Redacted,08512931,Not yet available,Not yet available,2016-09-22,23147240,1,514.20,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Home Care Services,43419,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,CANARY CARE LIMITED,Redacted,08512931,Not yet available,Not yet available,2016-08-12,23116560,1,584.20,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Home Care Services,43419,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,CANARY CARE LIMITED,Redacted,08512931,Not yet available,Not yet available,2016-09-22,23147241,1,1020.70,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Home Care Services,43419,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,Not yet available,Not yet available,Not yet available,2016-07-20,23092058,1,500.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Construction,SUBCAT0130,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,Not yet available,Not yet available,Not yet available,2016-07-13,23092060,1,700.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Construction,SUBCAT0130,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,Not yet available,Not yet available,Not yet available,2016-08-09,23113735,1,831.99,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Construction,SUBCAT0130,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,2016-09-16,23144435,1,585.20,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,2016-07-07,23090675,1,612.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,2016-09-22,23144109,1,626.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,2016-09-19,23132141,1,652.60,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,2016-07-07,23073708,1,671.20,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,2016-09-27,23144058,1,675.40,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,2016-09-29,23147019,1,751.20,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,2016-07-05,23077388,1,788.20,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,2016-07-26,23100267,1,1194.62,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,2016-09-29,23145964,1,1507.80,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,DIRECT FABRICATIONS (YORKSHIRE) LTD,Redacted,9055079,Not yet available,Not yet available,2016-09-26,23149776,1,2602.40,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Metal,SUBCAT0114,Steel Fabricators & Erectors,73510,Not yet available
Wakefield MDC,E08000036,2016-09-30,ADULTS,7,Adult Social Care,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,2016-08-22,23119461,1,500.00,Nil,Adaptations,Revenue,Adult Services,CAT04,Sub Category To Be Classified,SUBCATTBC,Stairlifts - Mnfrs & Installers,73190,Not yet available
