Benificiary Name,Payment Date,Amount,Organisational Unit,Organisational Unit
ARROW COMMERCIAL CENTRE T/A ARROW SELF DRIVE,2016-12-28,545.67,Transport,Vehicle and Plant Hire
ALERT -IT CARE ALARMS,2016-11-24,1355.7,Adult Services,Sub Category To Be Classified
ALERT -IT CARE ALARMS,2016-11-24,552.1,Adult Services,Sub Category To Be Classified
C MITCHELL & SONS,2016-10-07,640,Property & Regeneration,PFM - Non Contract - Miscellaneous
C MITCHELL & SONS,2016-11-07,550,Property & Regeneration,PFM - Non Contract - Miscellaneous
C MITCHELL & SONS,2016-11-10,650,Property & Regeneration,PFM - Non Contract - Miscellaneous
C MITCHELL & SONS,2016-11-14,835,Property & Regeneration,PFM - Non Contract - Miscellaneous
C MITCHELL & SONS,2016-11-17,600,Property & Regeneration,PFM - Non Contract - Miscellaneous
C MITCHELL & SONS,2016-11-17,600,Property & Regeneration,PFM - Non Contract - Miscellaneous
C MITCHELL & SONS,2016-12-06,580,Property & Regeneration,PFM - Non Contract - Miscellaneous
C MITCHELL & SONS,2016-12-02,635,Property & Regeneration,PFM - Non Contract - Miscellaneous
C MITCHELL & SONS,2016-12-13,880,Property & Regeneration,PFM - Non Contract - Miscellaneous
C MITCHELL & SONS,2016-12-19,550,Property & Regeneration,PFM - Non Contract - Miscellaneous
C MITCHELL & SONS,2016-12-22,815,Property & Regeneration,PFM - Non Contract - Miscellaneous
C MITCHELL & SONS,2016-12-22,1240,Property & Regeneration,PFM - Non Contract - Miscellaneous
CANARY CARE LIMITED,2016-11-08,1020.7,Adult Services,Sub Category To Be Classified
CAULTON CONSTRUCTION,2016-10-10,870,Property & Regeneration,Construction
CAULTON CONSTRUCTION,2016-10-21,675,Property & Regeneration,Construction
CAULTON CONSTRUCTION,2016-11-17,565,Property & Regeneration,Construction
CAULTON CONSTRUCTION,2016-11-17,780,Property & Regeneration,Construction
CAULTON CONSTRUCTION,2016-11-14,515,Property & Regeneration,Construction
CAULTON CONSTRUCTION,2016-12-05,680,Property & Regeneration,Construction
CDS ASSISTIVE TECHNOLOGY LTD,2016-11-01,575,Property & Regeneration,Security
DIRECT FABRICATIONS (YORKSHIRE) LTD,2016-10-21,1667,Property & Regeneration,PFM - Non Contract - Miscellaneous
DIRECT FABRICATIONS (YORKSHIRE) LTD,2016-10-07,765,Property & Regeneration,PFM - Non Contract - Miscellaneous
DIRECT FABRICATIONS (YORKSHIRE) LTD,2016-10-26,876,Property & Regeneration,PFM - Non Contract - Miscellaneous
DIRECT FABRICATIONS (YORKSHIRE) LTD,2016-11-09,1019.2,Property & Regeneration,PFM - Non Contract - Miscellaneous
DIRECT FABRICATIONS (YORKSHIRE) LTD,2016-11-11,4709,Property & Regeneration,PFM - Non Contract - Miscellaneous
DIRECT FABRICATIONS (YORKSHIRE) LTD,2016-11-11,3961,Property & Regeneration,PFM - Non Contract - Miscellaneous
DIRECT FABRICATIONS (YORKSHIRE) LTD,2016-11-28,2622,Property & Regeneration,PFM - Non Contract - Miscellaneous
DIRECT FABRICATIONS (YORKSHIRE) LTD,2016-11-29,806,Property & Regeneration,PFM - Non Contract - Miscellaneous
HANDICARE ACCESSIBILITY LTD,2016-10-05,840,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-10-03,860,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-10-10,855,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-10-07,2015,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-10-07,1900,Adult Services,Sub Category To Be Classified
HANDICARE ACCESSIBILITY LTD,2016-10-28,625,Adult Services,Sub Category To Be Classified
