Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),SERCOP URI,Supplier Name,Supplier ID,Company Registraation Number,Charity Registration Number,VCSE Grant,Payment Date,Transaction No,Seq No,Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Procurement Classification,Class Code,Thomson Classification,Thomson Desc.,Contract
Wakefield MDC,E08000036,2018-12-31,CHILDYOU,4,Children\xB4s and Education Services,DETAILS REDACTED,Redacted,N/A,N/A,Not yet available,2018-10-25,23678112,1,696.60,Nil,16-19 YPLA Bursary Fund Payments,Revenue,n/a,CATNA,Sub Category Not Applicable,SUBCATNA,Not Applicable,NA,Not yet available
Wakefield MDC,E08000036,2018-12-31,REGENCULT,A,Net (Surplus) / Deficit of Trading Operations,ARROW COMMERCIAL CENTRE (HUDDERSFIELD) LIMITED T/A ARROW SELF DRIVE,Redacted,02206442,N/A,Not yet available,2018-12-17,23716083,1,3386.27,Nil,Accident Repairs - Charge User,Revenue,Transport,CAT10,Vehicle and Plant Hire,SUBCAT1010,Van & Truck & Car Hire,82050,Not yet available
Wakefield MDC,E08000036,2018-12-31,CHILDYOU,4,Children\xB4s and Education Services,CHERRY TREE PRIMARY ACADEMY,Redacted,09124782,EXEMPT,Not yet available,2018-12-13,23704290,1,5980.00,Nil,Accomodation Recharge - Resource Centres,Revenue,Children and Young People,CAT05,Education & Careers,SUBCAT0502,Schools - Independent & Preparatory,67860,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,P,Public Health,WHITE RIBBON CAMPAIGN UK,Redacted,05617302,1123874,Not yet available,2018-10-10,23658297,1,500.00,Nil,Accreditation,Revenue,Children and Young People,CAT05,Education & Careers,SUBCAT0502,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,ALLCARE MOBILITY LIMITED,Redacted,04927223,N/A,Not yet available,2018-11-07,23678738,1,510.00,Nil,Adaptations,Revenue,Transport,CAT10,Mobility Vehicles,SUBCAT1011,Mobility & Access Equipment & Vehicles,51520,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,ALLCARE MOBILITY LIMITED,Redacted,04927223,N/A,Not yet available,2018-12-06,23704296,1,545.00,Nil,Adaptations,Revenue,Transport,CAT10,Mobility Vehicles,SUBCAT1011,Mobility & Access Equipment & Vehicles,51520,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,DETAILS REDACTED,Redacted,N/A,N/A,Not yet available,2018-12-04,23702521,1,550.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,DETAILS REDACTED,Redacted,N/A,N/A,Not yet available,2018-11-07,23683339,1,700.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,P,Public Health,CAIR (UK) LTD,Redacted,08652937,N/A,Not yet available,2018-11-28,23700635,1,1002.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Electronic Component Mnfrs & Distributors,30710,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,P,Public Health,CAIR (UK) LTD,Redacted,08652937,N/A,Not yet available,2018-12-05,23704475,1,1503.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,PFM - Non Contract - Miscellaneous,SUBCAT0154,Electronic Component Mnfrs & Distributors,30710,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,N/A,N/A,Not yet available,2018-11-08,23652297,1,550.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Construction,SUBCAT0150,Construction Contractors - General,21555,Not yet available
Wakefield MDC,E08000036,2018-12-31,ADULTS,7,Adult Social Care,CAULTON CONSTRUCTION,Redacted,N/A,N/A,Not yet available,2018-10-30,23652278,1,750.00,Nil,Adaptations,Revenue,Property & Regeneration,CAT01,Construction,SUBCAT0150,Construction Contractors - General,21555,Not yet available
