Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),Sercop URI,Supplier Name,Supplier ID,Company Registration,Charity Registration,VCSE Grant,Payment Date,Transaction Number,Seq No,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Procurement Classification,Class Code,Thomson Classification,Thomson Description,Contract
Wakefield MDC,E08000036,2015-06-30,CHILDYOU,Children\xB4s and Education Services,4,LIZ GODMAN EDUCATION CONSULTANCY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-05-06,22775496,1,1220.00,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Education & Careers,SUBCAT0502,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,2015-06-30,CHILDYOU,Children\xB4s and Education Services,4,LIZ GODMAN EDUCATION CONSULTANCY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-08,22799915,1,1820.00,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Education & Careers,SUBCAT0502,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,2015-06-30,CHILDYOU,Children\xB4s and Education Services,4,LIZ GODMAN EDUCATION CONSULTANCY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-05-06,22775505,1,1840.00,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Education & Careers,SUBCAT0502,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,2015-06-30,CHILDYOU,Children\xB4s and Education Services,4,MARTIN SHEVILL CONSULTANCY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-05,22799362,1,528.00,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Education & Careers,SUBCAT0502,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,2015-06-30,CHILDYOU,Children\xB4s and Education Services,4,MARTIN SHEVILL CONSULTANCY LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-06-05,22799363,1,598.00,Nil,Activities School Improvement,Revenue,Children and Young People,CAT05,Education & Careers,SUBCAT0502,Educational Services,29360,Not yet available
Wakefield MDC,E08000036,2015-06-30,CHILDYOU,Children\xB4s and Education Services,4,BACK CARE SOLUTIONS LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-04-20,22760218,1,505.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Furniture,SUBCAT0133,Office Equipment Mnfrs & Distributors,53390,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,C MITCHELL & SONS,Redacted,Not yet available,Not yet available,Not yet available,2015-05-21,22780835,1,515.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Roofing,SUBCAT0119,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,C MITCHELL & SONS,Redacted,Not yet available,Not yet available,Not yet available,2015-04-13,22753038,1,595.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Roofing,SUBCAT0119,Roofing Services,65470,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,CAIR (UK) LTD,Redacted,Not yet available,Not yet available,Not yet available,2015-04-21,22755583,1,1631.25,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Building Services - Electrical,SUBCAT0107,Electronic Component Mnfrs & Distributors,30710,Not yet available
Wakefield MDC,E08000036,2015-06-30,ADULTS,Adult Social Care,7,CAULTON CONSTRUCTION,Redacted,Not yet available,Not yet available,Not yet available,2015-04-09,22751865,1,680.00,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Construction,SUBCAT0130,Construction Contractors - General,21555,Not yet available
