Body name,Service label,Service divison label,Expenditure category,Detailed expenditure type,Detailed expenditure code,Date paid,Transaction number,Net amount,Capital or revenue,Supplier name
East - North East,East - North East,Construction Services,Supplies and Services,Other Materials,205,03-Aug-11,1108-00001,707.20,R,A Andrews & Sons (Marbles & Tiles)
East - North East,East - North East,Construction Services,Supplies and Services,Other Materials,205,23-Aug-11,1108-00002,707.20,R,A Andrews & Sons (Marbles & Tiles)
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Fostering - Placement Support,550,01-Aug-11,1108-00003,"12,200.00",R,A C Construction Ltd
Leeds City Council,City Development,Highways,Capital,Construction,3,17-Aug-11,1108-00004,602.00,C,A D D Loop Cutting Services Ltd
Leeds City Council,City Development,Highways,Supplies and Services,Other Hired And Contracted Services,265,31-Aug-11,1108-00005,"1,525.52",R,A D D Loop Cutting Services Ltd
East - North East,East - North East,Construction Services,Supplies and Services,Other Hired And Contracted Services,265,19-Aug-11,1108-00006,"1,205.82",R,A D Simpson Construction Ltd
Leeds City Council,City Development,Highways,Capital,Construction,3,24-Aug-11,1108-00007,"186,865.05",C,A E Yates Ltd
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Operational Materials,205,31-Aug-11,1108-00008,"2,508.00",R,A J HPump Supply & Repair Ltd
Leeds City Council,City Development,Recreation,Supplies and Services,Publication And Promotion,267,16-Aug-11,1108-00009,450.00,R,A J Paraskos
Leeds City Council,City Development,Recreation,Supplies and Services,Publication And Promotion,267,19-Aug-11,1108-00010,450.00,R,A J Paraskos
Leeds City Council,City Development,Recreation,Supplies and Services,Publication And Promotion,267,19-Aug-11,1108-00011,450.00,R,A J Paraskos
Leeds City Council,City Development,Recreation,Supplies and Services,Publication And Promotion,267,19-Aug-11,1108-00012,450.00,R,A J Paraskos
Leeds City Council,City Development,Recreation,Supplies and Services,Resaleable Materials,204,24-Aug-11,1108-00013,680.40,R,A J Promotions
Leeds City Council,City Development,Recreation,Supplies and Services,Resaleable Materials,204,26-Aug-11,1108-00014,"1,074.95",R,A J Promotions
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,12-Aug-11,1108-00015,"13,000.00",R,A Lowrie Care Service Limited
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,General External Residential Placements,507,12-Aug-11,1108-00016,"14,000.00",R,A Lowrie Care Service Limited
Leeds City Council,Central & Corporate Functions,Customer Services,Supplies and Services,Other Hired And Contracted Services,265,02-Aug-11,1108-00017,675.25,R,A Mohammed
Leeds City Council,Environment & Neighbourhoods,Statutory Housing,Transport,Public Transport Expenses,310,12-Aug-11,1108-00018,"2,305.00",R,A Zoom Taxis
Leeds City Council,Central & Corporate Functions,Support And Facilities Trading Services,Supplies and Services,Operational Materials,205,31-Aug-11,1108-00019,498.75,R,Aalco Leeds
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential Care Emi,571,03-Aug-11,1108-00020,"1,170.76",R,Abbey Lea Residential Care Home
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential Care Emi,571,31-Aug-11,1108-00021,"1,170.76",R,Abbey Lea Residential Care Home
Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Residential,580,03-Aug-11,1108-00022,"1,163.80",R,Abbeydale Care Home
Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Residential,580,31-Aug-11,1108-00023,"1,163.80",R,Abbeydale Care Home
Leeds City Council,Environment & Neighbourhoods,Belle Isle,Capital,Construction,3,02-Aug-11,1108-00024,"1,712.95",C,Able Bathing & Building Contractors Ltd
Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,03-Aug-11,1108-00025,"2,890.00",C,Able Bathing & Building Contractors Ltd
Leeds City Council,Environment & Neighbourhoods,South South East,Capital,Construction,3,05-Aug-11,1108-00026,"5,734.00",C,Able Bathing & Building Contractors Ltd
Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,10-Aug-11,1108-00027,"4,150.00",C,Able Bathing & Building Contractors Ltd
Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,22-Aug-11,1108-00028,"4,150.00",C,Able Bathing & Building Contractors Ltd
Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,22-Aug-11,1108-00029,"2,890.00",C,Able Bathing & Building Contractors Ltd
Leeds City Council,City Development,Recreation,Supplies and Services,Other Hired And Contracted Services,265,19-Aug-11,1108-00030,"4,645.00",R,Abyss Recycling
Leeds City Council,Childrens Services,Learning Skills & Universal,Employees,Agency Staff,008,04-Aug-11,1108-00031,"1,044.00",R,Academic Appointments Ltd
Leeds City Council,Childrens Services,Learning Skills & Universal,Employees,Agency Staff,008,11-Aug-11,1108-00032,"1,044.00",R,Academic Appointments Ltd
Leeds City Council,Environment & Neighbourhoods,Environmental Health,Capital,Construction,3,04-Aug-11,1108-00033,"2,241.00",C,Accent Homes Ltd
Leeds City Council,Central & Corporate Functions,Leeds Shared Services,Supplies and Services,Computer Software & Equipment,214,24-Aug-11,1108-00034,"5,162.60",R,Accenture (Uk) Ltd
East - North East,East - North East,Construction Services,Supplies and Services,Miscellaneous Expenditure,208,15-Aug-11,1108-00035,"39,360.00",R,Access Platform Sales Limited
East - North East,East - North East,Construction Services,Supplies and Services,Miscellaneous Expenditure,208,15-Aug-11,1108-00036,528.00,R,Access Platform Sales Limited
Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,01-Aug-11,1108-00037,"1,643.28",R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,01-Aug-11,1108-00038,895.44,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,01-Aug-11,1108-00039,"1,230.00",R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Employees,Agency Staff,008,01-Aug-11,1108-00040,808.01,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,01-Aug-11,1108-00041,"1,436.64",R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Employees,Agency Staff,008,02-Aug-11,1108-00042,"1,752.96",R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Employees,Agency Staff,008,04-Aug-11,1108-00043,808.01,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,04-Aug-11,1108-00044,"1,530.12",R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Employees,Agency Staff,008,05-Aug-11,1108-00045,657.36,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Employees,Agency Staff,008,05-Aug-11,1108-00046,511.28,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,11-Aug-11,1108-00047,"1,431.72",R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Employees,Agency Staff,008,11-Aug-11,1108-00048,438.24,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,11-Aug-11,1108-00049,"1,161.12",R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,11-Aug-11,1108-00050,"1,062.72",R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Employees,Agency Staff,008,11-Aug-11,1108-00051,"1,173.21",R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,11-Aug-11,1108-00052,"2,169.72",R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Employees,Agency Staff,008,19-Aug-11,1108-00053,808.01,R,Acclaimed Security Services
Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,19-Aug-11,1108-00054,"1,886.82",R,Acclaimed Security Services
Leeds City Council,Insurance,Insurance,Supplies and Services,Insurance Claims,248,04-Aug-11,1108-00055,628.19,R,Accountant General Of The Senior Court
Leeds City Council,Childrens Services,Learning Skills & Universal,Supplies and Services,Other Hired And Contracted Services,265,01-Aug-11,1108-00056,547.50,R,Ace Container Services Limited
West - North West,West - North West,Corporate Services,Supplies and Services,Information Technology - Agency,215,08-Aug-11,1108-00057,"2,051.68",R,Achievetech Solutions Ltd
Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Nursing Home,570,03-Aug-11,1108-00058,"1,185.08",R,Ackworth House
Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Services Rendered By Schools,506,26-Aug-11,1108-00059,"14,850.00",R,Ackworth School
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,01-Aug-11,1108-00060,"1,120.00",R,Acm
Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,12-Aug-11,1108-00061,"1,570.00",R,Acm
