Newcastle City Council Invoices over £250 paid in May 2019,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
People,Adult Social Care,Revenue Expenditure,28/05/2019,18 SEA VIEW VILLAS,7790418,revenue,1MK34,Shared Lives - Adult LD,1570.80
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,22/05/2019,A&J KEITH LTD,7786429,revenue,1KVWC,Minor Works Contracts,75468.42
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,13/05/2019,A&J KEITH LTD,7778056,revenue,1KBRM,Sub Contractors R & M,199908.41
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,10/05/2019,A&J KEITH LTD,7777596,revenue,1KBRM,Sub Contractors R & M,27812.19
Operations & Regulatory Services ,Operations,Revenue Expenditure,10/05/2019,AAA CHEMICALS LTD,7777280,revenue,3KES1,Fleetmaster Stores Account,726.00
People,Education,Revenue Expenditure,02/05/2019,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,7761636,revenue,1EA15,Newcastle City Learning Main,585.00
People,Adult Social Care,Revenue Expenditure,14/05/2019,ABBEYFIELD CASTLE FARM,7780085,revenue,1MG20,Residential Care OP,7611.63
People,Adult Social Care,Revenue Expenditure,14/05/2019,ABBEYFIELD THE GROVE,7780076,revenue,1MG20,Residential Care OP,7511.52
People,Adult Social Care,Revenue Expenditure,14/05/2019,ABBEYMOOR LIFEWAYS,7780128,revenue,1MH10,Nursing Care PD,3510.24
People,Adult Social Care,Revenue Expenditure,14/05/2019,ABBEYMOOR LIFEWAYS,7780128,revenue,1MM10,Nursing Care MH,36527.17
Operations & Reg Services,Environment&Public Protection,Revenue Expenditure,07/05/2019,ABC FOOD LAW LTD,7768467,revenue,1D500,Food Safety & Training,390.00
People,Adult Social Care,Revenue Expenditure,07/05/2019,ABSOLUTE QUALITY CARE,7774010,revenue,1MG51,Home Care-Personal OP,21390.32
People,Adult Social Care,Revenue Expenditure,07/05/2019,ABSOLUTE QUALITY CARE,7774010,revenue,1MH50,Home Care PD,6867.91
