Newcastle City Council Invoices over £250 paid in February 2020,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,04/02/2020,18 SEA VIEW VILLAS,7967824,revenue,1MK34,Shared Lives - Adult LD,1600
Operations & Reg Services,Community Hubs,Revenue Expenditure,07/02/2020,2CQR LTD,7969820,revenue,1EJ12,ICT,4742
Resources,ICT,Revenue Expenditure,03/02/2020,4NET TECHNOLOGIES LTD,7966785,revenue,1CC24,Telecoms,312.5
Place,Commercial Dev & Property,Revenue Expenditure,28/02/2020,A T F RETAIL LTD,7986030,revenue,1DY85,Higham House,660
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,12/02/2020,A&J KEITH LTD,7973231,revenue,1KBRM,Sub Contractors R & M,260485.11
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,12/02/2020,A&J KEITH LTD,7973232,revenue,1KBRM,Sub Contractors R & M,16519.23
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,12/02/2020,A&J KEITH LTD,7973449,revenue,1KVWC,Minor Works Contracts,43236.77
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,12/02/2020,A&J KEITH LTD,7973448,revenue,1KVWC,Minor Works Contracts,16130
Place,Development Management,Revenue Expenditure,07/02/2020,A&S LOCKSMITHS,7969399,revenue,1V073,Historic Monumnets,343.8
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,03/02/2020,A1 FOSTER CARE,7966599,revenue,1MC22,IND Sector Foster Carer Costs,10080
Place,Commercial Dev & Property,Revenue Expenditure,26/02/2020,AA FLAGS LTD,7980546,revenue,1KKX1,Civic Centre Direct Costs,254.5
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,17/02/2020,AA GLOBAL LANGUAGES SERVICES LTD,7975498,revenue,1MK0A,Learning Disability & Autism,70
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,17/02/2020,AA GLOBAL LANGUAGES SERVICES LTD,7975498,revenue,1MD62,Support to LAC,205
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,17/02/2020,AA GLOBAL LANGUAGES SERVICES LTD,7975498,revenue,1MD67,S17 Children in Need,675
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,17/02/2020,AA GLOBAL LANGUAGES SERVICES LTD,7975498,revenue,1MD68,Legal Fees Care,338
Resources,Legal Services,Revenue Expenditure,17/02/2020,AA GLOBAL LANGUAGES SERVICES LTD,7975498,revenue,1FA51,Coroner,55
"Children, Education and Skills",Education,Revenue Expenditure,13/02/2020,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,7968912,revenue,1EA15,Newcastle City Learning Main,680
"Children, Education and Skills",Education,Revenue Expenditure,21/02/2020,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,7963743,revenue,1EA15,Newcastle City Learning Main,1277
"Children, Education and Skills",Education,Revenue Expenditure,20/02/2020,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,7974198,revenue,1EA15,Newcastle City Learning Main,414
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,18/02/2020,ABBEYFIELD CASTLE FARM,7977300,revenue,1MG20,Residential Care OP,7511.52
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,18/02/2020,ABBEYFIELD THE GROVE,7977291,revenue,1MG20,Residential Care OP,7511.52
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,18/02/2020,ABBEYMOOR,7977302,revenue,1MH10,Nursing Care PD,2950.82
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,18/02/2020,ABBEYMOOR LIFEWAYS,7977341,revenue,1MM10,Nursing Care MH,4370.24
