Newcastle City Council Invoices over £250 paid in March 2019,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
People,Adult Social Care,Revenue Expenditure,05/03/2019,18 SEA VIEW VILLAS,7727995,revenue,1MK34,Shared Lives - Adult LD,1570.80
Operations&Regulatory Services,Operations,Capital Expenditure,25/03/2019,3E CONSULTING ENGINEERS LTD,7744296,Capital,2CAPI,Capital Investment,450.00
Operations & Reg Services,Local services,Revenue Expenditure,21/03/2019,A & C WEBER UK,7698005,revenue,1KE42,Trade Waste Collections,3876.00
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,13/03/2019,A&J KEITH LTD,7735320,revenue,1KBRM,Sub Contractors R & M,127958.01
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,13/03/2019,A&J KEITH LTD,7734991,revenue,1KBRM,Sub Contractors R & M,129163.35
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,13/03/2019,A&J KEITH LTD,7734965,revenue,1KBRM,Sub Contractors R & M,213159.41
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,06/03/2019,A&J KEITH LTD,7729870,revenue,1KVEE,Electrical Stand Alone Works,14300.00
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,11/03/2019,A&J KEITH LTD,7732162,revenue,1KVWC,Minor Works Contracts,129981.50
Operations & Reg Services,Community Hubs,Revenue Expenditure,28/03/2019,A&S LOCKSMITHS,7742590,revenue,1KL6D,General Expenditure - West,386.07
Operations & Reg Services,Community Hubs,Revenue Expenditure,27/03/2019,A&S LOCKSMITHS,7716166,revenue,1KL6A,Rangers Development Budget,982.92
Place,Commercial Dev & Property,Revenue Expenditure,28/03/2019,A&S LOCKSMITHS,7732664,revenue,1DT06,Foundry Lane Industrial Estate,981.32
Assistant Chief Executive,"Policy, Comms and Performance",Revenue Expenditure,27/03/2019,AA GLOBAL LANGUAGES SERVICES LTD,7741302,revenue,1FT08,Translation Unit,313.00
Assistant Chief Executive,"Policy, Comms and Performance",Revenue Expenditure,25/03/2019,AA GLOBAL LANGUAGES SERVICES LTD,7736872,revenue,1FT08,Translation Unit,68.00
Assistant Chief Executive,"Policy, Comms and Performance",Revenue Expenditure,07/03/2019,AA GLOBAL LANGUAGES SERVICES LTD,7726468,revenue,1FT08,Translation Unit,110.00
People,Children's Social Care,Revenue Expenditure,27/03/2019,AA GLOBAL LANGUAGES SERVICES LTD,7741302,revenue,1MD62,Support to LAC,485.00
People,Children's Social Care,Revenue Expenditure,27/03/2019,AA GLOBAL LANGUAGES SERVICES LTD,7741302,revenue,1MD67,S17 Children in Need,378.00
People,Children's Social Care,Revenue Expenditure,27/03/2019,AA GLOBAL LANGUAGES SERVICES LTD,7741302,revenue,1MD68,Legal Fees Care,3255.00
People,Children's Social Care,Revenue Expenditure,25/03/2019,AA GLOBAL LANGUAGES SERVICES LTD,7736872,revenue,1MD62,Support to LAC,1610.00
People,Children's Social Care,Revenue Expenditure,25/03/2019,AA GLOBAL LANGUAGES SERVICES LTD,7736872,revenue,1MD66,CWD Care Packages,96.00
People,Children's Social Care,Revenue Expenditure,25/03/2019,AA GLOBAL LANGUAGES SERVICES LTD,7736872,revenue,1MD68,Legal Fees Care,70.00
People,Children's Social Care,Revenue Expenditure,07/03/2019,AA GLOBAL LANGUAGES SERVICES LTD,7726468,revenue,1MD62,Support to LAC,95.00
People,Children's Social Care,Revenue Expenditure,07/03/2019,AA GLOBAL LANGUAGES SERVICES LTD,7726468,revenue,1MD68,Legal Fees Care,1600.00
People,Education,Revenue Expenditure,27/03/2019,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,7726375,revenue,1EA15,Newcastle City Learning Main,376.00
People,Education,Revenue Expenditure,14/03/2019,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,7722821,revenue,1EA15,Newcastle City Learning Main,540.00
People,Adult Social Care,Revenue Expenditure,19/03/2019,ABBEYFIELD CASTLE FARM,7740639,revenue,1MG20,Residential Care OP,7111.08
People,Adult Social Care,Revenue Expenditure,19/03/2019,ABBEYFIELD THE GROVE,7740630,revenue,1MG20,Residential Care OP,9227.47
People,Adult Social Care,Revenue Expenditure,19/03/2019,ABBEYMOOR LIFEWAYS,7740684,revenue,1MH10,Nursing Care PD,4164.34
People,Adult Social Care,Revenue Expenditure,19/03/2019,ABBEYMOOR LIFEWAYS,7740684,revenue,1MM10,Nursing Care MH,7032.64
