Newcastle City Council Invoices over £250 paid in October 2019,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
People,Adult Social Care,Revenue Expenditure,15/10/2019,18 SEA VIEW VILLAS,7890577,revenue,1MK34,Shared Lives - Adult LD,1600
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,10/10/2019,A&J KEITH LTD,7887978,revenue,1KBRM,Sub Contractors R & M,266376.05
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,21/10/2019,A&J KEITH LTD,7895779,revenue,1KR20,M&E Electrical,243564.79
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,04/10/2019,A&J KEITH LTD,7883012,revenue,1KVWC,Minor Works Contracts,53989.56
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,21/10/2019,A&J KEITH LTD,7895779,revenue,1KR10,Voids,23289.05
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,10/10/2019,A&J KEITH LTD,7887977,revenue,1KBRM,Sub Contractors R & M,20140.79
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,21/10/2019,A&J KEITH LTD,7895779,revenue,1KR21,M&E Gas Servicing,19663
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,04/10/2019,A&J KEITH LTD,7883009,revenue,1KVWC,Minor Works Contracts,10528
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,15/10/2019,A&J KEITH LTD,7890858,revenue,1KVEE,Electrical Stand Alone Works,2330
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,15/10/2019,A&J KEITH LTD,7890875,revenue,1KVEE,Electrical Stand Alone Works,2220
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,15/10/2019,A&J KEITH LTD,7890877,revenue,1KVEE,Electrical Stand Alone Works,1525
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,15/10/2019,A&J KEITH LTD,7890879,revenue,1KVEE,Electrical Stand Alone Works,1120
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,15/10/2019,A&J KEITH LTD,7890864,revenue,1KVEE,Electrical Stand Alone Works,345
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,15/10/2019,A&J KEITH LTD,7890868,revenue,1KVEE,Electrical Stand Alone Works,299
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,15/10/2019,A&J KEITH LTD,7890873,revenue,1KVEE,Electrical Stand Alone Works,287.5
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,15/10/2019,A&J KEITH LTD,7890861,revenue,1KVEE,Electrical Stand Alone Works,253
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,08/10/2019,A&S LOCKSMITHS,7859527,revenue,1KVWC,Minor Works Contracts,908.68
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,04/10/2019,A&S LOCKSMITHS,7869776,revenue,1KVWC,Minor Works Contracts,320
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,08/10/2019,A&S LOCKSMITHS,7860702,revenue,1KVWC,Minor Works Contracts,257.56
Place,Commercial Dev & Property,Revenue Expenditure,25/10/2019,A&S LOCKSMITHS,7898732,revenue,1DY50,Misc Corporate Estates,616.2
Place,Commercial Dev & Property,Revenue Expenditure,25/10/2019,A&S LOCKSMITHS,7898737,revenue,1DV03,Old Eldon Square,256.89
Assistant Chief Executive,Communication Services,Revenue Expenditure,18/10/2019,AA GLOBAL LANGUAGES SERVICES LTD,7892759,revenue,1FT08,Translation Unit,365
Assistant Chief Executive,Communication Services,Revenue Expenditure,04/10/2019,AA GLOBAL LANGUAGES SERVICES LTD,7882473,revenue,1FT08,Translation Unit,50
People,Adult Social Care,Revenue Expenditure,21/10/2019,AA GLOBAL LANGUAGES SERVICES LTD,7894052,revenue,1MK0A,Learning Disability & Autism,415
People,Adult Social Care,Revenue Expenditure,04/10/2019,AA GLOBAL LANGUAGES SERVICES LTD,7882473,revenue,1MR02,Financial Management Info,40
People,Children's Social Care,Revenue Expenditure,21/10/2019,AA GLOBAL LANGUAGES SERVICES LTD,7894052,revenue,1MD68,Legal Fees Care,2635
People,Children's Social Care,Revenue Expenditure,18/10/2019,AA GLOBAL LANGUAGES SERVICES LTD,7892759,revenue,1MD68,Legal Fees Care,1562
People,Children's Social Care,Revenue Expenditure,04/10/2019,AA GLOBAL LANGUAGES SERVICES LTD,7882473,revenue,1MD67,S17 Children in Need,437
People,Children's Social Care,Revenue Expenditure,18/10/2019,AA GLOBAL LANGUAGES SERVICES LTD,7892759,revenue,1MD67,S17 Children in Need,398
People,Children's Social Care,Revenue Expenditure,21/10/2019,AA GLOBAL LANGUAGES SERVICES LTD,7894052,revenue,1MD67,S17 Children in Need,90
People,Children's Social Care,Revenue Expenditure,21/10/2019,AA GLOBAL LANGUAGES SERVICES LTD,7894052,revenue,1MB04,Childrens Standards Unit,50
People,Children's Social Care,Revenue Expenditure,04/10/2019,AA GLOBAL LANGUAGES SERVICES LTD,7882473,revenue,1MD68,Legal Fees Care,25
Operations & Regulatory Services ,Operations,Revenue Expenditure,11/10/2019,AAA CHEMICALS LTD,7888971,revenue,3KES1,Fleetmaster Stores Account,968
Operations & Regulatory Services ,Operations,Revenue Expenditure,11/10/2019,AAA CHEMICALS LTD,7888906,revenue,3KES1,Fleetmaster Stores Account,726
People,Adult Social Care,Revenue Expenditure,29/10/2019,ABBEYFIELD CASTLE FARM,7900484,revenue,1MG20,Residential Care OP,7511.52
People,Adult Social Care,Revenue Expenditure,01/10/2019,ABBEYFIELD CASTLE FARM,7879519,revenue,1MG20,Residential Care OP,7511.52
