Newcastle City Council Invoices over 250 paid in August 2018
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,E & R School Meals,Revenue Expenditure,2018-08-20,3663,7578866,Revenue,1KF07,Banqueting Suite,302.98
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2018-08-21,18 SEA VIEW VILLAS,7581897,Revenue,1MK34,Shared Lives - Adult LD,1540.00
Environment & Regeneration,Cityworks Clean E/C,Revenue Expenditure,2018-08-17,A & C WEBER UK,7580046,Revenue,1KE42,Trade Waste Collections,1007.76
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-08-03,A&J KEITH LTD,7568789,Revenue,1KVWC,Minor Works Contracts,7109.16
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-08-03,A&J KEITH LTD,7568790,Revenue,1KVWC,Minor Works Contracts,34090.00
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2018-08-07,A&J KEITH LTD,7570904,Revenue,1KBRM,Sub Contractors R & M,6562.05
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2018-08-08,A&J KEITH LTD,7572670,Revenue,1KBRM,Sub Contractors R & M,116510.51
Environment & Regeneration,Cityworks Rangers,Revenue Expenditure,2018-08-14,A&S LOCKSMITHS,7577281,Revenue,1KL6A,Rangers Development Budget,353.46
Environment & Regeneration,Cityworks Rangers,Revenue Expenditure,2018-08-06,A&S LOCKSMITHS,7498065,Revenue,1KL6F,General Expenditure - East,699.20
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2018-08-13,AA GLOBAL LANGUAGES SERVICES LTD,7575903,Revenue,1CR01,Revs and Bens Supp&Svs,243.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2018-08-13,AA GLOBAL LANGUAGES SERVICES LTD,7575903,Revenue,1MF10,Adoption Payments,205.00
