Newcastle City Council Invoices over 250 paid in March 2018
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Chief Executive's,CD - Legal Services,Revenue Expenditure,2018-03-13,11KBW (CONFERENCES),7456719,Revenue,1FG52,North of Tyne Devolution Deal,2550.00
Chief Executive's,CD - Legal Services,Revenue Expenditure,2018-03-13,11KBW (CONFERENCES),7457124,Revenue,1FG52,North of Tyne Devolution Deal,2850.00
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2018-03-06,18 SEA VIEW VILLAS,7450734,Revenue,1MK34,Shared Lives - Adult LD,1540.00
Chief Executive's,Newcastle City,Revenue Expenditure,2018-03-02,1ST DINNINGTON SCOUT GROUP,7448971,Revenue,1KN40,Castle Ward,850.00
Environment & Regeneration,Blacksmiths,Revenue Expenditure,2018-03-14,A S PNEUMATICS,7458309,Revenue,1KENB,Fleet Workshops OH,317.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-03-29,A&J KEITH LTD,7465209,Revenue,1KR20,M&E Electrical,704.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-03-29,A&J KEITH LTD,7465214,Revenue,1KR20,M&E Electrical,704.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-03-29,A&J KEITH LTD,7465206,Revenue,1KR20,M&E Electrical,704.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-03-29,A&J KEITH LTD,7465207,Revenue,1KR20,M&E Electrical,624.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-03-21,A&J KEITH LTD,7465213,Revenue,1KR20,M&E Electrical,624.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-03-21,A&J KEITH LTD,7465194,Revenue,1KR20,M&E Electrical,834.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-03-21,A&J KEITH LTD,7465203,Revenue,1KR20,M&E Electrical,704.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-03-21,A&J KEITH LTD,7465193,Revenue,1KR20,M&E Electrical,704.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-03-21,A&J KEITH LTD,7465210,Revenue,1KR20,M&E Electrical,624.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-03-21,A&J KEITH LTD,7465195,Revenue,1KR20,M&E Electrical,704.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-03-21,A&J KEITH LTD,7465208,Revenue,1KR20,M&E Electrical,704.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-03-21,A&J KEITH LTD,7465205,Revenue,1KR20,M&E Electrical,704.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-03-02,A&J KEITH LTD,7441963,Revenue,1KVEE,Electrical Stand Alone Works,915.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-03-23,A&J KEITH LTD,7465215,Revenue,1KR20,M&E Electrical,704.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-03-28,A&J KEITH LTD,7471718,Revenue,1KVWC,Minor Works Contracts,8841.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2018-03-28,A&J KEITH LTD,7471717,Revenue,1KVWC,Minor Works Contracts,29555.00
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2018-03-13,A&J KEITH LTD,7456771,Revenue,1KBRM,Sub Contractors R & M,11036.75
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2018-03-16,A&J KEITH LTD,7460216,Revenue,1KBRM,Sub Contractors R & M,184684.95
Environment & Regeneration,Cityworks Parks & C/side,Revenue Expenditure,2018-03-05,A&S LOCKSMITHS,7420069,Revenue,1KL61,Parks R&M,474.36
Environment & Regeneration,NS: Asset Man,Revenue Expenditure,2018-03-01,A&S LOCKSMITHS,7432621,Revenue,1DE46,i2- Byker NEC,345.56
Environment & Regeneration,NS: Asset Man,Revenue Expenditure,2018-03-20,A&S LOCKSMITHS,7444007,Revenue,1MC05,Slatyford Lane Childrens Unit,661.03
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2018-03-26,AA GLOBAL LANGUAGES SERVICES LTD,7465822,Revenue,1CR01,Revs and Bens Supp&Svs,320.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2018-03-26,AA GLOBAL LANGUAGES SERVICES LTD,7465822,Revenue,1MD67,S17 Children in Need,535.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2018-03-26,AA GLOBAL LANGUAGES SERVICES LTD,7465822,Revenue,1MK0A,Learning Disability & Autism,70.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2018-03-26,AA GLOBAL LANGUAGES SERVICES LTD,7465822,Revenue,1FT08,Translation Unit,210.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2018-03-12,AA GLOBAL LANGUAGES SERVICES LTD,7450119,Revenue,1CR01,Revs and Bens Supp&Svs,60.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2018-03-12,AA GLOBAL LANGUAGES SERVICES LTD,7450119,Revenue,1MD67,S17 Children in Need,756.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2018-03-12,AA GLOBAL LANGUAGES SERVICES LTD,7450119,Revenue,1E320,SEND APR Team,515.00
HRA,HRA Planning QS,Capital Expenditure,2018-03-29,AARAN BUILDERS (NE) LTD,7461299,Capital,2HE01,Capital Citywide,10478.00
HRA,HRA Property Maint,Revenue Expenditure,2018-03-20,AARAN BUILDERS (NE) LTD,7451950,Revenue,1HBTC,Planned Tech Maintenance,2518.00
HRA,HRA Property Maint,Revenue Expenditure,2018-03-20,AARAN BUILDERS (NE) LTD,7452001,Revenue,1HBTC,Planned Tech Maintenance,692.00
