Newcastle City Council Invoices over £250 paid in June 2018,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,26-Jun-2018,18 SEA VIEW VILLAS,7538517,Revenue,1MK34,Shared Lives - Adult LD,1540.00
Adult and Culture,Libraries/Galaxy Payments              ,Revenue Expenditure,01-Jun-2018,220 SOFT LIMITED,7520449,Revenue,1EJ13,Stock Services,600.00
Chief Executive's,CD - SPAM Trading Account        ,Revenue Expenditure,01-Jun-2018,A T F RETAIL LTD,7517934,Revenue,1HFID,HRA Investment Delivery Gen.,260.00
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,28-Jun-2018,A WILDERNESS WAY,7540867,Revenue,1MC02,Ind Sector Placements,48797.86
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,08-Jun-2018,A&J KEITH LTD,7525745,Revenue,1KVWC,Minor Works Contracts,10727.50
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,08-Jun-2018,A&J KEITH LTD,7525750,Revenue,1KVWC,Minor Works Contracts,13659.70
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,08-Jun-2018,A&J KEITH LTD,7525734,Revenue,1KVWC,Minor Works Contracts,5564.90
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,08-Jun-2018,A&J KEITH LTD,7525748,Revenue,1KVWC,Minor Works Contracts,25900.00
Environment & Regeneration,NS: D&CS Support Services  ,Revenue Expenditure,12-Jun-2018,A&J KEITH LTD,7527847,Revenue,1KBRM,Sub Contractors R & M,181180.17
Environment & Regeneration,NS: D&CS Support Services  ,Revenue Expenditure,12-Jun-2018,A&J KEITH LTD,7527853,Revenue,1KBRM,Sub Contractors R & M,25848.20
Environment & Regeneration,NS: D&CS Support Services  ,Revenue Expenditure,21-Jun-2018,A&J KEITH LTD,7520016,Revenue,1KVEE,Electrical Stand Alone Works,700.00
Environment & Regeneration,NS: Repairs & Maintenance  ,Revenue Expenditure,14-Jun-2018,A&J KEITH LTD,7514262,Revenue,1KVEE,Electrical Stand Alone Works,350.00
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,01-Jun-2018,A&S LOCKSMITHS,7520770,Revenue,1V075,Guildhall,266.28
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,01-Jun-2018,A&S LOCKSMITHS,7520769,Revenue,1DR03,Grainger Market,334.86
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,19-Jun-2018,A&S LOCKSMITHS,7482216,Revenue,1KVWC,Minor Works Contracts,301.00
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,07-Jun-2018,AA GLOBAL LANGUAGES SERVICES LTD,7519517,Revenue,1MF10,Adoption Payments,45.00
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,07-Jun-2018,AA GLOBAL LANGUAGES SERVICES LTD,7519517,Revenue,1MD62,Support to LAC,560.00
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,07-Jun-2018,AA GLOBAL LANGUAGES SERVICES LTD,7519517,Revenue,1FT08,Translation Unit,73.00
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,07-Jun-2018,AA GLOBAL LANGUAGES SERVICES LTD,7519517,Revenue,1E320,SEND APR Team,277.00
Environment & Regeneration,Fleet Management System                ,Revenue Expenditure,11-Jun-2018,AAA CHEMICALS LTD,7518526,Revenue,3KES1,Fleetmaster Stores Account,726.00
Children's Services,Invoice,Revenue Expenditure,27-Jun-2018,AALCO NEWCASTLE,7531035,Revenue,1KVWC,Minor Works Contracts,329.99
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,28-Jun-2018,AALCO NEWCASTLE,7540043,Revenue,1KVWC,Minor Works Contracts,484.80
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,26-Jun-2018,AALCO NEWCASTLE,7524897,Revenue,1KVWC,Minor Works Contracts,1360.19
HRA,HRA Property Maint         ,Revenue Expenditure,04-Jun-2018,AARAN BUILDERS (NE) LTD,7511001,Revenue,1HBTC,Planned Tech Maintenance,3892.00
Adult and Culture,AS - Westgate AE           ,Revenue Expenditure,21-Jun-2018,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,7533749,Revenue,1EA15,Newcastle City Learning Main,516.00
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,12-Jun-2018,ABBEYFIELD CASTLE FARM,7528433,Revenue,1MG20,Residential Care OP,7111.08
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,12-Jun-2018,ABBEYFIELD THE GROVE,7528420,Revenue,1MG20,Residential Care OP,4740.72
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,12-Jun-2018,ABBEYMOOR LIFEWAYS,7528496,Revenue,1MH10,Nursing Care PD,5176.64
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,12-Jun-2018,ABBEYMOOR LIFEWAYS,7528496,Revenue,1MM10,Nursing Care MH,10392.64
Adult and Culture,Social Services-Carefirst              ,Revenue Income,12-Jun-2018,ABBEYMOOR LIFEWAYS,7528496,Revenue,1MH10,Nursing Care PD,-343.40
Adult and Culture,Social Services-Carefirst              ,Long Term Assets,12-Jun-2018,ABBEYMOOR LIFEWAYS,7528496,Revenue,4WX13,Ind Sector Client Loan Fund,751.08
Chief Executive's,Audit Insurance & Risk  ,Revenue Expenditure,25-Jun-2018,ABNEY GARSDEN SOLICITORS,7537832,Revenue,1RB03,Insurance Provision,27500.00
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,05-Jun-2018,ABSOLUTE QUALITY CARE,7522082,Revenue,1MG50,Home Care-Spot Purchased OP,19595.89
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,05-Jun-2018,ABSOLUTE QUALITY CARE,7522082,Revenue,1MG51,Home Care-Personal OP,3642.42
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,05-Jun-2018,ABSOLUTE QUALITY CARE,7522082,Revenue,1MH50,Home Care PD,10402.50
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,05-Jun-2018,ABSOLUTE QUALITY CARE,7522082,Revenue,1MM50,Home Care MH,379.60
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,05-Jun-2018,ABSOLUTE QUALITY CARE,7522034,Revenue,1MK50,Supported Living LD,1897.36
