Newcastle City Council Invoices over £250 paid in April 2018,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,E & R School Meals                     ,Revenue Expenditure,11-Apr-2018,3663,7471575,Revenue,1KF07,Banqueting Suite,731.11
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,03-Apr-2018,18 SEA VIEW VILLAS,7473804,Revenue,1MK34,Shared Lives - Adult LD,1540.00
Adult and Culture,Library Admin              ,Revenue Expenditure,16-Apr-2018,2CQR LTD,7477464,Revenue,1EJ12,ICT,750.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,20-Apr-2018,A&J KEITH LTD,7472767,Revenue,1KVEE,Electrical Stand Alone Works,815.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,05-Apr-2018,A&J KEITH LTD,7465216,Revenue,1KR20,M&E Electrical,704.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,05-Apr-2018,A&J KEITH LTD,7465218,Revenue,1KR20,M&E Electrical,704.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,10-Apr-2018,A&J KEITH LTD,7479513,Revenue,1KVWC,Minor Works Contracts,13009.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,10-Apr-2018,A&J KEITH LTD,7479514,Revenue,1KVWC,Minor Works Contracts,5811.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,10-Apr-2018,A&J KEITH LTD,7479516,Revenue,1KVWC,Minor Works Contracts,3700.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,03-Apr-2018,A&J KEITH LTD,7465219,Revenue,1KR20,M&E Electrical,754.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,03-Apr-2018,A&J KEITH LTD,7465221,Revenue,1KR20,M&E Electrical,754.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,04-Apr-2018,A&J KEITH LTD,7465204,Revenue,1KR20,M&E Electrical,704.00
Environment & Regeneration,NS: D&CS Support Services  ,Revenue Expenditure,10-Apr-2018,A&J KEITH LTD,7479512,Revenue,1KBRM,Sub Contractors R & M,158530.63
Environment & Regeneration,NS: D&CS Support Services  ,Revenue Expenditure,10-Apr-2018,A&J KEITH LTD,7479520,Revenue,1KBRM,Sub Contractors R & M,6762.05
Environment & Regeneration,NS: Repairs & Maintenance  ,Revenue Expenditure,24-Apr-2018,A&J KEITH LTD,7473559,Revenue,1KR20,M&E Electrical,624.00
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,06-Apr-2018,A&S LOCKSMITHS,7473936,Revenue,1EPYH,Mill Lane Youth Centre,489.56
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,27-Apr-2018,AA GLOBAL LANGUAGES SERVICES LTD,7489225,Revenue,1CR01,Revs and Bens Supp&Svs,145.00
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,27-Apr-2018,AA GLOBAL LANGUAGES SERVICES LTD,7489225,Revenue,1FA51,Coroner,165.00
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,27-Apr-2018,AA GLOBAL LANGUAGES SERVICES LTD,7489225,Revenue,1VH26,Housing Advice Centre,30.00
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,27-Apr-2018,AA GLOBAL LANGUAGES SERVICES LTD,7489225,Revenue,1MD67,S17 Children in Need,785.00
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,27-Apr-2018,AA GLOBAL LANGUAGES SERVICES LTD,7489225,Revenue,1FT08,Translation Unit,1872.00
Environment & Regeneration,Fleet Management System                ,Revenue Expenditure,18-Apr-2018,AAA CHEMICALS LTD,7486165,Revenue,3KES1,Fleetmaster Stores Account,726.00
Environment & Regeneration,Fleet Management System                ,Revenue Expenditure,18-Apr-2018,AAA CHEMICALS LTD,7486166,Revenue,3KES1,Fleetmaster Stores Account,726.00
Children's Services,Walbottle Campus Secon/High School     ,Revenue Expenditure,10-Apr-2018,ABACUS,7466145,Revenue,1E877,Walbottle Leisure,5218.71
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,17-Apr-2018,ABBEYFIELD CASTLE FARM,7485351,Revenue,1MG20,Residential Care OP,17122.03
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,17-Apr-2018,ABBEYFIELD THE GROVE,7485341,Revenue,1MG20,Residential Care OP,2249.44
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,17-Apr-2018,ABBEYFIELD THE GROVE,7485342,Revenue,1MG20,Residential Care OP,2249.44
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,17-Apr-2018,ABBEYMOOR LIFEWAYS,7485399,Revenue,1MG10,Nursing Care OP,-94.37
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,17-Apr-2018,ABBEYMOOR LIFEWAYS,7485399,Revenue,1MH10,Nursing Care PD,5173.97
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,17-Apr-2018,ABBEYMOOR LIFEWAYS,7485399,Revenue,1MM10,Nursing Care MH,7989.97
Adult and Culture,Social Services-Carefirst              ,Revenue Income,17-Apr-2018,ABBEYMOOR LIFEWAYS,7485399,Revenue,1MH10,Nursing Care PD,-341.20
Adult and Culture,Social Services-Carefirst              ,Long Term Assets,17-Apr-2018,ABBEYMOOR LIFEWAYS,7485399,Revenue,4WX13,Ind Sector Client Loan Fund,751.08
Environment & Regeneration,CW School Security                     ,Revenue Expenditure,11-Apr-2018,ABEL ALARM COMPANY LTD,7480952,Revenue,1KJ94,Security Services Delegated,455.00
Environment & Regeneration,CW School Security                     ,Revenue Expenditure,11-Apr-2018,ABEL ALARM COMPANY LTD,7480894,Revenue,1KJ94,Security Services Delegated,592.00
Environment & Regeneration,CW School Security                     ,Revenue Expenditure,11-Apr-2018,ABEL ALARM COMPANY LTD,7480888,Revenue,1KJ94,Security Services Delegated,503.00
Environment & Regeneration,CW School Security                     ,Revenue Expenditure,11-Apr-2018,ABEL ALARM COMPANY LTD,7480887,Revenue,1KJ94,Security Services Delegated,503.00
Environment & Regeneration,CW School Security                     ,Revenue Expenditure,11-Apr-2018,ABEL ALARM COMPANY LTD,7480884,Revenue,1KJ94,Security Services Delegated,587.00
Environment & Regeneration,CW School Security                     ,Revenue Expenditure,11-Apr-2018,ABEL ALARM COMPANY LTD,7480985,Revenue,1KJ94,Security Services Delegated,278.00
Environment & Regeneration,CW School Security                     ,Revenue Expenditure,11-Apr-2018,ABEL ALARM COMPANY LTD,7480951,Revenue,1KJ94,Security Services Delegated,324.00
Environment & Regeneration,CW School Security                     ,Revenue Expenditure,11-Apr-2018,ABEL ALARM COMPANY LTD,7480878,Revenue,1KJ94,Security Services Delegated,424.00
