Newcastle City Council Invoices over £250 paid in December 2019,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,19/12/2019,Redacted Personal Data,7939843,revenue,1MK40,Direct Payments LD,741.84
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,19/12/2019,Redacted Personal Data,7939738,revenue,1MK40,Direct Payments LD,688.12
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,19/12/2019,Redacted Personal Data,7939768,revenue,1MG40,Direct Payments OP,1350
ASC & Integrated Services,Adult Social Care,Revenue Income,19/12/2019,Redacted Personal Data,7939768,revenue,1MG40,Direct Payments OP,-314.2
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,19/12/2019,Redacted Personal Data,7939586,revenue,1MK40,Direct Payments LD,12048.76
ASC & Integrated Services,Adult Social Care,Revenue Income,19/12/2019,Redacted Personal Data,7939586,revenue,1MK40,Direct Payments LD,-5.4
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,19/12/2019,Redacted Personal Data,7939497,revenue,1MH40,Direct Payments PD,2900
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,19/12/2019,Redacted Personal Data,7939501,revenue,1MK40,Direct Payments LD,1362.52
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,19/12/2019,Redacted Personal Data,7939672,revenue,1MK40,Direct Payments LD,1281.84
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,19/12/2019,Redacted Personal Data,7939753,revenue,1MK40,Direct Payments LD,844.8
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,19/12/2019,Redacted Personal Data,7939757,revenue,1MH40,Direct Payments PD,10255.32
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,10/12/2019,Redacted Personal Data,7932076,revenue,1MK34,Shared Lives - Adult LD,1600
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,19/12/2019,Redacted Personal Data,7939581,revenue,1MG40,Direct Payments OP,1100
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,11/12/2019,Redacted Personal Data,7933100,revenue,1MG43,Carers Support Payments OP,1504
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,19/12/2019,Redacted Personal Data,7939654,revenue,1MK40,Direct Payments LD,308
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,19/12/2019,Redacted Personal Data,7939611,revenue,1MK40,Direct Payments LD,9924.6
