Newcastle City Council Invoices over 250 paid in February 2017
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Adult and Culture,Adult Serv Admin Support,Revenue Expenditure,2017-02-13,BRIAR DENE KENNELS,7144858,Revenue,1MM01,Assess & Care Management MH,314.00
Adult and Culture,Adult Serv Admin Support,Revenue Expenditure,2017-02-03,DURHAM BUSINESSWEAR LTD,7138024,Revenue,1MX06,Community Reablement,445.50
Adult and Culture,Adult Serv Admin Support,Revenue Expenditure,2017-02-06,LTC HEALTHCARE,7123781,Revenue,1MP12,MESMAC,546.00
Adult and Culture,Adult Serv Admin Support,Revenue Expenditure,2017-02-09,PUBLIC HEALTH ENGLAND,7142692,Revenue,1MP12,MESMAC,362.08
Adult and Culture,Adult Serv Admin Support,Revenue Expenditure,2017-02-07,PUBLIC HEALTH ENGLAND,7140433,Revenue,1MP12,MESMAC,580.30
Adult and Culture,Adult Serv Admin Support,Revenue Expenditure,2017-02-07,PUBLIC HEALTH ENGLAND,7140424,Revenue,1MP12,MESMAC,522.00
Adult and Culture,Adult Serv Admin Support,Revenue Expenditure,2017-02-07,PUBLIC HEALTH ENGLAND,7140428,Revenue,1MP12,MESMAC,522.00
Adult and Culture,Adult Serv Admin Support,Revenue Expenditure,2017-02-08,PUBLIC HEALTH ENGLAND,7141995,Revenue,1MP12,MESMAC,522.00
Adult and Culture,Adult Serv Apprenticeship Plus,Revenue Expenditure,2017-02-24,BLAKELAW WARD COMMUINTY PARTNERSHIP,7139757,Revenue,1EA56,Wellbeing Fund,409.58
Adult and Culture,Adult Serv Apprenticeship Plus,Revenue Expenditure,2017-02-03,BLAKELAW WARD COMMUINTY PARTNERSHIP,7122828,Revenue,1EA56,Wellbeing Fund,409.58
Adult and Culture,Adult Serv Apprenticeship Plus,Revenue Expenditure,2017-02-23,REVOLUTION MARKETING UK LTD,7135893,Revenue,1EA15,Newcastle City Learning Main,2082.92
Adult and Culture,Adult Serv Apprenticeship Plus,Revenue Expenditure,2017-02-08,REVOLUTION MARKETING UK LTD,7142154,Revenue,1EA15,Newcastle City Learning Main,2082.92
Adult and Culture,Adult Serv Capability's,Revenue Expenditure,2017-02-15,GUSTHARTS,7147231,Revenue,1MW02,Nature's Landscape,490.98
Adult and Culture,Adult Serv Capability's,Revenue Expenditure,2017-02-20,SPECIALISED MAINTENANCE SYSTEMS LTD,7150978,Revenue,1MW02,Nature's Landscape,618.90
Adult and Culture,Adult Serv Castledene,Revenue Expenditure,2017-02-09,AAT (GB) LTD,7127494,Revenue,1MK21,Castle Dene Resource Centre LD,1369.00
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-16,BLUE LINE TAXIS,7148833,Revenue,1MK60,Ind Day Care LD,314.20
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-16,CHILDREN & FAMILIES ACROSS BORDERS,7148296,Revenue,1MB14,Social Care Strategic Mngment,2500.00
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-10,COMSET LTD,7128292,Revenue,1MR08,AD of Adult Social Care,13387.00
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-14,DAVID JOHNSON TAXIS,7144821,Revenue,1MK60,Ind Day Care LD,1659.00
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-06,DRAEGER LTD,7111450,Revenue,1ML09,PH - Drugs and alcohol,492.00
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-03,DRAEGER LTD,7112682,Revenue,1ML09,PH - Drugs and alcohol,585.00
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-07,DRAEGER LTD,7140694,Revenue,1ML09,PH - Drugs and alcohol,492.00
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-24,HAMPTONS RESOURCING LTD,7141145,Revenue,1MB14,Social Care Strategic Mngment,6117.68
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-16,HAMPTONS RESOURCING LTD,7148268,Revenue,1MB14,Social Care Strategic Mngment,2294.13
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-27,INGSON LTD,7148228,Revenue,1MB14,Social Care Strategic Mngment,5621.00
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-16,INGSON LTD,7148226,Revenue,1MB14,Social Care Strategic Mngment,10620.59
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-22,Redacted Personal Data,7154232,Revenue,1E317,Education Management,6926.50
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-22,Redacted Personal Data,7154233,Revenue,1E317,Education Management,6503.50
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-23,KEY ENTERPRISES (1983) LTD,7147584,Revenue,1MH60,Day Care PD,1661.16
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-23,KEY ENTERPRISES (1983) LTD,7147583,Revenue,1MK60,Ind Day Care LD,251.76
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-23,KEY ENTERPRISES (1983) LTD,7147583,Revenue,1MH60,Day Care PD,1351.76
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-23,KEY ENTERPRISES (1983) LTD,7147580,Revenue,1MK60,Ind Day Care LD,1440.00
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-15,KEY ENTERPRISES (1983) LTD,7147376,Revenue,1MH60,Day Care PD,1661.16
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-15,KEY ENTERPRISES (1983) LTD,7147579,Revenue,1MH60,Day Care PD,1603.52
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-15,KEY ENTERPRISES (1983) LTD,7147578,Revenue,1MK60,Ind Day Care LD,1920.00
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-24,LA TAXIS,7150819,Revenue,1MK60,Ind Day Care LD,1350.00
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-03,LA TAXIS,7132241,Revenue,1MK60,Ind Day Care LD,1350.00
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-20,LA TAXIS,7150876,Revenue,1MK60,Ind Day Care LD,1351.00
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-10,LA TAXIS,7139145,Revenue,1MK60,Ind Day Care LD,1350.00
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-17,Redacted Personal Data,7131022,Revenue,1MB14,Social Care Strategic Mngment,2307.75
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-06,NEWCASTLE ON TYNE HOSPITALS NHS TRUST,7140053,Revenue,1MG70,Equipt & Adaptations OP,1235.09
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-06,NEWCASTLE ON TYNE HOSPITALS NHS TRUST,7140055,Revenue,1MG70,Equipt & Adaptations OP,639.58
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-24,NODA TAXIS LTD,7155129,Revenue,1MK60,Ind Day Care LD,302.00
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-16,NODA TAXIS LTD,7148990,Revenue,1MG60,Day Care OP,255.60
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-27,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),7157946,Revenue,1MK60,Ind Day Care LD,3058.25
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-13,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),7145080,Revenue,1MK60,Ind Day Care LD,1976.32
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-13,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),7145079,Revenue,1MK60,Ind Day Care LD,2538.48
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-13,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),7145082,Revenue,1MK60,Ind Day Care LD,3660.80
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-13,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),7145081,Revenue,1MK60,Ind Day Care LD,2745.60
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-22,RUTH JENKINS CONSULTANCY LTD,7142856,Revenue,1MB14,Social Care Strategic Mngment,1350.00
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-10,RUTH JENKINS CONSULTANCY LTD,7142853,Revenue,1MB14,Social Care Strategic Mngment,1575.00
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-16,RUTH JENKINS CONSULTANCY LTD,7142854,Revenue,1MB14,Social Care Strategic Mngment,1350.00
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-09,SERVICE DIRECT,7140517,Revenue,1MG70,Equipt & Adaptations OP,5180.63
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-07,SERVICE DIRECT,7140516,Revenue,1MG70,Equipt & Adaptations OP,7722.75
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-03,STATEX PRESS NORTHERN LTD,7137817,Revenue,1MG54,Carers Support Staffing,339.00
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-02,VIV HOGG CONSULTANCY LTD,7137762,Revenue,1MB14,Social Care Strategic Mngment,8250.00
Adult and Culture,Adult Serv Finance,Revenue Expenditure,2017-02-22,YOUTH FOCUS NORTH EAST,7077056,Revenue,1MG98,Business Improve & Proj Mgmnt,2510.00
Adult and Culture,Adult Serv Welf,Revenue Expenditure,2017-02-09,BOB CROSBY AGENCIES LTD,7135984,Revenue,1MX01,Welford Resource Centre LD,378.00
Adult and Culture,Adult Serv-Arts & Cul,Revenue Expenditure,2017-02-06,BARE TOED CO,7139678,Revenue,1DF16,Arts/Dance Connect,1731.53
Adult and Culture,Adult Serv-Arts & Cul,Revenue Expenditure,2017-02-03,BARE TOED CO,7125579,Revenue,1DF21,Winter Carnival Arts Dev,1000.00
Adult and Culture,Adult Serv-Arts & Cul,Revenue Expenditure,2017-02-09,BUZZ THEATRE ARTS,7125562,Revenue,1DF17,Community Carnival Development,1300.00
Adult and Culture,Adult Serv-Arts & Cul,Revenue Expenditure,2017-02-13,Redacted Personal Data,7127815,Revenue,1DF05,Ryehill Residency,500.00
Adult and Culture,Adult Serv-Arts & Cul,Revenue Expenditure,2017-02-17,SALLY SOUTHERN,7149746,Revenue,1DF07,Newbiggin Hall Residency,800.00
Adult and Culture,AS - Westgate AE,Revenue Expenditure,2017-02-28,ASDAN LTD,7158875,Revenue,1EA15,Newcastle City Learning Main,838.50
Adult and Culture,AS - Westgate AE,Revenue Expenditure,2017-02-28,ASDAN LTD,7158876,Revenue,1EA15,Newcastle City Learning Main,698.75
Adult and Culture,AS - Westgate AE,Revenue Expenditure,2017-02-08,AUTOBAR (TRADING AS BUNZL VENDING,7141576,Revenue,1EA15,Newcastle City Learning Main,260.00
Adult and Culture,AS - Westgate AE,Revenue Expenditure,2017-02-03,AUTOMATIC RETAILING VENDING,7137794,Revenue,1EA02,Gosforth ASB,299.46
Adult and Culture,AS - Westgate AE,Revenue Expenditure,2017-02-24,BOB CROSBY AGENCIES LTD,7147719,Revenue,1EA06,Westgate ASB,598.80
