Newcastle City Council Invoices over 250 paid in July 2017
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-07-25,18 SEA VIEW VILLAS,7275104,Revenue,1MK34,Shared Lives - Adult LD,1540.00
Environment & Regeneration,E & R School Meals,Revenue Expenditure,2017-07-25,3663,7268815,Revenue,1KF07,Banqueting Suite,320.14
Environment & Regeneration,Cityworks Clean E/C,Revenue Expenditure,2017-07-27,A & C WEBER UK,7277119,Revenue,1KE41,Domestic Refuse Collection,10969.60
Children's Services,Educ School Planning,Revenue Expenditure,2017-07-04,A HEATHERINGTON,7257784,Revenue,1MF01,16+ Team (YP),1014.00
Chief Executive's,CD - SPAM Trading Account,Revenue Expenditure,2017-07-05,A T F RETAIL LTD,7260294,Revenue,1DR16,11-15Clayton St&31-37NelsonSt,475.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2017-07-13,A&J KEITH LTD,7268180,Revenue,1KVWC,Minor Works Contracts,118262.00
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-07-18,A&J KEITH LTD,7271119,Revenue,1KBRM,Sub Contractors R & M,102566.93
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-07-18,A&J KEITH LTD,7271120,Revenue,1KBRM,Sub Contractors R & M,17950.82
Environment & Regeneration,Cityworks Parks & C/side,Revenue Expenditure,2017-07-18,A&S LOCKSMITHS,7271100,Revenue,1KL61,Parks R&M,362.35
Environment & Regeneration,Cityworks Parks & C/side,Revenue Expenditure,2017-07-18,A&S LOCKSMITHS,7271101,Revenue,1KL61,Parks R&M,390.91
Environment & Regeneration,Cityworks Rangers,Revenue Expenditure,2017-07-21,A&S LOCKSMITHS,7268670,Revenue,1KL6F,General Expenditure - East,273.24
Environment & Regeneration,NS: Asset Man,Revenue Expenditure,2017-07-06,A&S LOCKSMITHS,7261119,Revenue,1DE49,i4- Quayside NEC,416.24
Environment & Regeneration,NS: Asset Man,Revenue Expenditure,2017-07-11,A&S LOCKSMITHS,7266101,Revenue,1DT10,Riversdales Court Ind Est,515.76
Environment & Regeneration,NS: Asset Man,Revenue Expenditure,2017-07-11,A&S LOCKSMITHS,7266099,Revenue,1H5A2,Housing Shops Net Rent,420.61
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-07-27,AA GLOBAL LANGUAGES SERVICES LTD,7277068,Revenue,1CR01,Revs and Bens Supp&Svs,272.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-07-27,AA GLOBAL LANGUAGES SERVICES LTD,7277068,Revenue,1MD68,Legal Fees Care,25.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-07-27,AA GLOBAL LANGUAGES SERVICES LTD,7277068,Revenue,1MD62,Support to LAC,53.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-07-27,AA GLOBAL LANGUAGES SERVICES LTD,7277068,Revenue,1MG01,Care Management OP,270.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-07-27,AA GLOBAL LANGUAGES SERVICES LTD,7277068,Revenue,1MD67,S17 Children in Need,240.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-07-27,AA GLOBAL LANGUAGES SERVICES LTD,7277068,Revenue,1FT08,Translation Unit,515.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-07-27,AA GLOBAL LANGUAGES SERVICES LTD,7277068,Revenue,1MD91,SEN Reform Grant,3600.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-07-27,AA GLOBAL LANGUAGES SERVICES LTD,7277068,Revenue,1E320,Special Education Needs Admin,420.00
Environment & Regeneration,Fleet Management System,Revenue Expenditure,2017-07-04,AAA CHEMICALS LTD,7248862,Revenue,3KES1,Fleetmaster Stores Account,726.00
Adult and Culture,AS - Westgate AE,Revenue Expenditure,2017-07-28,AAETO,7275708,Revenue,1EA15,Newcastle City Learning Main,820.00
Environment & Regeneration,Cityworks Clean E/C,Revenue Expenditure,2017-07-18,AB TRAINING YORKSHIRE LTD,7270220,Revenue,1KEAR,Street Services Management,1640.00
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-07-11,ABBEYFIELD CASTLE FARM,7265939,Revenue,1MG20,Residential Care OP,4498.88
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-07-11,ABBEYFIELD THE GROVE,7265929,Revenue,1MG20,Residential Care OP,2249.44
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-07-11,ABBEYMOOR,7265940,Revenue,1MG10,Nursing Care OP,1200.00
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-07-11,ABBEYMOOR LIFEWAYS,7265990,Revenue,1MG10,Nursing Care OP,3020.20
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-07-11,ABBEYMOOR LIFEWAYS,7265990,Revenue,1MH10,Nursing Care PD,2044.20
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-07-11,ABBEYMOOR LIFEWAYS,7265990,Revenue,1MM10,Nursing Care MH,17793.71
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-07-11,ABBEYMOOR LIFEWAYS,7265989,Revenue,1MG10,Nursing Care OP,1200.00
Adult and Culture,Social Services-Carefirst,Revenue Income,2017-07-11,ABBEYMOOR LIFEWAYS,7265990,Revenue,1MM10,Nursing Care MH,793.84
Adult and Culture,Social Services-Carefirst,Long Term Assets,2017-07-11,ABBEYMOOR LIFEWAYS,7265990,Revenue,4WX13,Ind Sector Client Loan Fund,763.92
Environment & Regeneration,NS: Asset Man,Revenue Expenditure,2017-07-06,ABEL ALARM COMPANY LTD,7261279,Revenue,1KE27,Bereavement Services Overhead,455.00
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-07-04,ABSOLUTE QUALITY CARE,7257730,Revenue,1MG50,Home Care-Spot Purchased OP,19712.44
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-07-04,ABSOLUTE QUALITY CARE,7257730,Revenue,1MG51,Home Care-Personal OP,1091.10
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-07-04,ABSOLUTE QUALITY CARE,7257730,Revenue,1MH50,Home Care PD,9855.11
Children's Services,Educ School Planning,Revenue Expenditure,2017-07-06,ABSOLUTE QUALITY CARE,7258577,Revenue,1MD66,CWD Care Packages,1148.00
Environment & Regeneration,E&R Raising Participation,Revenue Expenditure,2017-07-31,ABSORB FITNESS,7279714,Revenue,1KLAA,"Comm Spt, Business & Research",395.00
Adult and Culture,Adult Serv Castledene,Revenue Expenditure,2017-07-19,ACCORA LTD,7271191,Revenue,1MK21,Castle Dene Resource Centre LD,1546.00
