Newcastle City Council Invoices over £250 paid in January 2018,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,E & R School Meals                     ,Revenue Expenditure,09-Jan-2018,3663,7404776,Revenue,1KF07,Banqueting Suite,529.98
Environment & Regeneration,E & R School Meals                     ,Revenue Expenditure,04-Jan-2018,3663,7402037,Revenue,1KF07,Banqueting Suite,1354.50
Environment & Regeneration,E & R School Meals                     ,Revenue Expenditure,04-Jan-2018,3663,7402040,Revenue,1KF07,Banqueting Suite,375.29
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,09-Jan-2018,18 SEA VIEW VILLAS,7404963,Revenue,1MK34,Shared Lives - Adult LD,1540.00
Environment & Regeneration,Cityworks Clean E/C        ,Revenue Expenditure,03-Jan-2018,A & C WEBER UK,7391448,Revenue,1KE41,Domestic Refuse Collection,10946.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,12-Jan-2018,A&J KEITH LTD,7408152,Revenue,1KVWC,Minor Works Contracts,2090.08
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,17-Jan-2018,A&J KEITH LTD,7412792,Revenue,1KVEE,Electrical Stand Alone Works,360.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,22-Jan-2018,A&J KEITH LTD,7411045,Revenue,1KVWC,Minor Works Contracts,2863.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,04-Jan-2018,A&J KEITH LTD,7402201,Revenue,1KVWC,Minor Works Contracts,18132.00
Environment & Regeneration,NS: D&CS Support Services  ,Revenue Expenditure,11-Jan-2018,A&J KEITH LTD,7407134,Revenue,1KBRM,Sub Contractors R & M,89278.65
Environment & Regeneration,NS: D&CS Support Services  ,Revenue Expenditure,11-Jan-2018,A&J KEITH LTD,7407135,Revenue,1KBRM,Sub Contractors R & M,2087.35
Children's Services,Invoice,Revenue Expenditure,24-Jan-2018,A&S LOCKSMITHS,7408301,Revenue,1DY50,Misc Corporate Estates,513.72
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,30-Jan-2018,A&S LOCKSMITHS,7418400,Revenue,1DQ99,S&M Management,1369.82
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,24-Jan-2018,AA GLOBAL LANGUAGES SERVICES LTD,7417953,Revenue,1CR01,Revs and Bens Supp&Svs,85.00
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,24-Jan-2018,AA GLOBAL LANGUAGES SERVICES LTD,7417953,Revenue,1MD66,CWD Care Packages,70.00
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,24-Jan-2018,AA GLOBAL LANGUAGES SERVICES LTD,7417953,Revenue,1MD67,S17 Children in Need,235.00
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,24-Jan-2018,AA GLOBAL LANGUAGES SERVICES LTD,7417955,Revenue,1CR01,Revs and Bens Supp&Svs,55.00
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,24-Jan-2018,AA GLOBAL LANGUAGES SERVICES LTD,7417955,Revenue,1MD67,S17 Children in Need,227.00
