Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Children's Services,Invoice,Revenue Expenditure,2017-11-15,3663,7363301,Revenue,1KF07,Banqueting Suite,566.82
Environment & Regeneration,E & R School Meals,Revenue Expenditure,2017-11-27,3663,7373935,Revenue,1KF07,Banqueting Suite,418.12
Environment & Regeneration,E & R School Meals,Revenue Expenditure,2017-11-08,3663,7357329,Revenue,1KF07,Banqueting Suite,873.78
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-11-14,18 SEA VIEW VILLAS,7364186,Revenue,1MK34,Shared Lives - Adult LD,1540.00
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-11-27,Redacted Personal Data,7373884,Revenue,1MK40,Direct Payments LD,741.84
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-11-27,Redacted Personal Data,7373432,Revenue,1MK40,Direct Payments LD,688.12
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-11-27,Redacted Personal Data,7373469,Revenue,1MG40,Direct Payments OP,1155.60
Adult and Culture,Social Services-Carefirst,Revenue Income,2017-11-27,Redacted Personal Data,7373469,Revenue,1MG40,Direct Payments OP,314.20
Chief Executive's,Newcastle City,Revenue Expenditure,2017-11-27,Redacted Personal Data,7365550,Revenue,1MK51,Home Care LD,338.93
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-11-27,Redacted Personal Data,7373463,Revenue,1MK40,Direct Payments LD,391.16
Children's Services,Educ School Planning,Revenue Expenditure,2017-11-14,Redacted Personal Data,7344290,Revenue,1MF01,16+ Team (YP),772.00
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-11-27,Redacted Personal Data,7373448,Revenue,1MH40,Direct Payments PD,642.00
Adult and Culture,Social Services-Carefirst,Revenue Income,2017-11-27,Redacted Personal Data,7373448,Revenue,1MH40,Direct Payments PD,29.72
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-11-27,Redacted Personal Data,7373387,Revenue,1MH40,Direct Payments PD,2615.00
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,2017-11-13,A WILDERNESS WAY,7362739,Revenue,1MC02,Ind Sector Placements,23400.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2017-11-16,A&J KEITH LTD,7362114,Revenue,1KVEE,Electrical Stand Alone Works,280.00
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-11-07,A&J KEITH LTD,7358940,Revenue,1KBRM,Sub Contractors R & M,99833.21
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-11-07,A&J KEITH LTD,7358943,Revenue,1KBRM,Sub Contractors R & M,6662.05
Environment & Regeneration,NS: Repairs & Maintenance,Revenue Expenditure,2017-11-27,A&J KEITH LTD,7373254,Revenue,1KVWC,Minor Works Contracts,450.00
Environment & Regeneration,Cityworks Parks & C/side,Revenue Expenditure,2017-11-21,A&S LOCKSMITHS,7369720,Revenue,1KL6A,Rangers Development Budget,342.04
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-11-22,AA GLOBAL LANGUAGES SERVICES LTD,7371129,Revenue,1MD67,S17 Children in Need,256.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-11-22,AA GLOBAL LANGUAGES SERVICES LTD,7371129,Revenue,1FT40,Communications Support,363.00
Environment & Regeneration,Fleet Management System,Revenue Expenditure,2017-11-13,AAA CHEMICALS LTD,7358040,Revenue,3KES1,Fleetmaster Stores Account,1089.00
HRA,HRA Property Maint,Revenue Expenditure,2017-11-27,AARAN BUILDERS (NE) LTD,7365600,Revenue,1HBTC,Planned Tech Maintenance,962.00
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-11-27,Redacted Personal Data,7373392,Revenue,1MK40,Direct Payments LD,2289.40
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-11-28,ABBEYFIELD CASTLE FARM,7375681,Revenue,1MG20,Residential Care OP,4498.88
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-11-28,ABBEYFIELD THE GROVE,7375672,Revenue,1MG20,Residential Care OP,2249.44
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-11-28,ABBEYMOOR LIFEWAYS,7375735,Revenue,1MG10,Nursing Care OP,3020.20
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-11-28,ABBEYMOOR LIFEWAYS,7375735,Revenue,1MH10,Nursing Care PD,5164.20
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-11-28,ABBEYMOOR LIFEWAYS,7375735,Revenue,1MM10,Nursing Care MH,10828.20
Adult and Culture,Social Services-Carefirst,Revenue Income,2017-11-28,ABBEYMOOR LIFEWAYS,7375735,Revenue,1MH10,Nursing Care PD,339.00
Adult and Culture,Social Services-Carefirst,Revenue Income,2017-11-28,ABBEYMOOR LIFEWAYS,7375735,Revenue,1MM10,Nursing Care MH,818.68
Adult and Culture,Social Services-Carefirst,Long Term Assets,2017-11-28,ABBEYMOOR LIFEWAYS,7375735,Revenue,4WX13,Ind Sector Client Loan Fund,763.92
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-11-27,Redacted Personal Data,7373654,Revenue,1MG43,Carers Support Payments OP,1325.00
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-11-21,ABSOLUTE QUALITY CARE,7368520,Revenue,1MG50,Home Care-Spot Purchased OP,18832.24
