Newcastle City Council Invoices over £250 paid in April 2017,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,04-Apr-2017,18 SEA VIEW VILLAS,7190211,Revenue,1MK34,Shared Lives - Adult LD,1540.00
Environment & Regeneration,Cityworks Clean E/C,Capital Expenditure,27-Apr-2017,A & C WEBER UK,7206579,Capital,2KE01,Environmental Services,6300.00
Environment & Regeneration,Cityworks Clean E/C,Revenue Expenditure,27-Apr-2017,A & C WEBER UK,7206579,Revenue,1KE41,Domestic Refuse Collection,2264.00
Environment & Regeneration,Cityworks Clean E/C,Revenue Expenditure,27-Apr-2017,A & C WEBER UK,7206579,Revenue,2KE01,Environmental Services,3640.00
Environment & Regeneration,Cityworks Clean E/C,Revenue Expenditure,11-Apr-2017,A & C WEBER UK,7068676,Revenue,1KE41,Domestic Refuse Collection,8175.48
Environment & Regeneration,Cityworks Highways,Capital Expenditure,26-Apr-2017,A & C WEBER UK,7018918,Capital,2KE01,Environmental Services,6102.00
Environment & Regeneration,Cityworks Highways,Revenue Expenditure,26-Apr-2017,A & C WEBER UK,7018918,Revenue,2KE01,Environmental Services,6102.00
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,03-Apr-2017,A SIGNIFICANT OTHER LTD,7189555,Revenue,1MC02,Ind Sector Placements,18400.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,26-Apr-2017,A&J KEITH LTD,7205265,Revenue,1KVWC,Minor Works Contracts,450.00
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,11-Apr-2017,A&J KEITH LTD,7194966,Revenue,1KBRM,Sub Contractors R & M,11136.75
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,24-Apr-2017,A&J KEITH LTD,7203257,Revenue,1KBRM,Sub Contractors R & M,393714.82
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,20-Apr-2017,A&J KEITH LTD,7201268,Revenue,1KBRM,Sub Contractors R & M,134567.88
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,18-Apr-2017,A&J KEITH LTD,7198682,Revenue,1KBRM,Sub Contractors R & M,817083.95
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,07-Apr-2017,AA GLOBAL LANGUAGES SERVICES LTD,7189869,Revenue,1CR01,Revs and Bens Supp&Svs,608.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,07-Apr-2017,AA GLOBAL LANGUAGES SERVICES LTD,7189869,Revenue,1MD68,Legal Fees Care,70.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,07-Apr-2017,AA GLOBAL LANGUAGES SERVICES LTD,7189869,Revenue,1EEG1,Community Family Hub - West,490.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,07-Apr-2017,AA GLOBAL LANGUAGES SERVICES LTD,7189869,Revenue,1FT08,Translation Unit,217.00
Environment & Regeneration,Fleet Management System,Revenue Expenditure,25-Apr-2017,AAA CHEMICALS LTD,7204237,Revenue,3KES1,Fleetmaster Stores Account,726.00
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,13-Apr-2017,ABBEYFIELD CASTLE FARM,7196791,Revenue,1MG20,Residential Care OP,4283.36
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,13-Apr-2017,ABBEYFIELD THE GROVE,7196782,Revenue,1MG20,Residential Care OP,2141.68
