Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Integrated Services,Revenue Expenditure,2020-07-07,18 SEA VIEW VILLAS,8082552,revenue,1MK34,Shared Lives - Adult LD,1600
Resources,ICT,Capital Expenditure,2020-07-23,4NET TECHNOLOGIES LTD,8093610,Capital,2CAPI,Capital Investment,97972.2
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-07-09,A&J KEITH LTD,8085056,revenue,1KR20,M&E Electrical,51026.46
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-07-08,A&J KEITH LTD,8084107,revenue,1KR20,M&E Electrical,120389.79
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-07-08,A&J KEITH LTD,8084108,revenue,1KR20,M&E Electrical,20919.92
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-07-20,A1 FOSTER CARE,8091799,revenue,1MC22,IND Sector Foster Carer Costs,11177.14
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-07-27,AA GLOBAL LANGUAGES SERVICES LTD,8090250,revenue,1MC21,Fostering Unit,833.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-07-27,AA GLOBAL LANGUAGES SERVICES LTD,8090250,revenue,1MD62,Support to LAC,103
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-07-27,AA GLOBAL LANGUAGES SERVICES LTD,8090250,revenue,1MD67,S17 Children in Need,561
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-07-27,AA GLOBAL LANGUAGES SERVICES LTD,8090250,revenue,1MD68,Legal Fees Care,1393
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-07-17,AA GLOBAL LANGUAGES SERVICES LTD,8090617,revenue,1MD62,Support to LAC,162.5
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-07-17,AA GLOBAL LANGUAGES SERVICES LTD,8090617,revenue,1MD67,S17 Children in Need,450
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-07-17,AA GLOBAL LANGUAGES SERVICES LTD,8090617,revenue,1MD68,Legal Fees Care,340
"Children, Education and Skills",Education,Revenue Expenditure,2020-07-27,AA GLOBAL LANGUAGES SERVICES LTD,8090250,revenue,1E320,SEND APR Team,637.5
"Children, Education and Skills",Education Schools,Revenue Expenditure,2020-07-27,AA GLOBAL LANGUAGES SERVICES LTD,8090250,revenue,1E239,SB SENTASS,93
"Children, Education and Skills",Education Schools,Revenue Expenditure,2020-07-17,AA GLOBAL LANGUAGES SERVICES LTD,8090617,revenue,1E239,SB SENTASS,67.5
Resources,Financial Services,Revenue Expenditure,2020-07-27,AA GLOBAL LANGUAGES SERVICES LTD,8090250,revenue,1CR01,Revs and Bens Supp&Svs,330.00
Resources,Legal Services,Revenue Expenditure,2020-07-27,AA GLOBAL LANGUAGES SERVICES LTD,8090250,revenue,1FA51,Coroner,127.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-07-10,ABBEYFIELD CASTLE FARM,8084796,revenue,1MR03,COVID19 Premium Payments,534.18
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-07-21,ABBEYFIELD CASTLE FARM,8092283,revenue,1MG10,Nursing Care OP,3406.56
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-07-21,ABBEYFIELD CASTLE FARM,8092283,revenue,1MG20,Residential Care OP,8012.64
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-07-21,ABBEYFIELD CASTLE FARM,8092283,revenue,1MG30,Deferred Payments-OP,2670.88
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-07-10,ABBEYFIELD THE GROVE,8084820,revenue,1MR03,COVID19 Premium Payments,667.72
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-07-21,ABBEYFIELD THE GROVE,8092274,revenue,1MG20,Residential Care OP,13354.40
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-07-10,ABBEYMOOR,8084823,revenue,1MR03,COVID19 Premium Payments,295.08
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-07-21,ABBEYMOOR,8092284,revenue,1MH10,Nursing Care PD,5901.64
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-07-10,ABBEYMOOR LIFEWAYS,8085535,revenue,1MR03,COVID19 Premium Payments,480.48
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-07-21,ABBEYMOOR LIFEWAYS,8092320,revenue,1MH10,Nursing Care PD,5901.64
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-07-21,ABBEYMOOR LIFEWAYS,8092320,revenue,1MM10,Nursing Care MH,4443.68
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-07-14,ABSOLUTE QUALITY CARE,8088614,revenue,1MG50,Home Care-Spot Purchased OP,26551.3
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-07-14,ABSOLUTE QUALITY CARE,8088614,revenue,1MH50,Home Care PD,6888.56
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-07-14,ABSOLUTE QUALITY CARE,8088614,revenue,1MK51,Home Care LD,1552.32
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-07-14,ABSOLUTE QUALITY CARE,8088614,revenue,1MM50,Home Care MH,565.95
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-07-14,ABSOLUTE QUALITY CARE,8088687,revenue,1MK50,Supported Living LD,1876.36
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-07-08,ABSOLUTE QUALITY CARE,8084142,revenue,1MR03,COVID19 Premium Payments,1724.63
ASC & Integrated Services,Adult Social Care,Revenue Income,2020-07-14,ABSOLUTE QUALITY CARE,8088687,revenue,1MK50,Supported Living LD,238.60
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-07-07,ACCOUNTABILITY,8082904,revenue,1MH40,Direct Payments PD,2782.00
