Newcastle City Council Invoices over £250 paid in September 2019,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
People,Adult Social Care,Revenue Expenditure,17/09/2019,18 SEA VIEW VILLAS,7870776,revenue,1MK34,Shared Lives - Adult LD,1753.30
Operations & Reg Services,Environment&Public Protection,Revenue Expenditure,19/09/2019,4-5 GRAYS INN SQUARE LTD,7872258,revenue,1D540,District Function,1375.00
Assistant Chief Executive,"Museums, Arts & Culture",Revenue Expenditure,05/09/2019,A LIVING TRADITION CIC,7863841,revenue,1DF66,Holocaust Memorial Day,765.00
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,11/09/2019,A&J KEITH LTD,7867530,revenue,1KBRM,Sub Contractors R & M,25841.23
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,13/09/2019,A&J KEITH LTD,7868985,revenue,1KVWC,Minor Works Contracts,64859.53
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,13/09/2019,A&J KEITH LTD,7868987,revenue,1KVWC,Minor Works Contracts,10886.00
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,25/09/2019,A&J KEITH LTD,7877441,revenue,1KR10,Voids,28538.07
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,25/09/2019,A&J KEITH LTD,7877441,revenue,1KR12,DDA,18225.49
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,25/09/2019,A&J KEITH LTD,7877441,revenue,1KR20,M&E Electrical,240505.26
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,25/09/2019,A&J KEITH LTD,7877441,revenue,1KR21,M&E Gas Servicing,3472.37
Assistant Chief Executive,Communication Services,Revenue Expenditure,11/09/2019,AA GLOBAL LANGUAGES SERVICES LTD,7864942,revenue,1FT08,Translation Unit,230.00
People,Adult Social Care,Revenue Expenditure,11/09/2019,AA GLOBAL LANGUAGES SERVICES LTD,7864942,revenue,1MK01,LDA Insights,120.00
People,Children's Social Care,Revenue Expenditure,11/09/2019,AA GLOBAL LANGUAGES SERVICES LTD,7864942,revenue,1MB04,Childrens Standards Unit,119.00
People,Children's Social Care,Revenue Expenditure,11/09/2019,AA GLOBAL LANGUAGES SERVICES LTD,7864942,revenue,1MD67,S17 Children in Need,160.00
People,Children's Social Care,Revenue Expenditure,11/09/2019,AA GLOBAL LANGUAGES SERVICES LTD,7864942,revenue,1MD68,Legal Fees Care,2025.50
People,Inclusion Comm & Procurement,Revenue Expenditure,11/09/2019,AA GLOBAL LANGUAGES SERVICES LTD,7864942,revenue,1VH16,Syrian Resettlement Scheme,85.00
Resources,Financial Services,Revenue Expenditure,11/09/2019,AA GLOBAL LANGUAGES SERVICES LTD,7864942,revenue,1CR01,Revs and Bens Supp&Svs,48.00
People,Education,Revenue Expenditure,02/09/2019,AAETO,7859528,revenue,1EA15,Newcastle City Learning Main,990.00
People,Education,Revenue Expenditure,13/09/2019,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,7869133,revenue,1EA15,Newcastle City Learning Main,613.00
People,Adult Social Care,Revenue Expenditure,04/09/2019,ABBEYFIELD CASTLE FARM,7862709,revenue,1MG20,Residential Care OP,7511.52
People,Adult Social Care,Revenue Expenditure,04/09/2019,ABBEYFIELD THE GROVE,7862695,revenue,1MG20,Residential Care OP,7511.52
People,Adult Social Care,Revenue Expenditure,04/09/2019,ABBEYMOOR LIFEWAYS,7862758,revenue,1MM10,Nursing Care MH,8490.24
Public Health Service,Public Health,Revenue Expenditure,27/09/2019,ABEL ALARM COMPANY LTD,7877402,revenue,1KL0F,Parklife Projects - Leisure,407.00
People,Adult Social Care,Revenue Expenditure,24/09/2019,ABSOLUTE QUALITY CARE,7875420,revenue,1MG50,Home Care-Spot Purchased OP,18788.65
People,Adult Social Care,Revenue Expenditure,24/09/2019,ABSOLUTE QUALITY CARE,7875420,revenue,1MH50,Home Care PD,5768.49
People,Adult Social Care,Revenue Expenditure,24/09/2019,ABSOLUTE QUALITY CARE,7875420,revenue,1MK51,Home Care LD,350.98
People,Adult Social Care,Revenue Expenditure,24/09/2019,ABSOLUTE QUALITY CARE,7875420,revenue,1MM50,Home Care MH,305.20
People,Adult Social Care,Revenue Expenditure,24/09/2019,ABSOLUTE QUALITY CARE,7875086,revenue,1MK50,Supported Living LD,1982.72
People,Adult Social Care,Revenue Expenditure,03/09/2019,ACCOUNTABILITY,7861606,revenue,1MH40,Direct Payments PD,2086.50
People,Children's Social Care,Revenue Expenditure,16/09/2019,ACORN CARE (NE) LIMITED,7869642,revenue,1MC22,IND Sector Foster Carer Costs,603.38
Operations & Reg Services,Operations,Revenue Expenditure,27/09/2019,ACP,7878317,revenue,1KESW,Fleet Internal & External Hire,3665.35
Operations & Reg Services,Operations,Revenue Expenditure,27/09/2019,ACP,7878326,revenue,1KESW,Fleet Internal & External Hire,3555.57
Operations & Reg Services,Operations,Revenue Expenditure,30/09/2019,ACP,7877489,revenue,1KENB,Fleet Workshops OH,1143.02
Operations&Regulatory Services,Single Point of Leadership,Capital Expenditure,27/09/2019,ACP,7878325,Capital,2CAPI,Capital Investment,312.06
Operations&Regulatory Services,Single Point of Leadership,Capital Expenditure,30/09/2019,ACP,7877489,Capital,2CAPI,Capital Investment,810.00
Operations&Regulatory Services,Single Point of Leadership,Capital Expenditure,30/09/2019,ACP,7877482,Capital,2CAPI,Capital Investment,274.80
Resources,Business Management (Res),Revenue Expenditure,27/09/2019,ACP,7878317,revenue,1KSCD,External Vehicle Tracking,1333.75
Resources,Business Management (Res),Revenue Expenditure,27/09/2019,ACP,7878326,revenue,1KSCD,External Vehicle Tracking,1372.25
Resources,Business Management (Res),Revenue Expenditure,27/09/2019,ACP,7878316,revenue,1KSCD,External Vehicle Tracking,1025.56
Resources,Business Management (Res),Revenue Expenditure,27/09/2019,ACP,7878323,revenue,1KSCD,External Vehicle Tracking,360.83
People,Children's Social Care,Revenue Expenditure,16/09/2019,ACTION FOR CHILDREN,7869657,revenue,1MC13,Post 18 Staying Put,1360.00
People,Children's Social Care,Revenue Expenditure,16/09/2019,ACTION FOR CHILDREN,7869657,revenue,1MC22,IND Sector Foster Carer Costs,9360.00
People,Children's Social Care,Revenue Expenditure,30/09/2019,ACTION FOR CHILDREN,7878850,revenue,1MB04,Childrens Standards Unit,4795.95
Assistant Chief Executive,Democratic Services,Revenue Income,04/09/2019,ACTION FOUNDATION,7863098,revenue,1FN03,Lord Mayors Charities,1350.00
People,Inclusion Comm & Procurement,Revenue Expenditure,05/09/2019,ACTION FOUNDATION,7863420,revenue,1VH16,Syrian Resettlement Scheme,1700.00
