Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-12,18 SEA VIEW VILLAS,8043793,revenue,1MK34,Shared Lives - Adult LD,1600
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-28,1ST COVERALL CO LTD,8053780,revenue,1MG27,General Resource Centres,32940
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-28,1ST COVERALL CO LTD,8053781,revenue,1MG27,General Resource Centres,67100.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-12,1ST COVERALL CO LTD,8044002,revenue,1MG27,General Resource Centres,188535.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-18,1ST COVERALL CO LTD,8046975,revenue,1MG27,General Resource Centres,3927.00
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-05-29,A&J KEITH LTD,8054619,revenue,1KR20,M&E Electrical,140000
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-05-29,A&J KEITH LTD,8054620,revenue,1KVWC,Minor Works Contracts,15390
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-05-29,A&J KEITH LTD,8054621,revenue,1KVWC,Minor Works Contracts,15390
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-05-06,A&J KEITH LTD,8041132,revenue,1KVWC,Minor Works Contracts,1381.32
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-05-13,A&J KEITH LTD,8044983,revenue,1KR20,M&E Electrical,112703.41
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-05-13,A&J KEITH LTD,8044986,revenue,1KR20,M&E Electrical,8046.53
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,2020-05-13,A&J KEITH LTD,8045767,revenue,1KR20,M&E Electrical,140000
Operations & Reg Services,Community Hubs,Revenue Expenditure,2020-05-04,A&S LOCKSMITHS,8039578,revenue,1KL61,Parks R&M,960
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-05-26,A1 FOSTER CARE,8052508,revenue,1MC22,IND Sector Foster Carer Costs,3360.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-01,AA GLOBAL LANGUAGES SERVICES LTD,8033545,revenue,1MP12,MESMAC,30.00
ASC & Integrated Services,Inclusion and Commissioning,Revenue Expenditure,2020-05-27,AA GLOBAL LANGUAGES SERVICES LTD,8047450,revenue,1VH16,Syrian Resettlement Scheme,28.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-05-27,AA GLOBAL LANGUAGES SERVICES LTD,8047450,revenue,1MB30,Long Term Social Work Teams,452.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-05-27,AA GLOBAL LANGUAGES SERVICES LTD,8047450,revenue,1MD62,Support to LAC,43.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-05-27,AA GLOBAL LANGUAGES SERVICES LTD,8047450,revenue,1MD67,S17 Children in Need,549.50
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-05-27,AA GLOBAL LANGUAGES SERVICES LTD,8047450,revenue,1MD68,Legal Fees Care,2667.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-05-01,AA GLOBAL LANGUAGES SERVICES LTD,8033545,revenue,1MB30,Long Term Social Work Teams,40.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-05-01,AA GLOBAL LANGUAGES SERVICES LTD,8033545,revenue,1MD62,Support to LAC,200.00
"Children, Education and Skills",Education,Revenue Expenditure,2020-05-27,AA GLOBAL LANGUAGES SERVICES LTD,8047450,revenue,1E320,SEND APR Team,68
"Children, Education and Skills",Education Schools,Revenue Expenditure,2020-05-27,AA GLOBAL LANGUAGES SERVICES LTD,8047450,revenue,1E240,SB Hearing Impaired Service,176
"Children, Education and Skills",Education Schools,Revenue Expenditure,2020-05-01,AA GLOBAL LANGUAGES SERVICES LTD,8033545,revenue,1E236,SB Young Childrens Spec. Needs,35
Operations & Reg Services,Operations,Revenue Expenditure,2020-05-27,AA GLOBAL LANGUAGES SERVICES LTD,8047450,revenue,1VP22,Community Safety Team,200
Resources,Financial Services,Revenue Expenditure,2020-05-01,AA GLOBAL LANGUAGES SERVICES LTD,8033545,revenue,1CR01,Revs and Bens Supp&Svs,180.00
Resources,Legal Services,Revenue Expenditure,2020-05-01,AA GLOBAL LANGUAGES SERVICES LTD,8033545,revenue,1FA51,Coroner,134.00
Operations & Reg Services,Operations,Revenue Expenditure,2020-05-18,AAA CHEMICALS LTD,8047380,revenue,1KENB,Fleet Workshops OH,968
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-22,ABBEYFIELD CASTLE FARM,8051238,revenue,1MR03,CCG COVID-19,500.77
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-28,ABBEYFIELD CASTLE FARM,8053811,revenue,1MR03,CCG COVID-19,534.18
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-26,ABBEYFIELD CASTLE FARM,8052372,revenue,1MG20,Residential Care OP,8293.03
ASC & Integrated Services,Adult Social Care,Long Term Assets,2020-05-26,ABBEYFIELD CASTLE FARM,8052372,revenue,1MG30,Deferred Payments-OP,2951.27
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-22,ABBEYFIELD THE GROVE,8051239,revenue,1MR03,CCG COVID-19,500.77
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-28,ABBEYFIELD THE GROVE,8053810,revenue,1MR03,CCG COVID-19,534.18
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-26,ABBEYFIELD THE GROVE,8052363,revenue,1MG20,Residential Care OP,22767.73
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-22,ABBEYMOOR,8051529,revenue,1MR03,CCG COVID-19,295.08
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-28,ABBEYMOOR,8053809,revenue,1MR03,CCG COVID-19,295.08
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-26,ABBEYMOOR,8052373,revenue,1MH10,Nursing Care PD,5901.64
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-22,ABBEYMOOR LIFEWAYS,8051240,revenue,1MR03,CCG COVID-19,513.59
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-29,ABBEYMOOR LIFEWAYS,8053808,revenue,1MR03,CCG COVID-19,480.48
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-26,ABBEYMOOR LIFEWAYS,8052412,revenue,1MH10,Nursing Care PD,6137.64
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-26,ABBEYMOOR LIFEWAYS,8052412,revenue,1MM10,Nursing Care MH,5338.17
Operations & Reg Services,Environment&Public Protection,Revenue Expenditure,2020-05-20,ABC FOOD LAW LTD,8046437,revenue,1D500,Food Safety & Training,975
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-04,ABSOLUTE QUALITY CARE,8039761,revenue,1MR03,CCG COVID-19,1719.71
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-19,ABSOLUTE QUALITY CARE,8048053,revenue,1MG50,Home Care-Spot Purchased OP,32120.46
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-19,ABSOLUTE QUALITY CARE,8048053,revenue,1MH50,Home Care PD,6888.56
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-19,ABSOLUTE QUALITY CARE,8048053,revenue,1MK51,Home Care LD,1552.32
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-19,ABSOLUTE QUALITY CARE,8048053,revenue,1MM50,Home Care MH,29.65
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-19,ABSOLUTE QUALITY CARE,8048018,revenue,1MK50,Supported Living LD,2028.08
ASC & Integrated Services,Adult Social Care,Revenue Income,2020-05-19,ABSOLUTE QUALITY CARE,8048018,revenue,1MK50,Supported Living LD,238.60
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,2020-05-12,ACCOUNTABILITY,8043568,revenue,1MH40,Direct Payments PD,2782.00
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,2020-05-26,ACORN DAIRY,8043207,revenue,1KFX2,School Meals Overhead,1840.5
Resources,Financial Services,Revenue Expenditure,2020-05-04,ACS LTD,8039781,revenue,1CS00,Revs and Bens Staffing,1050.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-05-26,ACTION FOR CHILDREN,8052522,revenue,1MC13,Post 18 Staying Put,1360
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,2020-05-26,ACTION FOR CHILDREN,8052522,revenue,1MC22,IND Sector Foster Carer Costs,7858.57
"Children, Education and Skills",Early Help and Family Support,Revenue Expenditure,2020-05-04,ACTION FOR CHILDREN,8039550,revenue,1EEK1,Community Family Hub - Central,2352.46
"Children, Education and Skills",Early Help and Family Support,Revenue Expenditure,2020-05-04,ACTION FOR CHILDREN,8039549,revenue,1EEK1,Community Family Hub - Central,8128.91
