Newcastle City Council Invoices over 250 paid in March 2017
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Chief Executive's,CD - Legal Services,Revenue Expenditure,2017-03-01,11 KBW,7147633,Revenue,1FG52,North of Tyne Devolution Deal,5350.00
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-03-07,18 SEA VIEW VILLAS,7164137,Revenue,1MK34,Shared Lives - Adult LD,1540.00
Children's Services,Invoice,Revenue Expenditure,2017-03-21,A & C WEBER UK,7134124,Revenue,1KE41,Domestic Refuse Collection,1263.00
Environment & Regeneration,Cityworks Clean E/C,Revenue Expenditure,2017-03-02,A & C WEBER UK,7160814,Revenue,1KW00,Localised Working,12204.00
Environment & Regeneration,Cityworks Clean E/C,Revenue Expenditure,2017-03-28,A & C WEBER UK,7164692,Revenue,1KE41,Domestic Refuse Collection,2105.00
Environment & Regeneration,Cityworks Clean E/C,Revenue Expenditure,2017-03-28,A & C WEBER UK,7143608,Revenue,1KE41,Domestic Refuse Collection,1395.36
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,2017-03-07,A SIGNIFICANT OTHER LTD,7163967,Revenue,1MC02,Ind Sector Placements,18400.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2017-03-01,A&J KEITH LTD,7160434,Revenue,1KVWC,Minor Works Contracts,104987.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2017-03-29,A&J KEITH LTD,7187115,Revenue,1KVWC,Minor Works Contracts,104759.84
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-03-08,A&J KEITH LTD,7165721,Revenue,1KBRM,Sub Contractors R & M,389801.95
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-03-08,A&J KEITH LTD,7165722,Revenue,1KBRM,Sub Contractors R & M,20086.15
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-03-09,A&J KEITH LTD,7166497,Revenue,1KBRM,Sub Contractors R & M,83555.84
Environment & Regeneration,Cityworks Rangers,Revenue Expenditure,2017-03-28,A&S LOCKSMITHS,7180257,Revenue,1KL6A,Rangers Development Budget,750.60
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-03-10,AA GLOBAL LANGUAGES SERVICES LTD,7167553,Revenue,1CR01,Revs and Bens Supp&Svs,60.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-03-10,AA GLOBAL LANGUAGES SERVICES LTD,7167553,Revenue,1MD62,Support to LAC,38.00
