Newcastle City Council Invoices over £250 paid in December 2017,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,E & R School Meals                     ,Revenue Expenditure,18-Dec-2017,3663,7390669,Revenue,1KF07,Banqueting Suite,961.00
Environment & Regeneration,E & R School Meals                     ,Revenue Expenditure,27-Dec-2017,3663,7398337,Revenue,1KF07,Banqueting Suite,475.32
Environment & Regeneration,E & R School Meals                     ,Revenue Expenditure,27-Dec-2017,3663,7398339,Revenue,1KF07,Banqueting Suite,350.87
Environment & Regeneration,E & R School Meals                     ,Revenue Expenditure,13-Dec-2017,3663,7382562,Revenue,1KF07,Banqueting Suite,487.19
Environment & Regeneration,E & R School Meals                     ,Revenue Expenditure,29-Dec-2017,3663,7395979,Revenue,1KF07,Banqueting Suite,299.80
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,12-Dec-2017,18 SEA VIEW VILLAS,7386385,Revenue,1MK34,Shared Lives - Adult LD,1540.00
Environment & Regeneration,Allendale Rd                           ,Revenue Expenditure,27-Dec-2017,A&J KEITH LTD,7387808,Revenue,1KVEM,Mechanical Stand Alone Works,815.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,22-Dec-2017,A&J KEITH LTD,7397332,Revenue,1KVWC,Minor Works Contracts,53058.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,13-Dec-2017,A&J KEITH LTD,7387790,Revenue,1KVEE,Electrical Stand Alone Works,2300.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,13-Dec-2017,A&J KEITH LTD,7387593,Revenue,1KVEE,Electrical Stand Alone Works,520.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,13-Dec-2017,A&J KEITH LTD,7387594,Revenue,1KVEE,Electrical Stand Alone Works,280.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,13-Dec-2017,A&J KEITH LTD,7387792,Revenue,1KVEE,Electrical Stand Alone Works,800.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,13-Dec-2017,A&J KEITH LTD,7387791,Revenue,1KVEE,Electrical Stand Alone Works,1300.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,12-Dec-2017,A&J KEITH LTD,7386922,Revenue,1KVEM,Mechanical Stand Alone Works,815.00
Environment & Regeneration,NS: Capital Works          ,Revenue Expenditure,12-Dec-2017,A&J KEITH LTD,7386770,Revenue,1KVWC,Minor Works Contracts,4328.00
Environment & Regeneration,NS: D&CS Support Services  ,Revenue Expenditure,13-Dec-2017,A&J KEITH LTD,7387780,Revenue,1KBRM,Sub Contractors R & M,137683.53
Environment & Regeneration,NS: D&CS Support Services  ,Revenue Expenditure,13-Dec-2017,A&J KEITH LTD,7387779,Revenue,1KBRM,Sub Contractors R & M,37884.95
Environment & Regeneration,NS: Repairs & Maintenance  ,Revenue Expenditure,04-Dec-2017,A&J KEITH LTD,7376041,Revenue,1KR20,M&E Electrical,2500.00
Environment & Regeneration,NS: Asset Man              ,Revenue Expenditure,20-Dec-2017,A&S LOCKSMITHS,7386952,Revenue,1DZ19,Corner Shops,354.89
Environment & Regeneration,NS: City Transport         ,Revenue Expenditure,19-Dec-2017,AA BUSINESS SERVICES,7393236,Revenue,1KEMC,Highways,79.80
Environment & Regeneration,NS: City Transport         ,Revenue Expenditure,19-Dec-2017,AA BUSINESS SERVICES,7393236,Revenue,1KENB,Fleet Workshops OH,399.00
Environment & Regeneration,NS: City Transport         ,Revenue Expenditure,19-Dec-2017,AA BUSINESS SERVICES,7393236,Revenue,1KESY,Fleet Services Hire office,159.60
Environment & Regeneration,NS: City Transport         ,Revenue Expenditure,19-Dec-2017,AA BUSINESS SERVICES,7393236,Revenue,1MC05,Slatyford Lane Childrens Unit,79.80
Environment & Regeneration,NS: City Transport         ,Revenue Expenditure,19-Dec-2017,AA BUSINESS SERVICES,7393236,Revenue,1MC06,Iona Place Childrens Unit,79.80
Environment & Regeneration,NS: City Transport         ,Revenue Expenditure,19-Dec-2017,AA BUSINESS SERVICES,7393236,Revenue,1MC09,Phillipson Street,79.80
Environment & Regeneration,NS: City Transport         ,Revenue Expenditure,19-Dec-2017,AA BUSINESS SERVICES,7393236,Revenue,1MB21,Social Work Team East,319.20
Environment & Regeneration,NS: City Transport         ,Revenue Expenditure,19-Dec-2017,AA BUSINESS SERVICES,7393236,Revenue,1V300,Green Travel office,957.60
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,22-Dec-2017,AA GLOBAL LANGUAGES SERVICES LTD,7383375,Revenue,1CR01,Revs and Bens Supp&Svs,90.00
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,22-Dec-2017,AA GLOBAL LANGUAGES SERVICES LTD,7383375,Revenue,1MD68,Legal Fees Care,895.00
Chief Executive's,CD-Communications and Marketing  ,Revenue Expenditure,11-Dec-2017,AA GLOBAL LANGUAGES SERVICES LTD,7378903,Revenue,1MD64,Calvert Trust Short Breaks,1965.00
Environment & Regeneration,Fleet Management System                ,Revenue Expenditure,18-Dec-2017,AAA CHEMICALS LTD,7382321,Revenue,3KES1,Fleetmaster Stores Account,726.00
HRA,HRA Planning QS            ,Capital Expenditure,13-Dec-2017,AARAN BUILDERS (NE) LTD,7387972,Capital,1HE01,HRA NHD Mngmnt - Citywide,22542.00
HRA,HRA Property Maint         ,Revenue Expenditure,22-Dec-2017,AARAN BUILDERS (NE) LTD,7382720,Revenue,1HBTC,Planned Tech Maintenance,912.00
Children's Services,Walbottle Campus Secon/High School     ,Revenue Expenditure,18-Dec-2017,ABACUS,7390576,Revenue,1E877,Walbottle Leisure,4372.10
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,21-Dec-2017,ABBEYFIELD CASTLE FARM,7396205,Revenue,1MG20,Residential Care OP,4498.88
Adult and Culture,Social Services-Carefirst              ,Revenue Expenditure,21-Dec-2017,ABBEYFIELD THE GROVE,7396196,Revenue,1MG20,Residential Care OP,2249.44
