Newcastle City Council Invoices over £250 paid in August 2019,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
People,Adult Social Care,Revenue Expenditure,20/08/2019,18 SEA VIEW VILLAS,7852306,revenue,1MK34,Shared Lives - Adult LD,1570.80
Operations & Reg Services,Operations,Revenue Expenditure,27/08/2019,A S PNEUMATICS,7844520,revenue,1KENB,Fleet Workshops OH,320.00
Place,Fairer Housing Unit,Capital Expenditure,13/08/2019,A&J CRAWFORD CONSTRUCTION,7847773,Capital,2N101,Capital Grants,9790.00
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,13/08/2019,A&J KEITH LTD,7847795,revenue,1KBRM,Sub Contractors R & M,396027.90
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,13/08/2019,A&J KEITH LTD,7847801,revenue,1KBRM,Sub Contractors R & M,37497.79
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,16/08/2019,A&J KEITH LTD,7850525,revenue,1KVWC,Minor Works Contracts,38814.00
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,28/08/2019,A&J KEITH LTD,7858200,revenue,1KVWC,Minor Works Contracts,31618.03
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,28/08/2019,A&J KEITH LTD,7858201,revenue,1KVWC,Minor Works Contracts,5732.50
Place,Commercial Dev & Property,Revenue Expenditure,12/08/2019,A&S LOCKSMITHS,7836311,revenue,1DF32,NGI Visitor Info Ctr,750.00
Assistant Chief Executive,Communication Services,Revenue Expenditure,30/08/2019,AA GLOBAL LANGUAGES SERVICES LTD,7859507,revenue,1FT08,Translation Unit,101.00
Assistant Chief Executive,Communication Services,Revenue Expenditure,08/08/2019,AA GLOBAL LANGUAGES SERVICES LTD,7844522,revenue,1FT08,Translation Unit,75.00
People,Children's Social Care,Revenue Expenditure,30/08/2019,AA GLOBAL LANGUAGES SERVICES LTD,7859507,revenue,1MD67,S17 Children in Need,666.00
People,Children's Social Care,Revenue Expenditure,30/08/2019,AA GLOBAL LANGUAGES SERVICES LTD,7859507,revenue,1MD68,Legal Fees Care,1197.00
People,Children's Social Care,Revenue Expenditure,08/08/2019,AA GLOBAL LANGUAGES SERVICES LTD,7844522,revenue,1MD62,Support to LAC,160.00
People,Children's Social Care,Revenue Expenditure,08/08/2019,AA GLOBAL LANGUAGES SERVICES LTD,7844522,revenue,1MD67,S17 Children in Need,436.00
People,Children's Social Care,Revenue Expenditure,08/08/2019,AA GLOBAL LANGUAGES SERVICES LTD,7844522,revenue,1MD68,Legal Fees Care,965.00
People,Education,Revenue Expenditure,30/08/2019,AA GLOBAL LANGUAGES SERVICES LTD,7859507,revenue,1E836,Connexions,73.00
People,Education,Revenue Expenditure,30/08/2019,AA GLOBAL LANGUAGES SERVICES LTD,7859507,revenue,1E45C,Admissions & Info Team,38.00
People,Education,Revenue Expenditure,08/08/2019,AA GLOBAL LANGUAGES SERVICES LTD,7844522,revenue,1E320,SEND APR Team,87.00
Resources,Financial Services,Revenue Expenditure,08/08/2019,AA GLOBAL LANGUAGES SERVICES LTD,7844522,revenue,1CR01,Revs and Bens Supp&Svs,72.00
Operations & Regulatory Services ,Operations,Revenue Expenditure,19/08/2019,AAA CHEMICALS LTD,7851117,revenue,3KES1,Fleetmaster Stores Account,968.00
People,Education,Revenue Expenditure,01/08/2019,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,7836201,revenue,1EA15,Newcastle City Learning Main,585.00
People,Education,Revenue Expenditure,08/08/2019,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,7839691,revenue,1EA15,Newcastle City Learning Main,405.00
