Newcastle City Council Invoices over £250 paid in July 2019,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
People,Adult Social Care,Revenue Expenditure,23/07/2019,18 SEA VIEW VILLAS,7831919,revenue,1MK34,Shared Lives - Adult LD,1570.80
Assistant Chief Executive,Communities Team,Revenue Expenditure,24/07/2019,1ST WESTERHOPE SCOUTS,7833191,revenue,1FW09,Denton & Westerhope,500.00
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,26/07/2019,A&J KEITH LTD,7824229,revenue,1KVWC,Minor Works Contracts,265.00
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,10/07/2019,A&J KEITH LTD,7823366,revenue,1KBRM,Sub Contractors R & M,225952.31
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,10/07/2019,A&J KEITH LTD,7823367,revenue,1KBRM,Sub Contractors R & M,20875.04
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,10/07/2019,A&J KEITH LTD,7823372,revenue,1KVWC,Minor Works Contracts,50454.00
Place,Commercial Dev & Property,Revenue Expenditure,16/07/2019,A&S LOCKSMITHS,7825272,revenue,1DZW4,Bells Close Ind. Est.,266.70
Place,Commercial Dev & Property,Revenue Expenditure,29/07/2019,A&S LOCKSMITHS,7836309,revenue,1DZ19,Corner Shops,254.63
Assistant Chief Executive,"Policy, Comms and Performance",Revenue Expenditure,19/07/2019,AA GLOBAL LANGUAGES SERVICES LTD,7830491,revenue,1FT08,Translation Unit,110.00
Assistant Chief Executive,"Policy, Comms and Performance",Revenue Expenditure,15/07/2019,AA GLOBAL LANGUAGES SERVICES LTD,7824241,revenue,1FT08,Translation Unit,194.00
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,19/07/2019,AA GLOBAL LANGUAGES SERVICES LTD,7830491,revenue,1KKK1,Cleaning Direct O/H,30.00
People,Children's Social Care,Revenue Expenditure,19/07/2019,AA GLOBAL LANGUAGES SERVICES LTD,7830491,revenue,1MD67,S17 Children in Need,275.00
