Newcastle City Council Invoices over £250 paid in June 2020,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,09/06/2020,18 SEA VIEW VILLAS,8061616,revenue,1MK34,Shared Lives - Adult LD,1600
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,17/06/2020,1ST COVERALL CO LTD,8053779,revenue,1MG27,General Resource Centres,360
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,17/06/2020,1ST COVERALL CO LTD,8070530,revenue,1MG27,General Resource Centres,77784.76
Resources,ICT,Capital Expenditure,17/06/2020,4NET TECHNOLOGIES LTD,8070100,Capital,2CITC,IT Services,65314.80
Resources,ICT,Capital Expenditure,03/06/2020,4NET TECHNOLOGIES LTD,8058129,Capital,2CAPI,Capital Investment,82606.74
Resources,ICT,Capital Expenditure,03/06/2020,4NET TECHNOLOGIES LTD,8058132,Capital,2CAPI,Capital Investment,97972.20
Resources,ICT,Capital Expenditure,10/06/2020,4NET TECHNOLOGIES LTD,8059140,Capital,2CAPI,Capital Investment,18650.69
Resources,ICT,Revenue Expenditure,04/06/2020,4NET TECHNOLOGIES LTD,8058699,revenue,1CC24,Telecoms,2727.47
Resources,ICT,Revenue Expenditure,05/06/2020,4NET TECHNOLOGIES LTD,8059848,revenue,1CC24,Telecoms,475.00
Resources,ICT,Revenue Expenditure,12/06/2020,4NET TECHNOLOGIES LTD,8064389,revenue,1CC24,Telecoms,2911.81
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,10/06/2020,A&J KEITH LTD,8063189,revenue,1KR20,M&E Electrical,167868.04
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,10/06/2020,A&J KEITH LTD,8063194,revenue,1KR20,M&E Electrical,8976.11
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,22/06/2020,A1 FOSTER CARE,8072370,revenue,1MC22,IND Sector Foster Carer Costs,3360
Operations & Regulatory Services ,Operations,Revenue Expenditure,05/06/2020,AAA CHEMICALS LTD,8059662,revenue,3KES1,Fleetmaster Stores Account,364.48
Operations & Regulatory Services ,Operations,Revenue Expenditure,05/06/2020,AAA CHEMICALS LTD,8059663,revenue,3KES1,Fleetmaster Stores Account,726.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,03/06/2020,ABBEYFIELD CASTLE FARM,8058084,revenue,1MR03,COVID19 Premium Payments,11552
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,10/06/2020,ABBEYFIELD CASTLE FARM,8063299,revenue,1MR03,COVID19 Premium Payments,534.18
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,23/06/2020,ABBEYFIELD CASTLE FARM,8073653,revenue,1MG10,Nursing Care OP,25546.77
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,23/06/2020,ABBEYFIELD CASTLE FARM,8073653,revenue,1MG20,Residential Care OP,8012.64
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,23/06/2020,ABBEYFIELD CASTLE FARM,8073653,revenue,1MG30,Deferred Payments-OP,2670.88
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,03/06/2020,ABBEYFIELD THE GROVE,8058086,revenue,1MR03,COVID19 Premium Payments,15403.00
