Newcastle City Council Invoices over £250 paid in January 2019,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
People,Adult Social Care,Revenue Expenditure,08/01/2019,18 SEA VIEW VILLAS,7682038,revenue,1MK34,Shared Lives - Adult LD,1570.8
Assistant Chief Executive,Communities Team,Revenue Expenditure,16/01/2019,1ST TYNE SEA SCOUTS,7690081,revenue,1FW24,Walkergate,700
HRA Expenditure,General Management,Revenue Expenditure,11/01/2019,3E CONSULTING ENGINEERS LTD,7674719,revenue,1HRA3,Misc Feasibility Study/Survey,53670.01
HRA Expenditure,General Management,Revenue Expenditure,22/01/2019,4-5 GRAYS INN SQUARE LTD,7694194,revenue,1HRA1,HRA-General,433.33
Assistant Chief Executive,Communities Team,Revenue Expenditure,16/01/2019,93RD NEWCASTLE SCOUTS GROUP,7690083,revenue,1FW24,Walkergate,400
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,29/01/2019,A&J KEITH LTD,7699859,revenue,1KR12,DDA,1810
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,29/01/2019,A&J KEITH LTD,7699860,revenue,1KR12,DDA,1810
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,29/01/2019,A&J KEITH LTD,7701016,revenue,1KVEE,Electrical Stand Alone Works,1920
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,08/01/2019,A&J KEITH LTD,7681953,revenue,1KBRM,Sub Contractors R & M,13424.1
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,08/01/2019,A&J KEITH LTD,7681954,revenue,1KBRM,Sub Contractors R & M,78139.64
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,10/01/2019,A&J KEITH LTD,7684351,revenue,1KBRM,Sub Contractors R & M,27343.74
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,09/01/2019,A&J KEITH LTD,7683688,revenue,1KBRM,Sub Contractors R & M,167037.32
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,16/01/2019,A&J KEITH LTD,7690150,revenue,1KVWC,Minor Works Contracts,77796.84
Operations & Reg Services,Community Hubs,Revenue Expenditure,09/01/2019,A&S LOCKSMITHS,7681340,revenue,1KL6A,Rangers Development Budget,267.28
Assistant Chief Executive,Democratic Services,Revenue Expenditure,18/01/2019,AA GLOBAL LANGUAGES SERVICES LTD,7692325,revenue,1FK01,Other Local Democracy,28
Assistant Chief Executive,"Policy, Comms and Performance",Revenue Expenditure,18/01/2019,AA GLOBAL LANGUAGES SERVICES LTD,7692325,revenue,1FT08,Translation Unit,137
