Newcastle City Council Invoices over £250 paid in March 2020,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,03/03/2020,18 SEA VIEW VILLAS,7988083,revenue,1MK34,Shared Lives - Adult LD,1600
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,31/03/2020,18 SEA VIEW VILLAS,8013374,revenue,1MK34,Shared Lives - Adult LD,1600
Place,Major Projects,Revenue Expenditure,05/03/2020,1SPATIAL GROUP LTD,7986712,revenue,1EJ10,Digital Newcastle,1700.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,27/03/2020,1ST COVERALL CO LTD,8011243,revenue,1MG27,General Resource Centres,19000
Resources,ICT,Capital Expenditure,10/03/2020,4NET TECHNOLOGIES LTD,7994760,Capital,2CAPI,Capital Investment,97972.20
Resources,ICT,Revenue Expenditure,27/03/2020,4NET TECHNOLOGIES LTD,8004131,revenue,1CC24,Telecoms,312.50
Resources,ICT,Revenue Expenditure,11/03/2020,4NET TECHNOLOGIES LTD,7996263,revenue,1CC24,Telecoms,312.50
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,11/03/2020,A&J KEITH LTD,7996129,revenue,1KVWC,Minor Works Contracts,56542.9
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,11/03/2020,A&J KEITH LTD,7996114,revenue,1KVWC,Minor Works Contracts,28291.89
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,16/03/2020,A&J KEITH LTD,8001296,revenue,1KR01,Responsive Maintenance,1735.04
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,16/03/2020,A&J KEITH LTD,8001296,revenue,1KR10,Voids,37716.65
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,16/03/2020,A&J KEITH LTD,8001296,revenue,1KR12,DDA,7175.1
Operations & Reg Services,Building Commercial Enterprise,Revenue Expenditure,16/03/2020,A&J KEITH LTD,8001296,revenue,1KR20,M&E Electrical,170626.83
Place,Commercial Dev & Property,Revenue Expenditure,27/03/2020,A&S LOCKSMITHS,8010195,revenue,1DY46,The Close,291.48
Place,Commercial Dev & Property,Revenue Expenditure,27/03/2020,A&S LOCKSMITHS,8010199,revenue,1DZ11,Moulton Court Blakelaw,260.68
Place,Commercial Dev & Property,Revenue Expenditure,03/03/2020,A&S LOCKSMITHS,7988224,revenue,1DR03,Grainger Market,382.30
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,02/03/2020,A1 FOSTER CARE,7987020,revenue,1MC22,IND Sector Foster Carer Costs,3360
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,31/03/2020,A1 FOSTER CARE,8013499,revenue,1MC22,IND Sector Foster Carer Costs,3360
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,27/03/2020,AA GLOBAL LANGUAGES SERVICES LTD,8009198,revenue,1MG01,Care Management OP,200.5
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,12/03/2020,AA GLOBAL LANGUAGES SERVICES LTD,7996833,revenue,1MG01,Care Management OP,175
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,12/03/2020,AA GLOBAL LANGUAGES SERVICES LTD,7996833,revenue,1MP12,MESMAC,50
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,27/03/2020,AA GLOBAL LANGUAGES SERVICES LTD,8009198,revenue,1MD62,Support to LAC,1548
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,27/03/2020,AA GLOBAL LANGUAGES SERVICES LTD,8009198,revenue,1MD68,Legal Fees Care,25
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,25/03/2020,AA GLOBAL LANGUAGES SERVICES LTD,7992597,revenue,1MD67,S17 Children in Need,400
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,25/03/2020,AA GLOBAL LANGUAGES SERVICES LTD,7992597,revenue,1MD68,Legal Fees Care,222
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,12/03/2020,AA GLOBAL LANGUAGES SERVICES LTD,7996829,revenue,1MD68,Legal Fees Care,3250
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,12/03/2020,AA GLOBAL LANGUAGES SERVICES LTD,7996833,revenue,1EM10,Youth offending Team,305
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,12/03/2020,AA GLOBAL LANGUAGES SERVICES LTD,7996833,revenue,1MB04,Childrens Standards Unit,30
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,12/03/2020,AA GLOBAL LANGUAGES SERVICES LTD,7996833,revenue,1MB30,Long Term Social Work Teams,325
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,12/03/2020,AA GLOBAL LANGUAGES SERVICES LTD,7996833,revenue,1MD62,Support to LAC,210
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,12/03/2020,AA GLOBAL LANGUAGES SERVICES LTD,7996833,revenue,1MD67,S17 Children in Need,715
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,12/03/2020,AA GLOBAL LANGUAGES SERVICES LTD,7996833,revenue,1MD68,Legal Fees Care,320
"Children, Education and Skills",Education,Revenue Expenditure,27/03/2020,AA GLOBAL LANGUAGES SERVICES LTD,8009198,revenue,1E320,SEND APR Team,435
"Children, Education and Skills",Education,Revenue Expenditure,12/03/2020,AA GLOBAL LANGUAGES SERVICES LTD,7996829,revenue,1E320,SEND APR Team,67
"Children, Education and Skills",Education,Revenue Expenditure,12/03/2020,AA GLOBAL LANGUAGES SERVICES LTD,7996833,revenue,1E45C,Admissions & Info Team,65
City Futures,Communities Team,Revenue Expenditure,27/03/2020,AA GLOBAL LANGUAGES SERVICES LTD,8009198,revenue,1FC44,CMF - Cohesive Communities,960
Resources,Financial Services,Revenue Expenditure,27/03/2020,AA GLOBAL LANGUAGES SERVICES LTD,8009198,revenue,1CR01,Revs and Bens Supp&Svs,190.00
Resources,Legal Services,Revenue Expenditure,25/03/2020,AA GLOBAL LANGUAGES SERVICES LTD,7992597,revenue,1FA51,Coroner,1955.00
Operations & Reg Services,Operations,Revenue Expenditure,11/03/2020,AAA CHEMICALS LTD,7996164,revenue,1KENB,Fleet Workshops OH,968.00
"Children, Education and Skills",Education,Revenue Expenditure,12/03/2020,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,7980494,revenue,1EA15,Newcastle City Learning Main,552
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,17/03/2020,ABBEYFIELD CASTLE FARM,8001198,revenue,1MG20,Residential Care OP,7511.52
