Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,E & R School Meals,Revenue Expenditure,2017-05-10,3663,7215656,Revenue,1KF07,Banqueting Suite,285.46
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-05-31,18 SEA VIEW VILLAS,7231449,Revenue,1MK34,Shared Lives - Adult LD,1540.00
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-05-02,18 SEA VIEW VILLAS,7208602,Revenue,1MK34,Shared Lives - Adult LD,1540.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2017-05-25,A&J KEITH LTD,7221400,Revenue,1KVWC,Minor Works Contracts,3800.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2017-05-26,A&J KEITH LTD,7226256,Revenue,1KVWC,Minor Works Contracts,4655.00
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2017-05-15,A&J KEITH LTD,7219823,Revenue,1KVWC,Minor Works Contracts,67381.71
Environment & Regeneration,NS: Capital Works,Revenue Expenditure,2017-05-15,A&J KEITH LTD,7219822,Revenue,1KVWC,Minor Works Contracts,36189.21
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-05-12,A&J KEITH LTD,7218541,Revenue,1KBRM,Sub Contractors R & M,49293.87
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-05-11,A&J KEITH LTD,7217445,Revenue,1KBRM,Sub Contractors R & M,105039.47
Environment & Regeneration,NS: D&CS Support Services,Revenue Expenditure,2017-05-11,A&J KEITH LTD,7217447,Revenue,1KBRM,Sub Contractors R & M,28235.55
Environment & Regeneration,NS: Asset Man,Revenue Expenditure,2017-05-10,A&S LOCKSMITHS,7216288,Revenue,1DY50,Misc Corporate Estates,778.20
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-05-11,AA GLOBAL LANGUAGES SERVICES LTD,7217493,Revenue,1MM01,Assess & Care Management MH,50.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-05-11,AA GLOBAL LANGUAGES SERVICES LTD,7217493,Revenue,1MK0A,Learning Disability & Autism,278.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-05-11,AA GLOBAL LANGUAGES SERVICES LTD,7217493,Revenue,1CR01,Revs and Bens Supp&Svs,168.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-05-11,AA GLOBAL LANGUAGES SERVICES LTD,7217493,Revenue,1MD62,Support to LAC,485.00
Chief Executive's,CD-Communications and Marketing,Revenue Expenditure,2017-05-11,AA GLOBAL LANGUAGES SERVICES LTD,7217493,Revenue,1FT08,Translation Unit,92.00
Children's Services,Benfield Secon/High School,Revenue Expenditure,2017-05-10,AAA SPORTS,7215857,Revenue,1E863,Local Delivery Agency,480.00
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-05-16,ABBEYFIELD CASTLE FARM,7220903,Revenue,1MG20,Residential Care OP,4675.92
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-05-16,ABBEYFIELD THE GROVE,7220894,Revenue,1MG20,Residential Care OP,2337.96
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-05-16,ABBEYMOOR,7220904,Revenue,1MM10,Nursing Care MH,10208.00
Adult and Culture,Social Services-Carefirst,Revenue Income,2017-05-16,ABBEYMOOR,7220904,Revenue,1MM10,Nursing Care MH,-793.84
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-05-16,ABBEYMOOR,7220904,Revenue,1MG10,Nursing Care OP,3020.20
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-05-16,ABBEYMOOR,7220904,Revenue,1MH10,Nursing Care PD,2044.20
Adult and Culture,Social Services-Carefirst,Long Term Assets,2017-05-16,ABBEYMOOR,7220904,Revenue,4WX13,,763.92
Adult and Culture,Social Services-Carefirst,Long Term Assets,2017-05-31,ABIGAIL LODGE,7231361,Revenue,4WX13,,660.74
Adult and Culture,Social Services-Carefirst,Long Term Assets,2017-05-02,ABIGAIL LODGE,7208682,Revenue,4WX13,,1541.72
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-05-12,ABSOLUTE QUALITY CARE,7217877,Revenue,1MH50,Home Care PD,9440.52
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-05-12,ABSOLUTE QUALITY CARE,7217877,Revenue,1MG51,Home Care-Personal OP,1115.42
Adult and Culture,Social Services-Carefirst,Revenue Expenditure,2017-05-12,ABSOLUTE QUALITY CARE,7217877,Revenue,1MG50,Home Care-Spot Purchased OP,19225.71
Environment & Regeneration,CW Services to Schools,Revenue Expenditure,2017-05-25,ACORN DAIRY,7228348,Revenue,1KFX2,School Meals Overhead,19694.70
Environment & Regeneration,CW Services to Schools,Revenue Expenditure,2017-05-23,ACORN DAIRY,7208289,Revenue,1KFX2,School Meals Overhead,8423.90
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,2017-05-03,ACORN HOUSE,7210065,Revenue,1MC22,IND Sector Foster Carer Costs,2920.00
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,2017-05-30,ACORN HOUSE,7230669,Revenue,1MC22,IND Sector Foster Carer Costs,2920.00
Environment & Regeneration,NS: Resources,Revenue Expenditure,2017-05-12,ACP,7212871,Revenue,1KSCD,External Vehicle Tracking,1627.85
Environment & Regeneration,NS: Resources,Revenue Expenditure,2017-05-12,ACP,7212871,Revenue,1KESW,Fleet SLA Costs & Income,3760.55
Adult and Culture,Social Services-Care Support,Revenue Expenditure,2017-05-11,ACTION FOR CHILDREN,7217157,Revenue,1EEG3,CFH - Commission,93124.36
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,2017-05-03,ACTION FOR CHILDREN,7210079,Revenue,1MC22,IND Sector Foster Carer Costs,19376.00
Children's Services,Carefirst - Independant Foster payments,Revenue Expenditure,2017-05-30,ACTION FOR CHILDREN,7230683,Revenue,1MC22,IND Sector Foster Carer Costs,20210.29
