Newcastle City Council Invoices over £250 paid in February 2019,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
People,Adult Social Care,Revenue Expenditure,05/02/2019,18 SEA VIEW VILLAS,7705620,revenue,1MK34,Shared Lives - Adult LD,1570.80
Operations & Reg Services,Community Hubs,Revenue Expenditure,18/02/2019,2CQR LTD,7714563,revenue,1EJ12,ICT,7945.00
HRA Expenditure,General Management,Revenue Expenditure,18/02/2019,3E CONSULTING ENGINEERS LTD,7698841,revenue,1HRA3,Misc Feasibility Study/Survey,10050.00
Operations & Reg Services,Environment&Public Protection,Revenue Expenditure,12/02/2019,4-5 GRAYS INN SQUARE LTD,7712092,revenue,1D540,District Function,1187.50
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,13/02/2019,A&J KEITH LTD,7713059,revenue,1KBRM,Sub Contractors R & M,187892.31
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,18/02/2019,A&J KEITH LTD,7715359,revenue,1KBRM,Sub Contractors R & M,176965.28
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,18/02/2019,A&J KEITH LTD,7715360,revenue,1KBRM,Sub Contractors R & M,168881.10
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,14/02/2019,A&J KEITH LTD,7714005,revenue,1KVWC,Minor Works Contracts,104942.44
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,12/02/2019,A&J KEITH LTD,7711974,revenue,1KVEE,Electrical Stand Alone Works,352.00
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,12/02/2019,A&J KEITH LTD,7711972,revenue,1KVEE,Electrical Stand Alone Works,264.00
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,12/02/2019,A&J KEITH LTD,7711971,revenue,1KVEE,Electrical Stand Alone Works,279.40
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,12/02/2019,A&J KEITH LTD,7711960,revenue,1KVEE,Electrical Stand Alone Works,275.00
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,12/02/2019,A&J KEITH LTD,7711968,revenue,1KVEE,Electrical Stand Alone Works,258.50
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,12/02/2019,A&J KEITH LTD,7711966,revenue,1KVEE,Electrical Stand Alone Works,572.00
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,12/02/2019,A&J KEITH LTD,7711965,revenue,1KVEE,Electrical Stand Alone Works,269.50
Operations & Reg Services,Single Point of Leadership,Revenue Expenditure,12/02/2019,A&J KEITH LTD,7711956,revenue,1KVEE,Electrical Stand Alone Works,378.40
