Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L descript
Salford City Council,2020-02-02,6002983524,878.12,0.00,878.12,Adobe Creative Cloud,Service Reform (Corp Bus & Transform),Computer Software
Salford City Council,2020-02-03,601264006,714.00,119.00,595.00,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-02-03,601264007,828.00,138.00,690.00,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-02-03,1600641134,690.00,115.00,575.00,Vision For Education Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-02-03,1600641135,1146.00,191.00,955.00,Vision For Education Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,2020-02-03,1600641115,6871.99,1145.33,5726.66,Allpay Ltd,Service Reform (Corp Bus & Transform),Bank Commission
Salford City Council,2020-02-03,601263974,3640.00,0.00,3640.00,The Citywall Project Community,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2020-02-03,601264008,4480.00,0.00,4480.00,The Citywall Project Community,People (Childrens) Service Group,Class Supplies Capit
Salford City Council,2020-02-03,1600640027,669.60,111.60,558.00,Associated Cleaning Contractors Ltd,Place Directorate,Cleaning Services
Salford City Council,2020-02-03,1600640075,891.00,148.50,742.50,Associated Cleaning Contractors Ltd,People (Childrens) Service Group,Cleaning Services
Salford City Council,2020-02-03,1600641106,624.00,104.00,520.00,Podium Peformance Group Ltd,People (Childrens) Service Group,Conferences/Seminars
Salford City Council,2020-02-03,1600641147,35226.52,5871.09,29355.43,Bloom Procurement Services Ltd,People (Childrens) Service Group,Consultants
Salford City Council,2020-02-03,1600641153,2268.00,378.00,1890.00,Ssaib Ltd,Place Directorate,Contractors
Salford City Council,2020-02-03,1600641152,218828.18,36471.36,182356.82,Connell Brothers Ltd,Capital Expenditure,Demolition
Salford City Council,2020-02-03,1600641142,3921.70,653.62,3268.08,Aecom Ltd - Europe,Capital Expenditure,Ext Fees-Other
Salford City Council,2020-02-03,1600641140,10993.34,1832.22,9161.12,Aecom Ltd - Europe,Capital Expenditure,Ext Fees-Other
Salford City Council,2020-02-03,1600641149,12073.74,2012.29,10061.45,Aecom Ltd - Europe,Capital Expenditure,Ext Fees-Other
Salford City Council,2020-02-03,1600641138,13834.87,2305.81,11529.06,Aecom Ltd - Europe,Capital Expenditure,Ext Fees-Other
Salford City Council,2020-02-03,1600641136,17568.60,2928.10,14640.50,Aecom Ltd - Europe,Capital Expenditure,Ext Fees-Other
Salford City Council,2020-02-03,1600641029,6000.00,1000.00,5000.00,Idverde Ltd,Capital Expenditure,Ext Fees-Other
Salford City Council,2020-02-03,1600641154,72420.00,12070.00,60350.00,Tracsis Traffic Data Ltd,Capital Expenditure,Ext Fees-Other
Salford City Council,2020-02-03,6002997785,734.23,18.94,715.29,Brake Bros Ltd,Place Directorate,Food and refreshment
Salford City Council,2020-02-03,6002983623,1040.00,0.00,1040.00,Carl Allen Furnishings,People (Adults) - CHSC,Furniture
Salford City Council,2020-02-03,6002983834,2435.00,0.00,2435.00,Carl Allen Furnishings,People (Adults) - CHSC,Furniture
Salford City Council,2020-02-03,601263956,1463.52,243.92,1219.60,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,2020-02-03,1600641155,4965.00,0.00,4965.00,Handicare,Capital Expenditure,Improvement Grants
Salford City Council,2020-02-03,1600641118,5700.00,0.00,5700.00,Handicare,Capital Expenditure,Improvement Grants
Salford City Council,2020-02-03,1600641143,8300.40,1383.40,6917.00,Stannah Stairlifts Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2020-02-03,1600641146,5068.80,844.80,4224.00,Thyssenkrupp Home Solutions Ltd,Capital Expenditure,Improvement Grants
Salford City Council,2020-02-03,601263996,1080.00,0.00,1080.00,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2020-02-03,601262948,1173.60,0.00,1173.60,Forbes Solicitors,Service Reform,Liability Insurance
Salford City Council,2020-02-03,1600641151,1800.00,300.00,1500.00,Applied Geology Ltd,Capital Expenditure,Miscellaneous Exes
Salford City Council,2020-02-03,601262875,684.00,114.00,570.00,Stanley Security Solutions Ltd,People (Childrens) Service Group,nonuv Build Rp&Maint
Salford City Council,2020-02-03,601263995,525.00,0.00,525.00,Ladybird Private Day Nursery,People (Childrens) Service Group,Payts to Agencies
Salford City Council,2020-02-03,1600641083,1417.50,0.00,1417.50,The Citywall Project Community,Capital Expenditure,Payts to Agencies
Salford City Council,2020-02-03,1600641084,1620.00,0.00,1620.00,The Citywall Project Community,Capital Expenditure,Payts to Agencies
Salford City Council,2020-02-03,1600640855,13760.33,2293.39,11466.94,Electoral Reform Services,Service Reform (Corp Bus & Transform),Print & Photocopying
Salford City Council,2020-02-03,1600640854,25763.91,4293.99,21469.92,Electoral Reform Services,Service Reform (Corp Bus & Transform),Print & Photocopying
Salford City Council,2020-02-03,1600641112,4760.42,0.00,4760.42,Bolton College,People (Childrens) Service Group,Pupil Assistance
