Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2012-06-01,601056959,1482.96,247.16,1235.80,Redacted Personal Data,Customer and Support Services,Agency Fees
Salford City Council,2012-06-01,601054478,559.70,93.30,466.40,Connex Holdings Ltd,Children's Services,Agency Fees
Salford City Council,2012-06-01,601056962,1482.96,247.16,1235.80,Michael Page International,Customer and Support Services,Agency Fees
Salford City Council,2012-06-01,601057063,531.00,0.00,531.00,Dogs R Us Ltd,Community Health & Social Care,Animal Boarding Fees
Salford City Council,2012-06-01,601057046,7750.00,0.00,7750.00,Aim Habonim,Children's Services,Books & Periodicals
Salford City Council,2012-06-01,601056973,5648.34,941.39,4706.95,Adt Fire And Security Plc,Capital Expenditure,Capital Expenses
Salford City Council,2012-06-01,601054762,1056.00,176.00,880.00,E.F.T. Systems Ltd,Capital Expenditure,Capital Expenses
Salford City Council,2012-06-01,1600442386,792.20,132.03,660.17,Alliance Disposables Ltd,Environment and Community Safety,Cleaning Materials
Salford City Council,2012-06-01,1600440868,2994.90,499.15,2495.75,Fundtech Fsc Ltd,Customer and Support Services,Computer Equipment
Salford City Council,2012-06-01,1600440943,2280.00,380.00,1900.00,Northgate Information Solutions,Customer and Support Services,Computer Maintenance
Salford City Council,2012-06-01,1600440975,1800.00,300.00,1500.00,Northgate Information Solutions,Customer and Support Services,Computer Maintenance
Salford City Council,2012-06-01,601054390,3000.00,500.00,2500.00,Northgate Information Solutions,Customer and Support Services,Computer Software
Salford City Council,2012-06-01,601056268,3600.00,0.00,3600.00,L.  A.  Furness,Children's Services,Consult/Contractors
Salford City Council,2012-06-01,1600441290,1800.00,300.00,1500.00,Real Staffing,Customer and Support Services,Consult/Contractors
Salford City Council,2012-06-01,1600440957,3912.30,652.05,3260.25,Jws Waste & Recycling Systems Ltd,Environment and Community Safety,Contractors
Salford City Council,2012-06-01,1600440995,2923.20,487.20,2436.00,Jws Waste & Recycling Systems Ltd,Environment and Community Safety,Contractors
Salford City Council,2012-06-01,601056951,1152.21,0.00,1152.21,Brookvale,Community Health & Social Care,Day Care
Salford City Council,2012-06-01,601056964,12949.20,2158.20,10791.00,Urban Vision Partnership Ltd,Capital Expenditure,Demolition
Salford City Council,2012-06-01,1600440912,4998.00,833.00,4165.00,Micron Electrical Contracting Ltd,Community Health & Social Care,Dev Servs Day to Day
Salford City Council,2012-06-01,1600440913,920.62,153.44,767.18,Micron Electrical Contracting Ltd,Environment and Community Safety,Dev Servs Day to Day
Salford City Council,2012-06-01,1600440914,1327.80,221.30,1106.50,Micron Electrical Contracting Ltd,Community Health & Social Care,Dev Servs Day to Day
Salford City Council,2012-06-01,1600440915,1161.74,193.62,968.12,Micron Electrical Contracting Ltd,Community Health & Social Care,Dev Servs Day to Day
