Authority Name,Date of Payment,SAP Document Number,Gross,VAT,Net,Supplier Name,Directorate,G/L Description
Salford City Council,2012-08-01,601062802,2066.40,344.40,1722.00,RNIB,Community Health & Social Care,Books & Periodicals
Salford City Council,2012-08-01,601064010,827.00,0.00,827.00,Redacted Personal Data,Capital Expenditure,Disturbance Payments
Salford City Council,2012-08-01,601064008,935.00,0.00,935.00,Redacted Personal Data,Capital Expenditure,Disturbance Payments
Salford City Council,2012-08-01,601064009,875.00,0.00,875.00,Redacted Personal Data,Capital Expenditure,Disturbance Payments
Salford City Council,2012-08-01,1600446763,997.83,4.50,993.33,Zero Six,Children's Services,Equipment Purchase
Salford City Council,2012-08-01,1600444725,540.00,90.00,450.00,Cipfa Business Ltd,Capital Expenditure,Ext Fees-Consult Eng
Salford City Council,2012-08-01,1600445146,2869.34,478.22,2391.12,Manchester City Council,Customer and Support Services,Legal Fees
Salford City Council,2012-08-01,601064063,4471.12,0.00,4471.12,Redacted Personal Data,Children's Services,Legal Fees
Salford City Council,2012-08-01,601064064,2943.10,0.00,2943.10,Redacted Personal Data,Children's Services,Legal Fees
Salford City Council,2012-08-01,601064079,566.00,0.00,566.00,Department Of Work & Pensions,Customer and Support Services,Liability Insurance
Salford City Council,2012-08-01,601064114,6000.00,0.00,6000.00,Kls Law,Customer and Support Services,Liability Insurance
Salford City Council,2012-08-01,601064112,1281.00,0.00,1281.00,Mrh Solicitors,Customer and Support Services,Liability Insurance
Salford City Council,2012-08-01,601064085,3500.00,0.00,3500.00,Redacted Personal Data,Customer and Support Services,Liability Insurance
Salford City Council,2012-08-01,601064082,1000.00,0.00,1000.00,Redacted Personal Data,Customer and Support Services,Liability Insurance
Salford City Council,2012-08-01,601064081,1750.00,0.00,1750.00,Redacted Personal Data,Customer and Support Services,Liability Insurance
Salford City Council,2012-08-01,601064108,3750.00,0.00,3750.00,Redacted Personal Data,Customer and Support Services,Liability Insurance
Salford City Council,2012-08-01,601064106,1600.00,0.00,1600.00,Redacted Personal Data,Customer and Support Services,Liability Insurance
Salford City Council,2012-08-01,601064087,3000.00,0.00,3000.00,Redacted Personal Data,Customer and Support Services,Liability Insurance
Salford City Council,2012-08-01,601064109,823.40,0.00,823.40,Redacted Personal Data,Customer and Support Services,Liability Insurance
Salford City Council,2012-08-01,601064110,2000.00,0.00,2000.00,Redacted Personal Data,Customer and Support Services,Liability Insurance
Salford City Council,2012-08-01,601063996,582.34,97.06,485.28,Mitie Security Ltd,Chief Executives,Licencing
Salford City Council,2012-08-01,601063999,3029.40,504.90,2524.50,Men Media Ltd,Customer and Support Services,Marketing/Publicity
Salford City Council,2012-08-01,601063922,1443.60,240.60,1203.00,Experian Ltd,Sustainable Regeneration,Other Prof Fees
Salford City Council,2012-08-01,601064021,25530.28,4255.05,21275.23,Urban Vision Partnership Ltd,Children's Services,Other Prof Fees
Salford City Council,2012-08-01,1600445627,6370.80,1061.80,5309.00,Pitney Bowes Software Ltd,Capital Expenditure,Other Works
Salford City Council,2012-08-01,1600446761,667.92,0.00,667.92,Federation Of Jewish Services,Children's Services,Payts to Agencies
Salford City Council,2012-08-01,1600444741,9852.90,0.00,9852.90,Together Trust,Children's Services,Payts to Agencies
Salford City Council,2012-08-01,1600445128,11173.50,0.00,11173.50,Together Trust,Children's Services,Payts to Agencies
Salford City Council,2012-08-01,601064090,528.33,0.00,528.33,1St Pendlebury,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2012-08-01,601064017,3500.00,0.00,3500.00,Lifecentre,Customer and Support Services,Payts to Vol Orgs
Salford City Council,2012-08-01,601064097,134566.67,22427.78,112138.89,Edmundson Electrical Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2012-08-01,601064095,62649.66,10441.61,52208.05,Ht Forrest Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2012-08-01,601064094,93876.67,15646.11,78230.56,Sovereign Group Ltd,Capital Expenditure,Pmnt to Ctrs-Improv
Salford City Council,2012-08-01,601064029,1160.07,0.00,1160.07,Redacted Personal Data,Community Health & Social Care,Refunds
Salford City Council,2012-08-01,601064189,1501.08,0.00,1501.08,Redacted Personal Data,Community Health & Social Care,Refunds
Salford City Council,2012-08-01,1600445015,31393.33,5232.22,26161.11,Mitie Security Ltd,Sustainable Regeneration,Security Services
Salford City Council,2012-08-01,1600444622,3840.00,640.00,3200.00,Power Data Associates Ltd,Sustainable Regeneration,Servicing
Salford City Council,2012-08-01,1600446612,2858.51,340.00,2518.51,Baileyteswaine Ltd,Customer and Support Services,Telephones & Fax
Salford City Council,2012-08-01,601064059,589.50,0.00,589.50,Redacted Personal Data,Sustainable Regeneration,Tenants Rental
Salford City Council,2012-08-01,601064022,10714.01,482.41,10231.60,Eccles Special High Schools Co Ltd,Children's Services,Unitary Charge
Salford City Council,2012-08-01,1600445248,826.25,137.71,688.54,Terberg Matec Ltd,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2012-08-01,1600445274,630.00,105.00,525.00,Warrington Truck Parts Ltd,Environment and Community Safety,Vehicle Related Expenditure
Salford City Council,2012-08-02,601063585,600.98,100.16,500.82,Hsbc Invoice Finance (Uk) Ltd,Children's Services,Agency Fees
Salford City Council,2012-08-02,36715186,2262.70,377.12,1885.58,Wilds Of Oldham,Environment and Community Safetyunity Health,Bar Stocks for Hired Venues for Resale
Salford City Council,2012-08-02,601061059,5297.26,875.65,4421.61,Community Forests North West Ltd,Sustainable Regeneration,Other employee expenses
